Table 1
Day,Stage,DLI Target (mol/m²/d),Temp Target (°C),Blue (%),Green (%),Red (%),Far-Red (%),PPFD Target (µmol/m²/s),VPD Target (kPa),Max Humidity (%),EC Target (dS/m),pH Target,Veg,Fruit
1,Seedling,8,19,25,34,40,1,138.89,0.9,65,1,5.8,1,0
2.8,Seedling,8.2,19,25,34,40,1,142.36,0.9,65,1.01,5.8,1,0
4.6,Seedling,8.4,19,25,34,40,1,145.83,0.91,65,1.02,5.8,1,0
6.4,Seedling,8.6,19,25,34,40,1,149.31,0.91,65,1.03,5.8,1,0
8.2,Seedling,8.8,19,25,34,40,1,152.78,0.91,65,1.04,5.8,1,0
10,Seedling,9,19,25,34,40,1,156.25,0.91,65,1.05,5.8,1,0
11.8,Seedling,9.2,19,25,34,40,1,159.72,0.92,65,1.06,5.8,1,0
13.6,Seedling,9.4,19,25,34,40,1,163.19,0.92,65,1.07,5.8,1,0
15.4,Seedling,9.6,19,25,34,40,1,166.67,0.92,65,1.08,5.8,1,0
17.2,Seedling,9.8,19,25,34,40,1,170.14,0.92,65,1.09,5.8,1,0
19,Seedling,10,19,25,34,40,1,173.61,0.93,65,1.1,5.8,1,0
20.8,Seedling,10.2,19,25,34,40,1,177.08,0.93,65,1.11,5.8,1,0
22.6,Seedling,10.4,19,25,34,40,1,180.56,0.93,65,1.12,5.8,1,0
24.4,Seedling,10.6,19,25,34,40,1,184.03,0.93,65,1.13,5.8,1,0
26.2,Seedling,10.8,19,25,34,40,1,187.5,0.93,65,1.14,5.8,1,0
28,Seedling,11,19,25,34,40,1,190.97,0.94,65,1.15,5.8,1,0
29.8,Seedling,11.2,19,25,34,40,1,194.44,0.94,65,1.16,5.8,1,0
31.6,Seedling,11.4,19,25,34,40,1,197.92,0.94,65,1.17,5.8,1,0
33.4,Seedling,11.6,19,25,34,40,1,201.39,0.94,65,1.18,5.8,1,0
35.2,Seedling,11.8,19,25,34,40,1,204.86,0.95,65,1.19,5.8,1,0
37,Seedling,12,19,25,34,40,1,208.33,0.95,65,1.2,5.8,1,0
