Table 1
Day,Stage,DLI Target (mol/m²/d),Temp Target (°C),Blue (%),Green (%),Red (%),Far-Red (%),PPFD Target (µmol/m²/s),VPD Target (kPa),Max Humidity (%),EC Target (dS/m),pH Target,Veg,Fruit
1,Seedling,8,19,25,34,40,1,138.89,0.9,65,1,5.8,1,0
2.44,Seedling,8.16,19,25,34,40,1,141.67,0.9,65,1.01,5.8,1,0
3.88,Seedling,8.32,19,25,34,40,1,144.44,0.9,65,1.02,5.8,1,0
5.32,Seedling,8.48,19,25,34,40,1,147.22,0.91,65,1.02,5.8,1,0
6.76,Seedling,8.64,19,25,34,40,1,150,0.91,65,1.03,5.8,1,0
8.2,Seedling,8.8,19,25,34,40,1,152.78,0.91,65,1.04,5.8,1,0
9.64,Seedling,8.96,19,25,34,40,1,155.56,0.91,65,1.05,5.8,1,0
11.08,Seedling,9.12,19,25,34,40,1,158.33,0.91,65,1.06,5.8,1,0
12.52,Seedling,9.28,19,25,34,40,1,161.11,0.92,65,1.06,5.8,1,0
13.96,Seedling,9.44,19,25,34,40,1,163.89,0.92,65,1.07,5.8,1,0
15.4,Seedling,9.6,19,25,34,40,1,166.67,0.92,65,1.08,5.8,1,0
16.84,Seedling,9.76,19,25,34,40,1,169.44,0.92,65,1.09,5.8,1,0
18.28,Seedling,9.92,19,25,34,40,1,172.22,0.92,65,1.1,5.8,1,0
19.72,Seedling,10.08,19,25,34,40,1,175,0.93,65,1.1,5.8,1,0
21.16,Seedling,10.24,19,25,34,40,1,177.78,0.93,65,1.11,5.8,1,0
22.6,Seedling,10.4,19,25,34,40,1,180.56,0.93,65,1.12,5.8,1,0
24.04,Seedling,10.56,19,25,34,40,1,183.33,0.93,65,1.13,5.8,1,0
25.48,Seedling,10.72,19,25,34,40,1,186.11,0.93,65,1.14,5.8,1,0
26.92,Seedling,10.88,19,25,34,40,1,188.89,0.94,65,1.14,5.8,1,0
28.36,Seedling,11.04,19,25,34,40,1,191.67,0.94,65,1.15,5.8,1,0
29.8,Seedling,11.2,19,25,34,40,1,194.44,0.94,65,1.16,5.8,1,0
31.24,Seedling,11.36,19,25,34,40,1,197.22,0.94,65,1.17,5.8,1,0
32.68,Seedling,11.52,19,25,34,40,1,200,0.94,65,1.18,5.8,1,0
34.12,Seedling,11.68,19,25,34,40,1,202.78,0.95,65,1.18,5.8,1,0
35.56,Seedling,11.84,19,25,34,40,1,205.56,0.95,65,1.19,5.8,1,0
37,Seedling,12,19,25,34,40,1,208.33,0.95,65,1.2,5.8,1,0
