Table 1
Day,Stage,DLI Target (mol/m²/d),Temp Target (°C),Blue (%),Green (%),Red (%),Far-Red (%),PPFD Target (µmol/m²/s),VPD Target (kPa),Max Humidity (%),EC Target (dS/m),pH Target,Veg,Fruit
1,Seedling,10,26,30,10,55,5,154.32,1.05,65,1.2,6.1,1,0
1.52,Seedling,10.15,26,30,10,55,5,156.7,1.05,65,1.22,6.1,1,0
2.04,Seedling,10.31,26,30,10,55,5,159.07,1.06,65,1.23,6.1,1,0
2.55,Seedling,10.46,26,30,10,55,5,161.44,1.06,65,1.25,6.1,1,0
3.07,Seedling,10.62,26,30,10,55,5,163.82,1.07,65,1.26,6.1,1,0
3.59,Seedling,10.77,26,30,10,55,5,166.19,1.07,65,1.28,6.1,1,0
4.11,Seedling,10.92,26,30,10,55,5,168.57,1.07,65,1.29,6.1,1,0
4.62,Seedling,11.08,26,30,10,55,5,170.94,1.08,65,1.31,6.1,1,0
5.14,Seedling,11.23,26,30,10,55,5,173.31,1.08,65,1.32,6.1,1,0
5.66,Seedling,11.38,26,30,10,55,5,175.69,1.08,65,1.34,6.1,1,0
6.18,Seedling,11.54,26,30,10,55,5,178.06,1.09,65,1.35,6.1,1,0
6.69,Seedling,11.69,26,30,10,55,5,180.44,1.09,65,1.37,6.1,1,0
7.21,Seedling,11.85,26,30,10,55,5,182.81,1.1,65,1.38,6.1,1,0
7.73,Seedling,12,26,30,10,55,5,185.19,1.1,65,1.4,6.1,1,0
8.25,Seedling,12.15,26,30,10,55,5,187.56,1.1,65,1.42,6.1,1,0
8.76,Seedling,12.31,26,30,10,55,5,189.93,1.11,65,1.43,6.1,1,0
9.28,Seedling,12.46,26,30,10,55,5,192.31,1.11,65,1.45,6.1,1,0
9.8,Seedling,12.62,26,30,10,55,5,194.68,1.12,65,1.46,6.1,1,0
10.32,Seedling,12.77,26,30,10,55,5,197.06,1.12,65,1.48,6.1,1,0
10.83,Seedling,12.92,26,30,10,55,5,199.43,1.12,65,1.49,6.1,1,0
11.35,Seedling,13.08,26,30,10,55,5,201.8,1.13,65,1.51,6.1,1,0
11.87,Seedling,13.23,26,30,10,55,5,204.18,1.13,65,1.52,6.1,1,0
12.39,Seedling,13.38,26,30,10,55,5,206.55,1.13,65,1.54,6.1,1,0
12.9,Seedling,13.54,26,30,10,55,5,208.93,1.14,65,1.55,6.1,1,0
13.42,Seedling,13.69,26,30,10,55,5,211.3,1.14,65,1.57,6.1,1,0
13.94,Seedling,13.85,26,30,10,55,5,213.68,1.15,65,1.58,6.1,1,0
14.46,Seedling,14,26,30,10,55,5,216.05,1.15,65,1.6,6.1,1,0
14.97,Vegetative,18,26,30,10,55,5,277.78,1.15,65,2,6.1,1,0
15.49,Vegetative,18.28,26,29.84,9.97,55.16,5.03,282.03,1.15,65,2.02,6.1,1,0
16.01,Vegetative,18.55,26,29.66,9.93,55.34,5.07,286.29,1.16,65,2.04,6.1,1,0
16.53,Vegetative,18.83,26,29.49,9.9,55.51,5.1,290.55,1.16,65,2.06,6.1,1,0
17.04,Vegetative,19.1,26,29.32,9.86,55.68,5.14,294.81,1.16,65,2.08,6.1,1,0
17.56,Vegetative,19.38,26,29.15,9.83,55.85,5.17,299.06,1.17,65,2.1,6.1,1,0
18.08,Vegetative,19.66,26,28.97,9.79,56.03,5.21,303.32,1.17,65,2.12,6.1,1,0
18.6,Vegetative,19.93,26,28.8,9.76,56.2,5.24,307.58,1.17,65,2.14,6.1,1,0
19.11,Vegetative,20.21,26,28.63,9.73,56.37,5.27,311.83,1.18,65,2.17,6.1,1,0
19.63,Vegetative,20.48,26,28.46,9.69,56.54,5.31,316.09,1.18,65,2.19,6.1,1,0
20.15,Vegetative,20.76,26,28.28,9.66,56.72,5.34,320.35,1.18,65,2.21,6.1,1,0
20.67,Vegetative,21.03,26,28.11,9.62,56.89,5.38,324.61,1.19,65,2.23,6.1,1,0
21.18,Vegetative,21.31,26,27.94,9.59,57.06,5.41,328.86,1.19,65,2.25,6.1,1,0
21.7,Vegetative,21.59,26,27.77,9.55,57.23,5.45,333.12,1.19,65,2.27,6.1,1,0
22.22,Vegetative,21.86,26,27.59,9.52,57.41,5.48,337.38,1.2,65,2.29,6.1,1,0
22.74,Vegetative,22.14,26,27.42,9.48,57.58,5.52,341.63,1.2,65,2.31,6.1,1,0
23.25,Vegetative,22.41,26,27.25,9.45,57.75,5.55,345.89,1.21,65,2.33,6.1,1,0
23.77,Vegetative,22.69,26,27.08,9.42,57.92,5.58,350.15,1.21,65,2.35,6.1,1,0
24.29,Vegetative,22.97,26,26.9,9.38,58.1,5.62,354.41,1.21,65,2.37,6.1,1,0
24.81,Vegetative,23.24,26,26.73,9.35,58.27,5.65,358.66,1.22,65,2.39,6.1,1,0
25.32,Vegetative,23.52,26,26.56,9.31,58.44,5.69,362.92,1.22,65,2.41,6.1,1,0
25.84,Vegetative,23.79,26,26.39,9.28,58.61,5.72,367.18,1.22,65,2.43,6.1,1,0
26.36,Vegetative,24.07,26,26.21,9.24,58.79,5.76,371.43,1.23,65,2.46,6.1,1,0
26.88,Vegetative,24.34,26,26.04,9.21,58.96,5.79,375.69,1.23,65,2.48,6.1,1,0
27.39,Vegetative,24.62,26,25.87,9.17,59.13,5.83,379.95,1.23,65,2.5,6.1,1,0
27.91,Vegetative,24.9,26,25.7,9.14,59.3,5.86,384.21,1.24,65,2.52,6.1,1,0
28.43,Vegetative,25.17,26,25.52,9.1,59.48,5.9,388.46,1.24,65,2.54,6.1,1,0
28.95,Vegetative,25.45,26,25.35,9.07,59.65,5.93,392.72,1.24,65,2.56,6.1,1,0
29.46,Vegetative,25.72,26,25.18,9.04,59.82,5.96,396.98,1.25,65,2.58,6.1,1,0
29.98,Vegetative,26,26,25.01,9,59.99,6,401.23,1.25,65,2.6,6.1,1,0
30.5,Flowering,26,26,25,9,60,6,401.23,1.2,65,2.6,6.1,0,1
31.02,Flowering,26.21,26,24.99,9,60.01,6,404.54,1.21,65,2.62,6.1,0,1
31.54,Flowering,26.43,26,24.81,8.92,60.19,6.08,407.85,1.21,65,2.64,6.1,0,1
32.05,Flowering,26.64,26,24.62,8.85,60.38,6.15,411.16,1.22,65,2.66,6.1,0,1
32.57,Flowering,26.86,26,24.44,8.78,60.56,6.22,414.46,1.22,65,2.69,6.1,0,1
33.09,Flowering,27.07,26,24.25,8.7,60.75,6.3,417.77,1.23,65,2.71,6.1,0,1
33.61,Flowering,27.29,26,24.07,8.63,60.93,6.37,421.08,1.23,65,2.73,6.1,0,1
34.12,Flowering,27.5,26,23.88,8.55,61.12,6.45,424.38,1.24,65,2.75,6.1,0,1
34.64,Flowering,27.71,26,23.7,8.48,61.3,6.52,427.69,1.24,65,2.77,6.1,0,1
35.16,Flowering,27.93,26,23.52,8.41,61.48,6.59,431,1.25,65,2.79,6.1,0,1
35.68,Flowering,28.14,26,23.33,8.33,61.67,6.67,434.3,1.25,65,2.81,6.1,0,1
36.19,Flowering,28.36,26,23.15,8.26,61.85,6.74,437.61,1.26,65,2.84,6.1,0,1
36.71,Flowering,28.57,26,22.96,8.18,62.04,6.82,440.92,1.26,65,2.86,6.1,0,1
37.23,Flowering,28.79,26,22.78,8.11,62.22,6.89,444.22,1.27,65,2.88,6.1,0,1
37.75,Flowering,29,26,22.59,8.04,62.41,6.96,447.53,1.27,65,2.9,6.1,0,1
38.26,Flowering,29.21,26,22.41,7.96,62.59,7.04,450.84,1.28,65,2.92,6.1,0,1
38.78,Flowering,29.43,26,22.22,7.89,62.78,7.11,454.14,1.29,65,2.94,6.1,0,1
39.3,Flowering,29.64,26,22.04,7.81,62.96,7.19,457.45,1.29,65,2.96,6.1,0,1
39.82,Flowering,29.86,26,21.85,7.74,63.15,7.26,460.76,1.3,65,2.99,6.1,0,1
40.33,Flowering,30.07,26,21.67,7.67,63.33,7.33,464.07,1.3,65,3.01,6.1,0,1
40.85,Flowering,30.29,26,21.48,7.59,63.52,7.41,467.37,1.31,65,3.03,6.1,0,1
41.37,Flowering,30.5,26,21.3,7.52,63.7,7.48,470.68,1.31,65,3.05,6.1,0,1
41.89,Flowering,30.71,26,21.11,7.44,63.89,7.56,473.99,1.32,65,3.07,6.1,0,1
42.4,Flowering,30.93,26,20.93,7.37,64.07,7.63,477.29,1.32,65,3.09,6.1,0,1
42.92,Flowering,31.14,26,20.74,7.3,64.26,7.7,480.6,1.33,65,3.11,6.1,0,1
43.44,Flowering,31.36,26,20.56,7.22,64.44,7.78,483.91,1.33,65,3.14,6.1,0,1
43.96,Flowering,31.57,26,20.37,7.15,64.63,7.85,487.21,1.34,65,3.16,6.1,0,1
44.47,Flowering,31.79,26,20.19,7.08,64.81,7.92,490.52,1.34,65,3.18,6.1,0,1
44.99,Flowering,32,26,20,7,65,8,493.83,1.35,65,3.2,6.1,0,1
45.51,Fruiting,30,26,20,7,65,8,462.96,1.25,65,2.8,6.1,0,1
46.03,Fruiting,30.21,26,19.99,7.01,65,8,466.27,1.26,65,2.83,6.1,0,1
46.54,Fruiting,30.43,26,19.81,7.11,65,8.08,469.58,1.26,65,2.86,6.1,0,1
47.06,Fruiting,30.64,26,19.62,7.23,65,8.15,472.88,1.27,65,2.89,6.1,0,1
47.58,Fruiting,30.86,26,19.44,7.33,65,8.23,476.19,1.27,65,2.91,6.1,0,1
48.1,Fruiting,31.07,26,19.25,7.45,65,8.3,479.5,1.28,65,2.94,6.1,0,1
48.61,Fruiting,31.29,26,19.07,7.56,65,8.37,482.8,1.28,65,2.97,6.1,0,1
49.13,Fruiting,31.5,26,18.88,7.67,65,8.45,486.11,1.29,65,3,6.1,0,1
49.65,Fruiting,31.71,26,18.7,7.78,65,8.52,489.42,1.29,65,3.03,6.1,0,1
