Table 1
Day,Stage,DLI Target (mol/m²/d),Temp Target (°C),Blue (%),Green (%),Red (%),Far-Red (%),PPFD Target (µmol/m²/s),VPD Target (kPa),Max Humidity (%),EC Target (dS/m),pH Target,Veg,Fruit
1,Seedling,12,20,30,15,50,5,208.33,0.9,65,0.7,5.8,1,0
1.42,Seedling,12.06,20,30,15,50,5,209.42,0.9,65,0.71,5.8,1,0
1.85,Seedling,12.12,20,30,15,50,5,210.5,0.9,65,0.71,5.8,1,0
2.27,Seedling,12.19,20,30,15,50,5,211.59,0.9,65,0.72,5.8,1,0
2.7,Seedling,12.25,20,30,15,50,5,212.67,0.91,65,0.72,5.8,1,0
3.12,Seedling,12.31,20,30,15,50,5,213.76,0.91,65,0.73,5.8,1,0
3.55,Seedling,12.38,20,30,15,50,5,214.84,0.91,65,0.74,5.8,1,0
3.97,Seedling,12.44,20,30,15,50,5,215.93,0.91,65,0.74,5.8,1,0
4.4,Seedling,12.5,20,30,15,50,5,217.01,0.91,65,0.75,5.8,1,0
4.82,Seedling,12.56,20,30,15,50,5,218.1,0.91,65,0.76,5.8,1,0
5.24,Seedling,12.62,20,30,15,50,5,219.18,0.92,65,0.76,5.8,1,0
5.67,Seedling,12.69,20,30,15,50,5,220.27,0.92,65,0.77,5.8,1,0
6.09,Seedling,12.75,20,30,15,50,5,221.35,0.92,65,0.78,5.8,1,0
6.52,Seedling,12.81,20,30,15,50,5,222.44,0.92,65,0.78,5.8,1,0
6.94,Seedling,12.88,20,30,15,50,5,223.52,0.92,65,0.79,5.8,1,0
7.37,Seedling,12.94,20,30,15,50,5,224.61,0.92,65,0.79,5.8,1,0
7.79,Seedling,13,20,30,15,50,5,225.69,0.93,65,0.8,5.8,1,0
8.22,Seedling,13.06,20,30,15,50,5,226.78,0.93,65,0.81,5.8,1,0
8.64,Seedling,13.12,20,30,15,50,5,227.86,0.93,65,0.81,5.8,1,0
9.06,Seedling,13.19,20,30,15,50,5,228.95,0.93,65,0.82,5.8,1,0
9.49,Seedling,13.25,20,30,15,50,5,230.03,0.93,65,0.82,5.8,1,0
9.91,Seedling,13.31,20,30,15,50,5,231.12,0.93,65,0.83,5.8,1,0
10.34,Seedling,13.38,20,30,15,50,5,232.2,0.93,65,0.84,5.8,1,0
10.76,Seedling,13.44,20,30,15,50,5,233.29,0.94,65,0.84,5.8,1,0
11.19,Seedling,13.5,20,30,15,50,5,234.38,0.94,65,0.85,5.8,1,0
11.61,Seedling,13.56,20,30,15,50,5,235.46,0.94,65,0.86,5.8,1,0
12.04,Seedling,13.62,20,30,15,50,5,236.55,0.94,65,0.86,5.8,1,0
12.46,Seedling,13.69,20,30,15,50,5,237.63,0.94,65,0.87,5.8,1,0
12.88,Seedling,13.75,20,30,15,50,5,238.72,0.94,65,0.88,5.8,1,0
13.31,Seedling,13.81,20,30,15,50,5,239.8,0.95,65,0.88,5.8,1,0
13.73,Seedling,13.88,20,30,15,50,5,240.89,0.95,65,0.89,5.8,1,0
14.16,Seedling,13.94,20,30,15,50,5,241.97,0.95,65,0.89,5.8,1,0
14.58,Seedling,14,20,30,15,50,5,243.06,0.95,65,0.9,5.8,1,0
15.01,Vegetative,14,20,30,15,50,5,243.06,0.95,65,0.8,5.8,1,0
15.43,Vegetative,14.19,20,29.83,15,50.17,5,246.31,0.95,65,0.81,5.8,1,0
15.86,Vegetative,14.38,20,29.67,15,50.33,5,249.57,0.96,65,0.81,5.8,1,0
16.28,Vegetative,14.56,20,29.51,15,50.49,5,252.82,0.96,65,0.82,5.8,1,0
16.71,Vegetative,14.75,20,29.34,15,50.66,5,256.08,0.96,65,0.83,5.8,1,0
17.13,Vegetative,14.94,20,29.18,15,50.82,5,259.33,0.97,65,0.83,5.8,1,0
17.55,Vegetative,15.12,20,29.02,15,50.98,5,262.59,0.97,65,0.84,5.8,1,0
17.98,Vegetative,15.31,20,28.85,15,51.15,5,265.84,0.97,65,0.84,5.8,1,0
18.4,Vegetative,15.5,20,28.69,15,51.31,5,269.1,0.97,65,0.85,5.8,1,0
18.83,Vegetative,15.69,20,28.53,15,51.47,5,272.35,0.98,65,0.86,5.8,1,0
19.25,Vegetative,15.88,20,28.36,15,51.64,5,275.61,0.98,65,0.86,5.8,1,0
19.68,Vegetative,16.06,20,28.2,15,51.8,5,278.86,0.98,65,0.87,5.8,1,0
20.1,Vegetative,16.25,20,28.04,15,51.96,5,282.12,0.99,65,0.88,5.8,1,0
20.53,Vegetative,16.44,20,27.87,15,52.13,5,285.37,0.99,65,0.88,5.8,1,0
20.95,Vegetative,16.62,20,27.71,15,52.29,5,288.63,0.99,65,0.89,5.8,1,0
21.37,Vegetative,16.81,20,27.55,15,52.45,5,291.88,1,65,0.89,5.8,1,0
21.8,Vegetative,17,20,27.39,15,52.61,5,295.14,1,65,0.9,5.8,1,0
22.22,Vegetative,17.19,20,27.22,15,52.78,5,298.39,1,65,0.91,5.8,1,0
22.65,Vegetative,17.38,20,27.06,15,52.94,5,301.65,1.01,65,0.91,5.8,1,0
23.07,Vegetative,17.56,20,26.9,15,53.1,5,304.9,1.01,65,0.92,5.8,1,0
23.5,Vegetative,17.75,20,26.73,15,53.27,5,308.16,1.01,65,0.93,5.8,1,0
23.92,Vegetative,17.94,20,26.57,15,53.43,5,311.41,1.02,65,0.93,5.8,1,0
24.35,Vegetative,18.12,20,26.41,15,53.59,5,314.67,1.02,65,0.94,5.8,1,0
24.77,Vegetative,18.31,20,26.24,15,53.76,5,317.93,1.02,65,0.94,5.8,1,0
25.19,Vegetative,18.5,20,26.08,15,53.92,5,321.18,1.02,65,0.95,5.8,1,0
25.62,Vegetative,18.69,20,25.92,15,54.08,5,324.44,1.03,65,0.96,5.8,1,0
26.04,Vegetative,18.88,20,25.75,15,54.25,5,327.69,1.03,65,0.96,5.8,1,0
26.47,Vegetative,19.06,20,25.59,15,54.41,5,330.95,1.03,65,0.97,5.8,1,0
26.89,Vegetative,19.25,20,25.43,15,54.57,5,334.2,1.04,65,0.97,5.8,1,0
27.32,Vegetative,19.44,20,25.26,15,54.74,5,337.46,1.04,65,0.98,5.8,1,0
27.74,Vegetative,19.62,20,25.1,15,54.9,5,340.71,1.04,65,0.99,5.8,1,0
28.17,Vegetative,19.81,20,25,15,55,5,343.97,1.05,65,0.99,5.8,1,0
28.59,Vegetative,20,20,25,15,55,5,347.22,1.05,65,1,5.8,1,0
29.01,Flowering,20,20,24.99,15,55,5.01,347.22,1.05,65,0.9,5.8,0,1
29.44,Flowering,20.09,20,24.83,15,55,5.17,348.85,1.05,65,0.91,5.8,0,1
29.86,Flowering,20.19,20,24.67,15,55,5.33,350.48,1.06,65,0.91,5.8,0,1
30.29,Flowering,20.28,20,24.5,15,55,5.5,352.11,1.06,65,0.92,5.8,0,1
30.71,Flowering,20.38,20,24.34,15,55,5.66,353.73,1.06,65,0.93,5.8,0,1
31.14,Flowering,20.47,20,24.18,15,55,5.82,355.36,1.07,65,0.93,5.8,0,1
31.56,Flowering,20.56,20,24.01,15,55,5.99,356.99,1.07,65,0.94,5.8,0,1
31.99,Flowering,20.66,20,23.85,15,55,6.15,358.62,1.07,65,0.94,5.8,0,1
32.41,Flowering,20.75,20,23.69,15,55,6.31,360.24,1.07,65,0.95,5.8,0,1
32.83,Flowering,20.84,20,23.53,15,55,6.47,361.87,1.08,65,0.96,5.8,0,1
