Table 1
Day,Stage,DLI Target (mol/m²/d),Temp Target (°C),Blue (%),Green (%),Red (%),Far-Red (%),PPFD Target (µmol/m²/s),VPD Target (kPa),Max Humidity (%),EC Target (dS/m),pH Target,Veg,Fruit
1,Seedling,8,21,45,10,45,0,138.89,0.95,65,1,5.8,1,0
2,Seedling,8.24,21,45,10,45,0,142.97,0.95,65,1.01,5.8,1,0
3,Seedling,8.47,21,45,10,45,0,147.06,0.96,65,1.02,5.8,1,0
4,Seedling,8.71,21,45,10,45,0,151.14,0.96,65,1.04,5.8,1,0
5,Seedling,8.94,21,45,10,45,0,155.23,0.96,65,1.05,5.8,1,0
6,Seedling,9.18,21,43.68,11.32,43.68,1.32,159.31,0.96,65,1.06,5.8,1,0
7,Seedling,9.41,21,40,15,40,5,163.4,0.97,65,1.07,5.8,1,0
8,Seedling,9.65,21,40,15,40,5,167.48,0.97,65,1.08,5.8,1,0
9,Seedling,9.88,21,40,15,40,5,171.57,0.97,65,1.09,5.8,1,0
10,Seedling,10.12,21,40,15,40,5,175.65,0.98,65,1.11,5.8,1,0
11,Seedling,10.35,21,40,15,40,5,179.74,0.98,65,1.12,5.8,1,0
12,Seedling,10.59,21,40,15,40,5,183.82,0.98,65,1.13,5.8,1,0
13,Seedling,10.82,21,40,15,40,5,187.91,0.99,65,1.14,5.8,1,0
14,Seedling,11.06,21,40,15,40,5,191.99,0.99,65,1.15,5.8,1,0
15,Seedling,11.29,21,40,15,40,5,196.08,0.99,65,1.16,5.8,1,0
16,Seedling,11.53,21,40,15,40,5,200.16,0.99,65,1.18,5.8,1,0
17,Seedling,11.76,21,40,15,40,5,204.25,1,65,1.19,5.8,1,0
18,Seedling,12,21,37.5,12.5,45,5,208.33,1,65,1.2,5.8,1,0
19,Vegetative,14,21,35,10,50,5,243.06,1.05,65,1.6,5.8,1,0
20,Vegetative,14.38,21,35,10,50,5,249.57,1.06,65,1.62,5.8,1,0
21,Vegetative,14.75,21,35,10,50,5,256.08,1.06,65,1.65,5.8,1,0
22,Vegetative,15.12,21,35,10,50,5,262.59,1.07,65,1.68,5.8,1,0
23,Vegetative,15.5,21,35,10,50,5,269.1,1.07,65,1.7,5.8,1,0
24,Vegetative,15.88,21,35,10,50,5,275.61,1.08,65,1.73,5.8,1,0
25,Vegetative,16.25,21,35,10,50,5,282.12,1.09,65,1.75,5.8,1,0
26,Vegetative,16.62,21,35,10,50,5,288.63,1.09,65,1.78,5.8,1,0
27,Vegetative,17,21,35,10,50,5,295.14,1.1,65,1.8,5.8,1,0
28,Vegetative,17.38,21,35.15,10,49.85,5,301.65,1.11,65,1.82,5.8,1,0
29,Vegetative,17.75,21,39.41,10,45.59,5,308.16,1.11,65,1.85,5.8,1,0
30,Vegetative,18.12,21,40,10,45,5,314.67,1.12,65,1.88,5.8,1,0
31,Vegetative,18.5,21,40,10,45,5,321.18,1.12,65,1.9,5.8,1,0
32,Vegetative,18.88,21,40,10,45,5,327.69,1.13,65,1.93,5.8,1,0
33,Vegetative,19.25,21,40,10,45,5,334.2,1.14,65,1.95,5.8,1,0
34,Vegetative,19.62,21,40,10,45,5,340.71,1.14,65,1.98,5.8,1,0
35,Vegetative,20,21,40,10,45,5,347.22,1.15,65,2,5.8,1,0
