Table 1
Day,Stage,DLI Target (mol/m²/d),Temp Target (°C),Blue (%),Green (%),Red (%),Far-Red (%),PPFD Target (µmol/m²/s),VPD Target (kPa),Max Humidity (%),EC Target (dS/m),pH Target,Veg,Fruit
1,Seedling,12,20,30,15,50,5,208.33,0.9,65,0.7,5.8,1,0
2,Seedling,12.06,20,30,15,50,5,209.35,0.9,65,0.71,5.8,1,0
3,Seedling,12.12,20,30,15,50,5,210.38,0.9,65,0.71,5.8,1,0
4,Seedling,12.18,20,30,15,50,5,211.4,0.9,65,0.72,5.8,1,0
5,Seedling,12.24,20,30,15,50,5,212.42,0.91,65,0.72,5.8,1,0
6,Seedling,12.29,20,30,15,50,5,213.44,0.91,65,0.73,5.8,1,0
7,Seedling,12.35,20,30,15,50,5,214.46,0.91,65,0.74,5.8,1,0
8,Seedling,12.41,20,30,15,50,5,215.48,0.91,65,0.74,5.8,1,0
9,Seedling,12.47,20,30,15,50,5,216.5,0.91,65,0.75,5.8,1,0
10,Seedling,12.53,20,30,15,50,5,217.52,0.91,65,0.75,5.8,1,0
11,Seedling,12.59,20,30,15,50,5,218.55,0.91,65,0.76,5.8,1,0
12,Seedling,12.65,20,30,15,50,5,219.57,0.92,65,0.76,5.8,1,0
13,Seedling,12.71,20,30,15,50,5,220.59,0.92,65,0.77,5.8,1,0
14,Seedling,12.76,20,30,15,50,5,221.61,0.92,65,0.78,5.8,1,0
15,Seedling,12.82,20,30,15,50,5,222.63,0.92,65,0.78,5.8,1,0
16,Seedling,12.88,20,30,15,50,5,223.65,0.92,65,0.79,5.8,1,0
17,Seedling,12.94,20,30,15,50,5,224.67,0.92,65,0.79,5.8,1,0
18,Seedling,13,20,30,15,50,5,225.69,0.93,65,0.8,5.8,1,0
19,Seedling,13.06,20,30,15,50,5,226.72,0.93,65,0.81,5.8,1,0
20,Seedling,13.12,20,30,15,50,5,227.74,0.93,65,0.81,5.8,1,0
21,Seedling,13.18,20,30,15,50,5,228.76,0.93,65,0.82,5.8,1,0
22,Seedling,13.24,20,30,15,50,5,229.78,0.93,65,0.82,5.8,1,0
23,Seedling,13.29,20,30,15,50,5,230.8,0.93,65,0.83,5.8,1,0
24,Seedling,13.35,20,30,15,50,5,231.82,0.93,65,0.84,5.8,1,0
25,Seedling,13.41,20,30,15,50,5,232.84,0.94,65,0.84,5.8,1,0
26,Seedling,13.47,20,30,15,50,5,233.86,0.94,65,0.85,5.8,1,0
27,Seedling,13.53,20,30,15,50,5,234.89,0.94,65,0.85,5.8,1,0
28,Seedling,13.59,20,30,15,50,5,235.91,0.94,65,0.86,5.8,1,0
29,Seedling,13.65,20,30,15,50,5,236.93,0.94,65,0.86,5.8,1,0
30,Seedling,13.71,20,30,15,50,5,237.95,0.94,65,0.87,5.8,1,0
31,Seedling,13.76,20,30,15,50,5,238.97,0.94,65,0.88,5.8,1,0
32,Seedling,13.82,20,30,15,50,5,239.99,0.95,65,0.88,5.8,1,0
33,Seedling,13.88,20,30,15,50,5,241.01,0.95,65,0.89,5.8,1,0
34,Seedling,13.94,20,30,15,50,5,242.03,0.95,65,0.89,5.8,1,0
35,Seedling,14,20,30,15,50,5,243.06,0.95,65,0.9,5.8,1,0
36,Vegetative,14,20,30,15,50,5,243.06,0.95,65,0.8,5.8,1,0
37,Vegetative,14.18,20,29.9,15,50.1,5,246.12,0.95,65,0.81,5.8,1,0
38,Vegetative,14.35,20,29.75,15,50.25,5,249.18,0.96,65,0.81,5.8,1,0
39,Vegetative,14.53,20,29.6,15,50.4,5,252.25,0.96,65,0.82,5.8,1,0
40,Vegetative,14.71,20,29.45,15,50.55,5,255.31,0.96,65,0.82,5.8,1,0
41,Vegetative,14.88,20,29.29,15,50.71,5,258.37,0.96,65,0.83,5.8,1,0
42,Vegetative,15.06,20,29.14,15,50.86,5,261.44,0.97,65,0.84,5.8,1,0
43,Vegetative,15.24,20,28.99,15,51.01,5,264.5,0.97,65,0.84,5.8,1,0
44,Vegetative,15.41,20,28.84,15,51.16,5,267.57,0.97,65,0.85,5.8,1,0
45,Vegetative,15.59,20,28.68,15,51.32,5,270.63,0.98,65,0.85,5.8,1,0
46,Vegetative,15.76,20,28.53,15,51.47,5,273.69,0.98,65,0.86,5.8,1,0
47,Vegetative,15.94,20,28.38,15,51.62,5,276.76,0.98,65,0.86,5.8,1,0
48,Vegetative,16.12,20,28.23,15,51.77,5,279.82,0.99,65,0.87,5.8,1,0
49,Vegetative,16.29,20,28.07,15,51.93,5,282.88,0.99,65,0.88,5.8,1,0
50,Vegetative,16.47,20,27.92,15,52.08,5,285.95,0.99,65,0.88,5.8,1,0
51,Vegetative,16.65,20,27.77,15,52.23,5,289.01,0.99,65,0.89,5.8,1,0
52,Vegetative,16.82,20,27.62,15,52.38,5,292.08,1,65,0.89,5.8,1,0
53,Vegetative,17,20,27.47,15,52.53,5,295.14,1,65,0.9,5.8,1,0
54,Vegetative,17.18,20,27.31,15,52.69,5,298.2,1,65,0.91,5.8,1,0
55,Vegetative,17.35,20,27.16,15,52.84,5,301.27,1.01,65,0.91,5.8,1,0
56,Vegetative,17.53,20,27.01,15,52.99,5,304.33,1.01,65,0.92,5.8,1,0
57,Vegetative,17.71,20,26.86,15,53.14,5,307.39,1.01,65,0.92,5.8,1,0
58,Vegetative,17.88,20,26.7,15,53.3,5,310.46,1.01,65,0.93,5.8,1,0
59,Vegetative,18.06,20,26.55,15,53.45,5,313.52,1.02,65,0.94,5.8,1,0
60,Vegetative,18.24,20,26.4,15,53.6,5,316.58,1.02,65,0.94,5.8,1,0
61,Vegetative,18.41,20,26.25,15,53.75,5,319.65,1.02,65,0.95,5.8,1,0
62,Vegetative,18.59,20,26.09,15,53.91,5,322.71,1.03,65,0.95,5.8,1,0
63,Vegetative,18.76,20,25.94,15,54.06,5,325.78,1.03,65,0.96,5.8,1,0
64,Vegetative,18.94,20,25.79,15,54.21,5,328.84,1.03,65,0.96,5.8,1,0
65,Vegetative,19.12,20,25.64,15,54.36,5,331.9,1.04,65,0.97,5.8,1,0
66,Vegetative,19.29,20,25.49,15,54.51,5,334.97,1.04,65,0.98,5.8,1,0
67,Vegetative,19.47,20,25.33,15,54.67,5,338.03,1.04,65,0.98,5.8,1,0
68,Vegetative,19.65,20,25.18,15,54.82,5,341.09,1.04,65,0.99,5.8,1,0
69,Vegetative,19.82,20,25.03,15,54.97,5,344.16,1.05,65,0.99,5.8,1,0
70,Vegetative,20,20,25,15,55,5,347.22,1.05,65,1,5.8,1,0
71,Flowering,20,20,25,15,55,5,347.22,1.05,65,0.9,5.8,0,1
72,Flowering,20.09,20,24.96,15,55,5.04,348.75,1.05,65,0.91,5.8,0,1
73,Flowering,20.18,20,24.8,15,55,5.2,350.29,1.06,65,0.91,5.8,0,1
74,Flowering,20.26,20,24.65,15,55,5.35,351.82,1.06,65,0.92,5.8,0,1
75,Flowering,20.35,20,24.5,15,55,5.5,353.35,1.06,65,0.92,5.8,0,1
76,Flowering,20.44,20,24.35,15,55,5.65,354.88,1.06,65,0.93,5.8,0,1
77,Flowering,20.53,20,24.19,15,55,5.81,356.41,1.07,65,0.94,5.8,0,1
78,Flowering,20.62,20,24.04,15,55,5.96,357.95,1.07,65,0.94,5.8,0,1
79,Flowering,20.71,20,23.89,15,55,6.11,359.48,1.07,65,0.95,5.8,0,1
80,Flowering,20.79,20,23.74,15,55,6.26,361.01,1.08,65,0.95,5.8,0,1
81,Flowering,20.88,20,23.59,15,55,6.41,362.54,1.08,65,0.96,5.8,0,1
82,Flowering,20.97,20,23.43,15,55,6.57,364.07,1.08,65,0.96,5.8,0,1
83,Flowering,21.06,20,23.28,15,55,6.72,365.6,1.09,65,0.97,5.8,0,1
84,Flowering,21.15,20,23.13,15,55,6.87,367.14,1.09,65,0.98,5.8,0,1
85,Flowering,21.24,20,22.98,15,55,7.02,368.67,1.09,65,0.98,5.8,0,1
86,Flowering,21.32,20,22.82,15,55,7.18,370.2,1.09,65,0.99,5.8,0,1
87,Flowering,21.41,20,22.67,15,55,7.33,371.73,1.1,65,0.99,5.8,0,1
88,Flowering,21.5,20,22.52,15,55,7.48,373.26,1.1,65,1,5.8,0,1
89,Flowering,21.59,20,22.37,15,55,7.63,374.8,1.1,65,1.01,5.8,0,1
90,Flowering,21.68,20,22.21,15,55,7.79,376.33,1.11,65,1.01,5.8,0,1
91,Flowering,21.76,20,22.06,15,55,7.94,377.86,1.11,65,1.02,5.8,0,1
92,Flowering,21.85,20,21.91,15,55,8.09,379.39,1.11,65,1.02,5.8,0,1
93,Flowering,21.94,20,21.76,15,55,8.24,380.92,1.11,65,1.03,5.8,0,1
94,Flowering,22.03,20,21.61,15,55,8.39,382.46,1.12,65,1.04,5.8,0,1
95,Flowering,22.12,20,21.45,15,55,8.55,383.99,1.12,65,1.04,5.8,0,1
96,Flowering,22.21,20,21.3,15,55,8.7,385.52,1.12,65,1.05,5.8,0,1
97,Flowering,22.29,20,21.15,15,55,8.85,387.05,1.13,65,1.05,5.8,0,1
98,Flowering,22.38,20,21,15,55,9,388.58,1.13,65,1.06,5.8,0,1
99,Flowering,22.47,20,20.84,15,55,9.16,390.11,1.13,65,1.06,5.8,0,1
100,Flowering,22.56,20,20.69,15,55,9.31,391.65,1.14,65,1.07,5.8,0,1
101,Flowering,22.65,20,20.54,15,55,9.46,393.18,1.14,65,1.08,5.8,0,1
102,Flowering,22.74,20,20.39,15,55,9.61,394.71,1.14,65,1.08,5.8,0,1
103,Flowering,22.82,20,20.23,15,55,9.77,396.24,1.14,65,1.09,5.8,0,1
104,Flowering,22.91,20,20.08,15,55,9.92,397.77,1.15,65,1.09,5.8,0,1
105,Flowering,23,20,20,15,55,10,399.31,1.15,65,1.1,5.8,0,1
106,Fruiting,23,20,20,15,55,10,399.31,1.1,65,0.9,5.8,0,1
107,Fruiting,23.05,20,20,15,55,10,400.09,1.1,65,0.9,5.8,0,1
108,Fruiting,23.09,20,19.89,15,55,10.11,400.88,1.1,65,0.91,5.8,0,1
109,Fruiting,23.14,20,19.77,15,55,10.23,401.67,1.11,65,0.91,5.8,0,1
