Table 1
Day,Stage,DLI Target (mol/m²/d),Temp Target (°C),Blue (%),Green (%),Red (%),Far-Red (%),PPFD Target (µmol/m²/s),VPD Target (kPa),Max Humidity (%),EC Target (dS/m),pH Target,Veg,Fruit
1,Seedling,8,23,45,10,45,0,138.89,0.95,65,1,5.8,1,0
2,Seedling,8.29,23,45,10,45,0,143.85,0.95,65,1.01,5.8,1,0
3,Seedling,8.57,23,45,10,45,0,148.81,0.96,65,1.03,5.8,1,0
4,Seedling,8.86,23,45,10,45,0,153.77,0.96,65,1.04,5.8,1,0
5,Seedling,9.14,23,45,10,45,0,158.73,0.96,65,1.06,5.8,1,0
6,Seedling,9.43,23,40,15,40,5,163.69,0.97,65,1.07,5.8,1,0
7,Seedling,9.71,23,40,15,40,5,168.65,0.97,65,1.09,5.8,1,0
8,Seedling,10,23,40,15,40,5,173.61,0.97,65,1.1,5.8,1,0
9,Seedling,10.29,23,40,15,40,5,178.57,0.98,65,1.11,5.8,1,0
10,Seedling,10.57,23,40,15,40,5,183.53,0.98,65,1.13,5.8,1,0
11,Seedling,10.86,23,40,15,40,5,188.49,0.99,65,1.14,5.8,1,0
12,Seedling,11.14,23,40,15,40,5,193.45,0.99,65,1.16,5.8,1,0
13,Seedling,11.43,23,40,15,40,5,198.41,0.99,65,1.17,5.8,1,0
14,Seedling,11.71,23,40,15,40,5,203.37,1,65,1.19,5.8,1,0
15,Seedling,12,23,40,15,40,5,208.33,1,65,1.2,5.8,1,0
16,Vegetative,14,23,35,10,50,5,243.06,1.05,65,1.6,5.8,1,0
17,Vegetative,14.43,23,35,10,50,5,250.5,1.06,65,1.63,5.8,1,0
18,Vegetative,14.86,23,35,10,50,5,257.94,1.06,65,1.66,5.8,1,0
19,Vegetative,15.29,23,35,10,50,5,265.38,1.07,65,1.69,5.8,1,0
20,Vegetative,15.71,23,35,10,50,5,272.82,1.08,65,1.71,5.8,1,0
21,Vegetative,16.14,23,35,10,50,5,280.26,1.09,65,1.74,5.8,1,0
22,Vegetative,16.57,23,35,10,50,5,287.7,1.09,65,1.77,5.8,1,0
23,Vegetative,17,23,35,10,50,5,295.14,1.1,65,1.8,5.8,1,0
24,Vegetative,17.43,23,35,10,50,5,302.58,1.11,65,1.83,5.8,1,0
25,Vegetative,17.86,23,40,10,45,5,310.02,1.11,65,1.86,5.8,1,0
26,Vegetative,18.29,23,40,10,45,5,317.46,1.12,65,1.89,5.8,1,0
27,Vegetative,18.71,23,40,10,45,5,324.9,1.13,65,1.91,5.8,1,0
28,Vegetative,19.14,23,40,10,45,5,332.34,1.14,65,1.94,5.8,1,0
29,Vegetative,19.57,23,40,10,45,5,339.78,1.14,65,1.97,5.8,1,0
30,Vegetative,20,23,40,10,45,5,347.22,1.15,65,2,5.8,1,0
