Table 1
Day,Stage,DLI Target (mol/m²/d),Temp Target (°C),Blue (%),Green (%),Red (%),Far-Red (%),PPFD Target (µmol/m²/s),VPD Target (kPa),Max Humidity (%),EC Target (dS/m),pH Target,Veg,Fruit
1,Seedling,8,21,45,10,45,0,138.89,0.95,65,1,5.8,1,0
1.74,Seedling,8.21,21,45,10,45,0,142.54,0.95,65,1.01,5.8,1,0
2.49,Seedling,8.42,21,45,10,45,0,146.2,0.96,65,1.02,5.8,1,0
3.23,Seedling,8.63,21,45,10,45,0,149.85,0.96,65,1.03,5.8,1,0
3.97,Seedling,8.84,21,45,10,45,0,153.51,0.96,65,1.04,5.8,1,0
4.72,Seedling,9.05,21,45,10,45,0,157.16,0.96,65,1.05,5.8,1,0
5.46,Seedling,9.26,21,42.69,12.31,42.69,2.31,160.82,0.97,65,1.06,5.8,1,0
6.21,Seedling,9.47,21,40,15,40,5,164.47,0.97,65,1.07,5.8,1,0
6.95,Seedling,9.68,21,40,15,40,5,168.13,0.97,65,1.08,5.8,1,0
7.69,Seedling,9.89,21,40,15,40,5,171.78,0.97,65,1.09,5.8,1,0
8.44,Seedling,10.11,21,40,15,40,5,175.44,0.98,65,1.11,5.8,1,0
9.18,Seedling,10.32,21,40,15,40,5,179.09,0.98,65,1.12,5.8,1,0
9.92,Seedling,10.53,21,40,15,40,5,182.75,0.98,65,1.13,5.8,1,0
10.67,Seedling,10.74,21,40,15,40,5,186.4,0.98,65,1.14,5.8,1,0
11.41,Seedling,10.95,21,40,15,40,5,190.06,0.99,65,1.15,5.8,1,0
12.15,Seedling,11.16,21,40,15,40,5,193.71,0.99,65,1.16,5.8,1,0
12.9,Seedling,11.37,21,40,15,40,5,197.37,0.99,65,1.17,5.8,1,0
13.64,Seedling,11.58,21,40,15,40,5,201.02,0.99,65,1.18,5.8,1,0
14.38,Seedling,11.79,21,40,15,40,5,204.68,1,65,1.19,5.8,1,0
15.13,Seedling,12,21,39.36,14.36,41.28,5,208.33,1,65,1.2,5.8,1,0
15.87,Vegetative,14,21,35.64,10.64,48.72,5,243.06,1.05,65,1.6,5.8,1,0
16.62,Vegetative,14.32,21,35,10,50,5,248.54,1.06,65,1.62,5.8,1,0
17.36,Vegetative,14.63,21,35,10,50,5,254.02,1.06,65,1.64,5.8,1,0
18.1,Vegetative,14.95,21,35,10,50,5,259.5,1.07,65,1.66,5.8,1,0
18.85,Vegetative,15.26,21,35,10,50,5,264.99,1.07,65,1.68,5.8,1,0
19.59,Vegetative,15.58,21,35,10,50,5,270.47,1.08,65,1.71,5.8,1,0
20.33,Vegetative,15.89,21,35,10,50,5,275.95,1.08,65,1.73,5.8,1,0
21.08,Vegetative,16.21,21,35,10,50,5,281.43,1.09,65,1.75,5.8,1,0
21.82,Vegetative,16.53,21,35,10,50,5,286.92,1.09,65,1.77,5.8,1,0
22.56,Vegetative,16.84,21,35,10,50,5,292.4,1.1,65,1.79,5.8,1,0
23.31,Vegetative,17.16,21,35,10,50,5,297.88,1.1,65,1.81,5.8,1,0
24.05,Vegetative,17.47,21,35.26,10,49.74,5,303.36,1.11,65,1.83,5.8,1,0
24.79,Vegetative,17.79,21,38.97,10,46.03,5,308.85,1.11,65,1.85,5.8,1,0
25.54,Vegetative,18.11,21,40,10,45,5,314.33,1.12,65,1.87,5.8,1,0
26.28,Vegetative,18.42,21,40,10,45,5,319.81,1.12,65,1.89,5.8,1,0
27.03,Vegetative,18.74,21,40,10,45,5,325.29,1.13,65,1.92,5.8,1,0
27.77,Vegetative,19.05,21,40,10,45,5,330.77,1.13,65,1.94,5.8,1,0
28.51,Vegetative,19.37,21,40,10,45,5,336.26,1.14,65,1.96,5.8,1,0
29.26,Vegetative,19.68,21,40,10,45,5,341.74,1.14,65,1.98,5.8,1,0
30,Vegetative,20,21,40,10,45,5,347.22,1.15,65,2,5.8,1,0
