Table 1
Day,Stage,DLI Target (mol/m²/d),Temp Target (°C),Blue (%),Green (%),Red (%),Far-Red (%),PPFD Target (µmol/m²/s),VPD Target (kPa),Max Humidity (%),EC Target (dS/m),pH Target,Veg,Fruit
1,Seedling,8,20,30,10,55,5,138.89,0.9,65,1,5.8,1,0
1.46,Seedling,8.14,20,30,10,55,5,141.28,0.9,65,1.01,5.8,1,0
1.91,Seedling,8.28,20,30,10,55,5,143.68,0.9,65,1.01,5.8,1,0
2.37,Seedling,8.41,20,30,10,55,5,146.07,0.91,65,1.02,5.8,1,0
2.83,Seedling,8.55,20,30,10,55,5,148.47,0.91,65,1.03,5.8,1,0
3.29,Seedling,8.69,20,30,10,55,5,150.86,0.91,65,1.03,5.8,1,0
3.74,Seedling,8.83,20,30,10,55,5,153.26,0.91,65,1.04,5.8,1,0
4.2,Seedling,8.97,20,30,10,55,5,155.65,0.91,65,1.05,5.8,1,0
4.66,Seedling,9.1,20,30,10,55,5,158.05,0.91,65,1.06,5.8,1,0
5.12,Seedling,9.24,20,30,10,55,5,160.44,0.92,65,1.06,5.8,1,0
5.57,Seedling,9.38,20,30,10,55,5,162.84,0.92,65,1.07,5.8,1,0
6.03,Seedling,9.52,20,30,10,55,5,165.23,0.92,65,1.08,5.8,1,0
6.49,Seedling,9.66,20,30,10,55,5,167.62,0.92,65,1.08,5.8,1,0
6.95,Seedling,9.79,20,30,10,55,5,170.02,0.92,65,1.09,5.8,1,0
7.4,Seedling,9.93,20,30,10,55,5,172.41,0.92,65,1.1,5.8,1,0
7.86,Seedling,10.07,20,30,10,55,5,174.81,0.93,65,1.1,5.8,1,0
8.32,Seedling,10.21,20,30,10,55,5,177.2,0.93,65,1.11,5.8,1,0
8.78,Seedling,10.34,20,30,10,55,5,179.6,0.93,65,1.12,5.8,1,0
9.23,Seedling,10.48,20,30,10,55,5,181.99,0.93,65,1.12,5.8,1,0
9.69,Seedling,10.62,20,30,10,55,5,184.39,0.93,65,1.13,5.8,1,0
10.15,Seedling,10.76,20,30,10,55,5,186.78,0.93,65,1.14,5.8,1,0
10.6,Seedling,10.9,20,30,10,55,5,189.18,0.94,65,1.14,5.8,1,0
11.06,Seedling,11.03,20,30,10,55,5,191.57,0.94,65,1.15,5.8,1,0
11.52,Seedling,11.17,20,30,10,55,5,193.97,0.94,65,1.16,5.8,1,0
11.98,Seedling,11.31,20,30,10,55,5,196.36,0.94,65,1.17,5.8,1,0
12.43,Seedling,11.45,20,30,10,55,5,198.75,0.94,65,1.17,5.8,1,0
12.89,Seedling,11.59,20,30,10,55,5,201.15,0.94,65,1.18,5.8,1,0
13.35,Seedling,11.72,20,30,10,55,5,203.54,0.95,65,1.19,5.8,1,0
13.81,Seedling,11.86,20,30,10,55,5,205.94,0.95,65,1.19,5.8,1,0
14.26,Seedling,12,20,30,10,55,5,208.33,0.95,65,1.2,5.8,1,0
14.72,Vegetative,12,20,30,10,55,5,208.33,0.95,65,1.4,5.8,1,0
15.18,Vegetative,12.11,20,29.94,9.99,55.06,5.01,210.32,0.95,65,1.41,5.8,1,0
15.64,Vegetative,12.23,20,29.79,9.96,55.21,5.04,212.3,0.96,65,1.42,5.8,1,0
16.09,Vegetative,12.34,20,29.64,9.93,55.36,5.07,214.29,0.96,65,1.43,5.8,1,0
16.55,Vegetative,12.46,20,29.48,9.9,55.52,5.1,216.27,0.96,65,1.45,5.8,1,0
17.01,Vegetative,12.57,20,29.33,9.87,55.67,5.13,218.25,0.96,65,1.46,5.8,1,0
17.47,Vegetative,12.69,20,29.18,9.84,55.82,5.16,220.24,0.97,65,1.47,5.8,1,0
17.92,Vegetative,12.8,20,29.03,9.81,55.97,5.19,222.22,0.97,65,1.48,5.8,1,0
18.38,Vegetative,12.91,20,28.87,9.77,56.13,5.23,224.21,0.97,65,1.49,5.8,1,0
18.84,Vegetative,13.03,20,28.72,9.74,56.28,5.26,226.19,0.98,65,1.5,5.8,1,0
19.29,Vegetative,13.14,20,28.57,9.71,56.43,5.29,228.17,0.98,65,1.51,5.8,1,0
19.75,Vegetative,13.26,20,28.42,9.68,56.58,5.32,230.16,0.98,65,1.53,5.8,1,0
20.21,Vegetative,13.37,20,28.26,9.65,56.74,5.35,232.14,0.98,65,1.54,5.8,1,0
20.67,Vegetative,13.49,20,28.11,9.62,56.89,5.38,234.13,0.99,65,1.55,5.8,1,0
21.12,Vegetative,13.6,20,27.96,9.59,57.04,5.41,236.11,0.99,65,1.56,5.8,1,0
21.58,Vegetative,13.71,20,27.81,9.56,57.19,5.44,238.1,0.99,65,1.57,5.8,1,0
22.04,Vegetative,13.83,20,27.65,9.53,57.35,5.47,240.08,1,65,1.58,5.8,1,0
22.5,Vegetative,13.94,20,27.5,9.5,57.5,5.5,242.06,1,65,1.59,5.8,1,0
22.95,Vegetative,14.06,20,27.35,9.47,57.65,5.53,244.05,1,65,1.61,5.8,1,0
23.41,Vegetative,14.17,20,27.2,9.44,57.8,5.56,246.03,1,65,1.62,5.8,1,0
23.87,Vegetative,14.29,20,27.04,9.41,57.96,5.59,248.02,1.01,65,1.63,5.8,1,0
24.33,Vegetative,14.4,20,26.89,9.38,58.11,5.62,250,1.01,65,1.64,5.8,1,0
24.78,Vegetative,14.51,20,26.74,9.35,58.26,5.65,251.98,1.01,65,1.65,5.8,1,0
25.24,Vegetative,14.63,20,26.59,9.32,58.41,5.68,253.97,1.02,65,1.66,5.8,1,0
25.7,Vegetative,14.74,20,26.43,9.29,58.57,5.71,255.95,1.02,65,1.67,5.8,1,0
26.16,Vegetative,14.86,20,26.28,9.26,58.72,5.74,257.94,1.02,65,1.69,5.8,1,0
26.61,Vegetative,14.97,20,26.13,9.23,58.87,5.77,259.92,1.02,65,1.7,5.8,1,0
27.07,Vegetative,15.09,20,25.98,9.2,59.02,5.8,261.9,1.03,65,1.71,5.8,1,0
27.53,Vegetative,15.2,20,25.82,9.16,59.18,5.84,263.89,1.03,65,1.72,5.8,1,0
27.98,Vegetative,15.31,20,25.67,9.13,59.33,5.87,265.87,1.03,65,1.73,5.8,1,0
28.44,Vegetative,15.43,20,25.52,9.1,59.48,5.9,267.86,1.04,65,1.74,5.8,1,0
28.9,Vegetative,15.54,20,25.37,9.07,59.63,5.93,269.84,1.04,65,1.75,5.8,1,0
29.36,Vegetative,15.66,20,25.21,9.04,59.79,5.96,271.83,1.04,65,1.77,5.8,1,0
29.81,Vegetative,15.77,20,25.06,9.01,59.94,5.99,273.81,1.04,65,1.78,5.8,1,0
30.27,Vegetative,15.89,20,25,9,60,6,275.79,1.05,65,1.79,5.8,1,0
30.73,Vegetative,16,20,25,9,60,6,277.78,1.05,65,1.8,5.8,1,0
31.19,Flowering,14,20,24.93,8.97,60.07,6.03,243.06,1,65,1.6,5.8,0,1
31.64,Flowering,14.06,20,24.77,8.91,60.23,6.09,244.18,1,65,1.61,5.8,0,1
32.1,Flowering,14.13,20,24.61,8.84,60.39,6.16,245.3,1,65,1.61,5.8,0,1
32.56,Flowering,14.19,20,24.44,8.78,60.56,6.22,246.42,1,65,1.62,5.8,0,1
33.02,Flowering,14.26,20,24.28,8.71,60.72,6.29,247.54,1.01,65,1.63,5.8,0,1
33.47,Flowering,14.32,20,24.12,8.65,60.88,6.35,248.66,1.01,65,1.63,5.8,0,1
33.93,Flowering,14.39,20,23.95,8.58,61.05,6.42,249.78,1.01,65,1.64,5.8,0,1
34.39,Flowering,14.45,20,23.79,8.52,61.21,6.48,250.9,1.01,65,1.65,5.8,0,1
34.84,Flowering,14.52,20,23.63,8.45,61.37,6.55,252.02,1.01,65,1.65,5.8,0,1
35.3,Flowering,14.58,20,23.46,8.39,61.54,6.61,253.14,1.01,65,1.66,5.8,0,1
35.76,Flowering,14.65,20,23.3,8.32,61.7,6.68,254.26,1.02,65,1.66,5.8,0,1
36.22,Flowering,14.71,20,23.14,8.25,61.86,6.75,255.38,1.02,65,1.67,5.8,0,1
36.67,Flowering,14.77,20,22.97,8.19,62.03,6.81,256.5,1.02,65,1.68,5.8,0,1
37.13,Flowering,14.84,20,22.81,8.12,62.19,6.88,257.62,1.02,65,1.68,5.8,0,1
37.59,Flowering,14.9,20,22.65,8.06,62.35,6.94,258.74,1.02,65,1.69,5.8,0,1
38.05,Flowering,14.97,20,22.48,7.99,62.52,7.01,259.86,1.02,65,1.7,5.8,0,1
