Table 1
Day,Stage,DLI Target (mol/m²/d),Temp Target (°C),Blue (%),Green (%),Red (%),Far-Red (%),PPFD Target (µmol/m²/s),VPD Target (kPa),Max Humidity (%),EC Target (dS/m),pH Target,Veg,Fruit
1,Seedling,8,21,45,10,45,0,138.89,0.95,65,1,5.8,1,0
2,Seedling,8.17,21,45,10,45,0,141.78,0.95,65,1.01,5.8,1,0
3,Seedling,8.33,21,45,10,45,0,144.68,0.95,65,1.02,5.8,1,0
4,Seedling,8.5,21,45,10,45,0,147.57,0.96,65,1.02,5.8,1,0
5,Seedling,8.67,21,45,10,45,0,150.46,0.96,65,1.03,5.8,1,0
6,Seedling,8.83,21,45,10,45,0,153.36,0.96,65,1.04,5.8,1,0
7,Seedling,9,21,45,10,45,0,156.25,0.96,65,1.05,5.8,1,0
8,Seedling,9.17,21,44.29,10.71,44.29,0.71,159.14,0.96,65,1.06,5.8,1,0
9,Seedling,9.33,21,41.33,13.67,41.33,3.67,162.04,0.97,65,1.07,5.8,1,0
10,Seedling,9.5,21,40,15,40,5,164.93,0.97,65,1.07,5.8,1,0
11,Seedling,9.67,21,40,15,40,5,167.82,0.97,65,1.08,5.8,1,0
12,Seedling,9.83,21,40,15,40,5,170.72,0.97,65,1.09,5.8,1,0
13,Seedling,10,21,40,15,40,5,173.61,0.97,65,1.1,5.8,1,0
14,Seedling,10.17,21,40,15,40,5,176.5,0.98,65,1.11,5.8,1,0
15,Seedling,10.33,21,40,15,40,5,179.4,0.98,65,1.12,5.8,1,0
16,Seedling,10.5,21,40,15,40,5,182.29,0.98,65,1.12,5.8,1,0
17,Seedling,10.67,21,40,15,40,5,185.19,0.98,65,1.13,5.8,1,0
18,Seedling,10.83,21,40,15,40,5,188.08,0.99,65,1.14,5.8,1,0
19,Seedling,11,21,40,15,40,5,190.97,0.99,65,1.15,5.8,1,0
20,Seedling,11.17,21,40,15,40,5,193.87,0.99,65,1.16,5.8,1,0
21,Seedling,11.33,21,40,15,40,5,196.76,0.99,65,1.17,5.8,1,0
22,Seedling,11.5,21,40,15,40,5,199.65,0.99,65,1.18,5.8,1,0
23,Seedling,11.67,21,40,15,40,5,202.55,1,65,1.18,5.8,1,0
24,Seedling,11.83,21,40,15,40,5,205.44,1,65,1.19,5.8,1,0
25,Seedling,12,21,38.98,13.98,42.04,5,208.33,1,65,1.2,5.8,1,0
26,Vegetative,14,21,36.02,11.02,47.96,5,243.06,1.05,65,1.6,5.8,1,0
27,Vegetative,14.25,21,35,10,50,5,247.4,1.05,65,1.62,5.8,1,0
28,Vegetative,14.5,21,35,10,50,5,251.74,1.06,65,1.63,5.8,1,0
29,Vegetative,14.75,21,35,10,50,5,256.08,1.06,65,1.65,5.8,1,0
30,Vegetative,15,21,35,10,50,5,260.42,1.07,65,1.67,5.8,1,0
31,Vegetative,15.25,21,35,10,50,5,264.76,1.07,65,1.68,5.8,1,0
32,Vegetative,15.5,21,35,10,50,5,269.1,1.07,65,1.7,5.8,1,0
33,Vegetative,15.75,21,35,10,50,5,273.44,1.08,65,1.72,5.8,1,0
34,Vegetative,16,21,35,10,50,5,277.78,1.08,65,1.73,5.8,1,0
35,Vegetative,16.25,21,35,10,50,5,282.12,1.09,65,1.75,5.8,1,0
36,Vegetative,16.5,21,35,10,50,5,286.46,1.09,65,1.77,5.8,1,0
37,Vegetative,16.75,21,35,10,50,5,290.8,1.1,65,1.78,5.8,1,0
38,Vegetative,17,21,35,10,50,5,295.14,1.1,65,1.8,5.8,1,0
39,Vegetative,17.25,21,35,10,50,5,299.48,1.1,65,1.82,5.8,1,0
40,Vegetative,17.5,21,35.41,10,49.59,5,303.82,1.11,65,1.83,5.8,1,0
41,Vegetative,17.75,21,38.37,10,46.63,5,308.16,1.11,65,1.85,5.8,1,0
42,Vegetative,18,21,40,10,45,5,312.5,1.12,65,1.87,5.8,1,0
43,Vegetative,18.25,21,40,10,45,5,316.84,1.12,65,1.88,5.8,1,0
44,Vegetative,18.5,21,40,10,45,5,321.18,1.12,65,1.9,5.8,1,0
45,Vegetative,18.75,21,40,10,45,5,325.52,1.13,65,1.92,5.8,1,0
46,Vegetative,19,21,40,10,45,5,329.86,1.13,65,1.93,5.8,1,0
47,Vegetative,19.25,21,40,10,45,5,334.2,1.14,65,1.95,5.8,1,0
48,Vegetative,19.5,21,40,10,45,5,338.54,1.14,65,1.97,5.8,1,0
49,Vegetative,19.75,21,40,10,45,5,342.88,1.15,65,1.98,5.8,1,0
50,Vegetative,20,21,40,10,45,5,347.22,1.15,65,2,5.8,1,0
