Table 1
Day,Stage,DLI Target (mol/m²/d),Temp Target (°C),Blue (%),Green (%),Red (%),Far-Red (%),PPFD Target (µmol/m²/s),VPD Target (kPa),Max Humidity (%),EC Target (dS/m),pH Target,Veg,Fruit
1,Seedling,8,20,45,10,45,0,138.89,0.9,65,1,5.8,1,0
2.5,Seedling,8.33,20,45,10,45,0,144.68,0.9,65,1.02,5.8,1,0
4,Seedling,8.67,20,45,10,45,0,150.46,0.91,65,1.03,5.8,1,0
5.5,Seedling,9,20,45,10,42.5,2.5,156.25,0.91,65,1.05,5.8,1,0
7,Seedling,9.33,20,45,10,40,5,162.04,0.92,65,1.07,5.8,1,0
8.5,Seedling,9.67,20,45,10,40,5,167.82,0.92,65,1.08,5.8,1,0
10,Seedling,10,20,45,10,40,5,173.61,0.93,65,1.1,5.8,1,0
11.5,Seedling,10.33,20,45,10,40,5,179.4,0.93,65,1.12,5.8,1,0
13,Seedling,10.67,20,45,10,40,5,185.19,0.93,65,1.13,5.8,1,0
14.5,Seedling,11,20,45,10,40,5,190.97,0.94,65,1.15,5.8,1,0
16,Seedling,11.33,20,45,10,40,5,196.76,0.94,65,1.17,5.8,1,0
17.5,Seedling,11.67,20,45,10,40,5,202.55,0.95,65,1.18,5.8,1,0
19,Seedling,12,20,45,10,40,5,208.33,0.95,65,1.2,5.8,1,0
20.5,Vegetative,12,20,30.19,19.62,45.19,5,208.33,0.95,65,1.4,5.8,1,0
22,Vegetative,12.36,20,30.77,18.46,45.77,5,214.65,0.96,65,1.44,5.8,1,0
23.5,Vegetative,12.73,20,31.35,17.3,46.35,5,220.96,0.97,65,1.47,5.8,1,0
25,Vegetative,13.09,20,31.92,16.16,46.92,5,227.27,0.98,65,1.51,5.8,1,0
26.5,Vegetative,13.45,20,32.5,15,47.5,5,233.59,0.99,65,1.55,5.8,1,0
28,Vegetative,13.82,20,33.08,13.84,48.08,5,239.9,1,65,1.58,5.8,1,0
29.5,Vegetative,14.18,20,33.65,12.7,48.65,5,246.21,1,65,1.62,5.8,1,0
31,Vegetative,14.55,20,34.23,11.54,49.23,5,252.53,1.01,65,1.65,5.8,1,0
32.5,Vegetative,14.91,20,34.81,10.38,49.81,5,258.84,1.02,65,1.69,5.8,1,0
34,Vegetative,15.27,20,35,20,40,5,265.15,1.03,65,1.73,5.8,1,0
35.5,Vegetative,15.64,20,36.25,17.5,41.25,5,271.46,1.04,65,1.76,5.8,1,0
37,Vegetative,16,20,37.5,20,42.5,0,277.78,1.05,65,1.8,5.8,1,0
