Table 1
Day,Stage,DLI Target (mol/m²/d),Temp Target (°C),Blue (%),Green (%),Red (%),Far-Red (%),PPFD Target (µmol/m²/s),VPD Target (kPa),Max Humidity (%),EC Target (dS/m),pH Target,Veg,Fruit
1,Seedling,8,20,25,34,40,1,138.89,0.9,65,1,5.8,1,0
2,Seedling,8.17,20,25,34,40,1,141.78,0.9,65,1.01,5.8,1,0
3,Seedling,8.33,20,25,34,40,1,144.68,0.9,65,1.02,5.8,1,0
4,Seedling,8.5,20,25,34,40,1,147.57,0.91,65,1.02,5.8,1,0
5,Seedling,8.67,20,25,34,40,1,150.46,0.91,65,1.03,5.8,1,0
6,Seedling,8.83,20,25,34,40,1,153.36,0.91,65,1.04,5.8,1,0
7,Seedling,9,20,25,34,40,1,156.25,0.91,65,1.05,5.8,1,0
8,Seedling,9.17,20,25,34,40,1,159.14,0.91,65,1.06,5.8,1,0
9,Seedling,9.33,20,25,34,40,1,162.04,0.92,65,1.07,5.8,1,0
10,Seedling,9.5,20,25,34,40,1,164.93,0.92,65,1.07,5.8,1,0
11,Seedling,9.67,20,25,34,40,1,167.82,0.92,65,1.08,5.8,1,0
12,Seedling,9.83,20,25,34,40,1,170.72,0.92,65,1.09,5.8,1,0
13,Seedling,10,20,25,34,40,1,173.61,0.93,65,1.1,5.8,1,0
14,Seedling,10.17,20,25,34,40,1,176.5,0.93,65,1.11,5.8,1,0
15,Seedling,10.33,20,25,34,40,1,179.4,0.93,65,1.12,5.8,1,0
16,Seedling,10.5,20,25,34,40,1,182.29,0.93,65,1.12,5.8,1,0
17,Seedling,10.67,20,25,34,40,1,185.19,0.93,65,1.13,5.8,1,0
18,Seedling,10.83,20,25,34,40,1,188.08,0.94,65,1.14,5.8,1,0
19,Seedling,11,20,25,34,40,1,190.97,0.94,65,1.15,5.8,1,0
20,Seedling,11.17,20,25,34,40,1,193.87,0.94,65,1.16,5.8,1,0
21,Seedling,11.33,20,25,34,40,1,196.76,0.94,65,1.17,5.8,1,0
22,Seedling,11.5,20,25,34,40,1,199.65,0.94,65,1.18,5.8,1,0
23,Seedling,11.67,20,25,34,40,1,202.55,0.95,65,1.18,5.8,1,0
24,Seedling,11.83,20,25,34,40,1,205.44,0.95,65,1.19,5.8,1,0
25,Seedling,12,20,25,34,40,1,208.33,0.95,65,1.2,5.8,1,0
