Table 1
Day,Stage,DLI Target (mol/m²/d),Temp Target (°C),Blue (%),Green (%),Red (%),Far-Red (%),PPFD Target (µmol/m²/s),VPD Target (kPa),Max Humidity (%),EC Target (dS/m),pH Target,Veg,Fruit
1,Seedling,8,20,20,29,45,6,138.89,0.9,65,1,5.8,1,0
2,Seedling,8.12,20,20,29,45,6,140.93,0.9,65,1.01,5.8,1,0
3,Seedling,8.24,20,20,29,45,6,142.97,0.9,65,1.01,5.8,1,0
4,Seedling,8.35,20,20,29,45,6,145.02,0.9,65,1.02,5.8,1,0
5,Seedling,8.47,20,20,29,45,6,147.06,0.91,65,1.02,5.8,1,0
6,Seedling,8.59,20,20,29,45,6,149.1,0.91,65,1.03,5.8,1,0
7,Seedling,8.71,20,20,29,45,6,151.14,0.91,65,1.04,5.8,1,0
8,Seedling,8.82,20,20,29,45,6,153.19,0.91,65,1.04,5.8,1,0
9,Seedling,8.94,20,20,29,45,6,155.23,0.91,65,1.05,5.8,1,0
10,Seedling,9.06,20,20,29,45,6,157.27,0.91,65,1.05,5.8,1,0
11,Seedling,9.18,20,20,29,45,6,159.31,0.91,65,1.06,5.8,1,0
12,Seedling,9.29,20,20,29,45,6,161.36,0.92,65,1.06,5.8,1,0
13,Seedling,9.41,20,20,29,45,6,163.4,0.92,65,1.07,5.8,1,0
14,Seedling,9.53,20,20,29,45,6,165.44,0.92,65,1.08,5.8,1,0
15,Seedling,9.65,20,20,29,45,6,167.48,0.92,65,1.08,5.8,1,0
16,Seedling,9.76,20,20,29,45,6,169.53,0.92,65,1.09,5.8,1,0
17,Seedling,9.88,20,20,29,45,6,171.57,0.92,65,1.09,5.8,1,0
18,Seedling,10,20,20,29,45,6,173.61,0.93,65,1.1,5.8,1,0
19,Seedling,10.12,20,20,29,45,6,175.65,0.93,65,1.11,5.8,1,0
20,Seedling,10.24,20,20,29,45,6,177.7,0.93,65,1.11,5.8,1,0
21,Seedling,10.35,20,20,29,45,6,179.74,0.93,65,1.12,5.8,1,0
22,Seedling,10.47,20,20,29,45,6,181.78,0.93,65,1.12,5.8,1,0
23,Seedling,10.59,20,20,29,45,6,183.82,0.93,65,1.13,5.8,1,0
24,Seedling,10.71,20,20,29,45,6,185.87,0.93,65,1.14,5.8,1,0
25,Seedling,10.82,20,20,29,45,6,187.91,0.94,65,1.14,5.8,1,0
26,Seedling,10.94,20,20,29,45,6,189.95,0.94,65,1.15,5.8,1,0
27,Seedling,11.06,20,20,29,45,6,191.99,0.94,65,1.15,5.8,1,0
28,Seedling,11.18,20,20,29,45,6,194.04,0.94,65,1.16,5.8,1,0
29,Seedling,11.29,20,20,29,45,6,196.08,0.94,65,1.16,5.8,1,0
30,Seedling,11.41,20,20,29,45,6,198.12,0.94,65,1.17,5.8,1,0
31,Seedling,11.53,20,20,29,45,6,200.16,0.94,65,1.18,5.8,1,0
32,Seedling,11.65,20,20,29,45,6,202.21,0.95,65,1.18,5.8,1,0
33,Seedling,11.76,20,20,29,45,6,204.25,0.95,65,1.19,5.8,1,0
34,Seedling,11.88,20,20,29,45,6,206.29,0.95,65,1.19,5.8,1,0
35,Seedling,12,20,20,29,45,6,208.33,0.95,65,1.2,5.8,1,0
