Table 1
Day,Stage,DLI Target (mol/m²/d),Temp Target (°C),Blue (%),Green (%),Red (%),Far-Red (%),PPFD Target (µmol/m²/s),VPD Target (kPa),Max Humidity (%),EC Target (dS/m),pH Target,Veg,Fruit
1,Seedling,8,21,45,10,45,0,138.89,0.95,65,1,5.8,1,0
2,Seedling,8.19,21,45,10,45,0,142.2,0.95,65,1.01,5.8,1,0
3,Seedling,8.38,21,45,10,45,0,145.5,0.95,65,1.02,5.8,1,0
4,Seedling,8.57,21,45,10,45,0,148.81,0.96,65,1.03,5.8,1,0
5,Seedling,8.76,21,45,10,45,0,152.12,0.96,65,1.04,5.8,1,0
6,Seedling,8.95,21,45,10,45,0,155.42,0.96,65,1.05,5.8,1,0
7,Seedling,9.14,21,45,10,45,0,158.73,0.96,65,1.06,5.8,1,0
8,Seedling,9.33,21,41.93,13.07,41.93,3.07,162.04,0.97,65,1.07,5.8,1,0
9,Seedling,9.52,21,40,15,40,5,165.34,0.97,65,1.08,5.8,1,0
10,Seedling,9.71,21,40,15,40,5,168.65,0.97,65,1.09,5.8,1,0
11,Seedling,9.9,21,40,15,40,5,171.96,0.97,65,1.1,5.8,1,0
12,Seedling,10.1,21,40,15,40,5,175.26,0.98,65,1.1,5.8,1,0
13,Seedling,10.29,21,40,15,40,5,178.57,0.98,65,1.11,5.8,1,0
14,Seedling,10.48,21,40,15,40,5,181.88,0.98,65,1.12,5.8,1,0
15,Seedling,10.67,21,40,15,40,5,185.19,0.98,65,1.13,5.8,1,0
16,Seedling,10.86,21,40,15,40,5,188.49,0.99,65,1.14,5.8,1,0
17,Seedling,11.05,21,40,15,40,5,191.8,0.99,65,1.15,5.8,1,0
18,Seedling,11.24,21,40,15,40,5,195.11,0.99,65,1.16,5.8,1,0
19,Seedling,11.43,21,40,15,40,5,198.41,0.99,65,1.17,5.8,1,0
20,Seedling,11.62,21,40,15,40,5,201.72,1,65,1.18,5.8,1,0
21,Seedling,11.81,21,40,15,40,5,205.03,1,65,1.19,5.8,1,0
22,Seedling,12,21,40,15,40,5,208.33,1,65,1.2,5.8,1,0
23,Vegetative,14,21,37.5,12.5,45,5,243.06,1.05,65,1.6,5.8,1,0
24,Vegetative,14.27,21,35,10,50,5,247.79,1.05,65,1.62,5.8,1,0
25,Vegetative,14.55,21,35,10,50,5,252.53,1.06,65,1.64,5.8,1,0
26,Vegetative,14.82,21,35,10,50,5,257.26,1.06,65,1.65,5.8,1,0
27,Vegetative,15.09,21,35,10,50,5,261.99,1.07,65,1.67,5.8,1,0
28,Vegetative,15.36,21,35,10,50,5,266.73,1.07,65,1.69,5.8,1,0
29,Vegetative,15.64,21,35,10,50,5,271.46,1.08,65,1.71,5.8,1,0
30,Vegetative,15.91,21,35,10,50,5,276.2,1.08,65,1.73,5.8,1,0
31,Vegetative,16.18,21,35,10,50,5,280.93,1.09,65,1.75,5.8,1,0
32,Vegetative,16.45,21,35,10,50,5,285.67,1.09,65,1.76,5.8,1,0
33,Vegetative,16.73,21,35,10,50,5,290.4,1.1,65,1.78,5.8,1,0
34,Vegetative,17,21,35,10,50,5,295.14,1.1,65,1.8,5.8,1,0
35,Vegetative,17.27,21,35,10,50,5,299.87,1.1,65,1.82,5.8,1,0
36,Vegetative,17.55,21,35.34,10,49.66,5,304.61,1.11,65,1.84,5.8,1,0
37,Vegetative,17.82,21,38.64,10,46.36,5,309.34,1.11,65,1.85,5.8,1,0
38,Vegetative,18.09,21,40,10,45,5,314.08,1.12,65,1.87,5.8,1,0
39,Vegetative,18.36,21,40,10,45,5,318.81,1.12,65,1.89,5.8,1,0
40,Vegetative,18.64,21,40,10,45,5,323.55,1.13,65,1.91,5.8,1,0
41,Vegetative,18.91,21,40,10,45,5,328.28,1.13,65,1.93,5.8,1,0
42,Vegetative,19.18,21,40,10,45,5,333.02,1.14,65,1.95,5.8,1,0
43,Vegetative,19.45,21,40,10,45,5,337.75,1.14,65,1.96,5.8,1,0
44,Vegetative,19.73,21,40,10,45,5,342.49,1.15,65,1.98,5.8,1,0
45,Vegetative,20,21,40,10,45,5,347.22,1.15,65,2,5.8,1,0
