Table 1
Day,Stage,DLI Target (mol/m²/d),Temp Target (°C),Blue (%),Green (%),Red (%),Far-Red (%),PPFD Target (µmol/m²/s),VPD Target (kPa),Max Humidity (%),EC Target (dS/m),pH Target,Veg,Fruit
1,Seedling,10,26,30,10,55,5,154.32,1.05,65,1.2,6.1,1,0
1.46,Seedling,10.14,26,30,10,55,5,156.45,1.05,65,1.21,6.1,1,0
1.91,Seedling,10.28,26,30,10,55,5,158.58,1.06,65,1.23,6.1,1,0
2.37,Seedling,10.41,26,30,10,55,5,160.71,1.06,65,1.24,6.1,1,0
2.83,Seedling,10.55,26,30,10,55,5,162.84,1.06,65,1.26,6.1,1,0
3.29,Seedling,10.69,26,30,10,55,5,164.96,1.07,65,1.27,6.1,1,0
3.74,Seedling,10.83,26,30,10,55,5,167.09,1.07,65,1.28,6.1,1,0
4.2,Seedling,10.97,26,30,10,55,5,169.22,1.07,65,1.3,6.1,1,0
4.66,Seedling,11.1,26,30,10,55,5,171.35,1.08,65,1.31,6.1,1,0
5.12,Seedling,11.24,26,30,10,55,5,173.48,1.08,65,1.32,6.1,1,0
5.57,Seedling,11.38,26,30,10,55,5,175.61,1.08,65,1.34,6.1,1,0
6.03,Seedling,11.52,26,30,10,55,5,177.74,1.09,65,1.35,6.1,1,0
6.49,Seedling,11.66,26,30,10,55,5,179.86,1.09,65,1.37,6.1,1,0
6.95,Seedling,11.79,26,30,10,55,5,181.99,1.09,65,1.38,6.1,1,0
7.4,Seedling,11.93,26,30,10,55,5,184.12,1.1,65,1.39,6.1,1,0
7.86,Seedling,12.07,26,30,10,55,5,186.25,1.1,65,1.41,6.1,1,0
8.32,Seedling,12.21,26,30,10,55,5,188.38,1.11,65,1.42,6.1,1,0
8.78,Seedling,12.34,26,30,10,55,5,190.51,1.11,65,1.43,6.1,1,0
9.23,Seedling,12.48,26,30,10,55,5,192.64,1.11,65,1.45,6.1,1,0
9.69,Seedling,12.62,26,30,10,55,5,194.76,1.12,65,1.46,6.1,1,0
10.15,Seedling,12.76,26,30,10,55,5,196.89,1.12,65,1.48,6.1,1,0
10.6,Seedling,12.9,26,30,10,55,5,199.02,1.12,65,1.49,6.1,1,0
11.06,Seedling,13.03,26,30,10,55,5,201.15,1.13,65,1.5,6.1,1,0
11.52,Seedling,13.17,26,30,10,55,5,203.28,1.13,65,1.52,6.1,1,0
11.98,Seedling,13.31,26,30,10,55,5,205.41,1.13,65,1.53,6.1,1,0
12.43,Seedling,13.45,26,30,10,55,5,207.54,1.14,65,1.54,6.1,1,0
12.89,Seedling,13.59,26,30,10,55,5,209.66,1.14,65,1.56,6.1,1,0
13.35,Seedling,13.72,26,30,10,55,5,211.79,1.14,65,1.57,6.1,1,0
13.81,Seedling,13.86,26,30,10,55,5,213.92,1.15,65,1.59,6.1,1,0
14.26,Seedling,14,26,30,10,55,5,216.05,1.15,65,1.6,6.1,1,0
14.72,Vegetative,18,26,30,10,55,5,277.78,1.15,65,2,6.1,1,0
15.18,Vegetative,18.23,26,29.94,9.99,55.06,5.01,281.31,1.15,65,2.02,6.1,1,0
15.64,Vegetative,18.46,26,29.79,9.96,55.21,5.04,284.83,1.16,65,2.03,6.1,1,0
16.09,Vegetative,18.69,26,29.64,9.93,55.36,5.07,288.36,1.16,65,2.05,6.1,1,0
16.55,Vegetative,18.91,26,29.48,9.9,55.52,5.1,291.89,1.16,65,2.07,6.1,1,0
17.01,Vegetative,19.14,26,29.33,9.87,55.67,5.13,295.41,1.16,65,2.09,6.1,1,0
17.47,Vegetative,19.37,26,29.18,9.84,55.82,5.16,298.94,1.17,65,2.1,6.1,1,0
17.92,Vegetative,19.6,26,29.03,9.81,55.97,5.19,302.47,1.17,65,2.12,6.1,1,0
18.38,Vegetative,19.83,26,28.87,9.77,56.13,5.23,306,1.17,65,2.14,6.1,1,0
18.84,Vegetative,20.06,26,28.72,9.74,56.28,5.26,309.52,1.18,65,2.15,6.1,1,0
19.29,Vegetative,20.29,26,28.57,9.71,56.43,5.29,313.05,1.18,65,2.17,6.1,1,0
19.75,Vegetative,20.51,26,28.42,9.68,56.58,5.32,316.58,1.18,65,2.19,6.1,1,0
20.21,Vegetative,20.74,26,28.26,9.65,56.74,5.35,320.11,1.18,65,2.21,6.1,1,0
20.67,Vegetative,20.97,26,28.11,9.62,56.89,5.38,323.63,1.19,65,2.22,6.1,1,0
21.12,Vegetative,21.2,26,27.96,9.59,57.04,5.41,327.16,1.19,65,2.24,6.1,1,0
21.58,Vegetative,21.43,26,27.81,9.56,57.19,5.44,330.69,1.19,65,2.26,6.1,1,0
22.04,Vegetative,21.66,26,27.65,9.53,57.35,5.47,334.22,1.2,65,2.27,6.1,1,0
22.5,Vegetative,21.89,26,27.5,9.5,57.5,5.5,337.74,1.2,65,2.29,6.1,1,0
22.95,Vegetative,22.11,26,27.35,9.47,57.65,5.53,341.27,1.2,65,2.31,6.1,1,0
23.41,Vegetative,22.34,26,27.2,9.44,57.8,5.56,344.8,1.2,65,2.33,6.1,1,0
23.87,Vegetative,22.57,26,27.04,9.41,57.96,5.59,348.32,1.21,65,2.34,6.1,1,0
24.33,Vegetative,22.8,26,26.89,9.38,58.11,5.62,351.85,1.21,65,2.36,6.1,1,0
24.78,Vegetative,23.03,26,26.74,9.35,58.26,5.65,355.38,1.21,65,2.38,6.1,1,0
25.24,Vegetative,23.26,26,26.59,9.32,58.41,5.68,358.91,1.22,65,2.39,6.1,1,0
25.7,Vegetative,23.49,26,26.43,9.29,58.57,5.71,362.43,1.22,65,2.41,6.1,1,0
26.16,Vegetative,23.71,26,26.28,9.26,58.72,5.74,365.96,1.22,65,2.43,6.1,1,0
26.61,Vegetative,23.94,26,26.13,9.23,58.87,5.77,369.49,1.22,65,2.45,6.1,1,0
27.07,Vegetative,24.17,26,25.98,9.2,59.02,5.8,373.02,1.23,65,2.46,6.1,1,0
27.53,Vegetative,24.4,26,25.82,9.16,59.18,5.84,376.54,1.23,65,2.48,6.1,1,0
27.98,Vegetative,24.63,26,25.67,9.13,59.33,5.87,380.07,1.23,65,2.5,6.1,1,0
28.44,Vegetative,24.86,26,25.52,9.1,59.48,5.9,383.6,1.24,65,2.51,6.1,1,0
28.9,Vegetative,25.09,26,25.37,9.07,59.63,5.93,387.13,1.24,65,2.53,6.1,1,0
29.36,Vegetative,25.31,26,25.21,9.04,59.79,5.96,390.65,1.24,65,2.55,6.1,1,0
29.81,Vegetative,25.54,26,25.06,9.01,59.94,5.99,394.18,1.24,65,2.57,6.1,1,0
30.27,Vegetative,25.77,26,25,9,60,6,397.71,1.25,65,2.58,6.1,1,0
30.73,Vegetative,26,26,25,9,60,6,401.23,1.25,65,2.6,6.1,1,0
31.19,Flowering,26,26,24.93,8.97,60.07,6.03,401.23,1.2,65,2.6,6.1,0,1
31.64,Flowering,26.19,26,24.77,8.91,60.23,6.09,404.22,1.2,65,2.62,6.1,0,1
32.1,Flowering,26.39,26,24.61,8.84,60.39,6.16,407.21,1.21,65,2.64,6.1,0,1
32.56,Flowering,26.58,26,24.44,8.78,60.56,6.22,410.2,1.21,65,2.66,6.1,0,1
33.02,Flowering,26.77,26,24.28,8.71,60.72,6.29,413.18,1.22,65,2.68,6.1,0,1
33.47,Flowering,26.97,26,24.12,8.65,60.88,6.35,416.17,1.22,65,2.7,6.1,0,1
33.93,Flowering,27.16,26,23.95,8.58,61.05,6.42,419.16,1.23,65,2.72,6.1,0,1
34.39,Flowering,27.35,26,23.79,8.52,61.21,6.48,422.14,1.23,65,2.74,6.1,0,1
34.84,Flowering,27.55,26,23.63,8.45,61.37,6.55,425.13,1.24,65,2.75,6.1,0,1
35.3,Flowering,27.74,26,23.46,8.39,61.54,6.61,428.12,1.24,65,2.77,6.1,0,1
35.76,Flowering,27.94,26,23.3,8.32,61.7,6.68,431.1,1.25,65,2.79,6.1,0,1
36.22,Flowering,28.13,26,23.14,8.25,61.86,6.75,434.09,1.25,65,2.81,6.1,0,1
36.67,Flowering,28.32,26,22.97,8.19,62.03,6.81,437.08,1.26,65,2.83,6.1,0,1
37.13,Flowering,28.52,26,22.81,8.12,62.19,6.88,440.06,1.26,65,2.85,6.1,0,1
37.59,Flowering,28.71,26,22.65,8.06,62.35,6.94,443.05,1.27,65,2.87,6.1,0,1
38.05,Flowering,28.9,26,22.48,7.99,62.52,7.01,446.04,1.27,65,2.89,6.1,0,1
38.5,Flowering,29.1,26,22.32,7.93,62.68,7.07,449.02,1.28,65,2.91,6.1,0,1
38.96,Flowering,29.29,26,22.16,7.86,62.84,7.14,452.01,1.28,65,2.93,6.1,0,1
39.42,Flowering,29.48,26,21.99,7.8,63.01,7.2,455,1.29,65,2.95,6.1,0,1
39.88,Flowering,29.68,26,21.83,7.73,63.17,7.27,457.98,1.29,65,2.97,6.1,0,1
40.33,Flowering,29.87,26,21.67,7.67,63.33,7.33,460.97,1.3,65,2.99,6.1,0,1
40.79,Flowering,30.06,26,21.5,7.6,63.5,7.4,463.96,1.3,65,3.01,6.1,0,1
41.25,Flowering,30.26,26,21.34,7.54,63.66,7.46,466.95,1.31,65,3.03,6.1,0,1
41.71,Flowering,30.45,26,21.18,7.47,63.82,7.53,469.93,1.31,65,3.05,6.1,0,1
42.16,Flowering,30.65,26,21.01,7.41,63.99,7.59,472.92,1.32,65,3.06,6.1,0,1
42.62,Flowering,30.84,26,20.85,7.34,64.15,7.66,475.91,1.32,65,3.08,6.1,0,1
43.08,Flowering,31.03,26,20.69,7.27,64.31,7.73,478.89,1.33,65,3.1,6.1,0,1
43.53,Flowering,31.23,26,20.52,7.21,64.48,7.79,481.88,1.33,65,3.12,6.1,0,1
43.99,Flowering,31.42,26,20.36,7.14,64.64,7.86,484.87,1.34,65,3.14,6.1,0,1
44.45,Flowering,31.61,26,20.2,7.08,64.8,7.92,487.85,1.34,65,3.16,6.1,0,1
44.91,Flowering,31.81,26,20.03,7.01,64.97,7.99,490.84,1.35,65,3.18,6.1,0,1
45.36,Flowering,32,26,20,7,65,8,493.83,1.35,65,3.2,6.1,0,1
45.82,Fruiting,30,26,20,7,65,8,462.96,1.25,65,2.8,6.1,0,1
46.28,Fruiting,30.19,26,19.9,7.06,65,8.04,465.95,1.25,65,2.83,6.1,0,1
46.74,Fruiting,30.39,26,19.74,7.15,65,8.11,468.94,1.26,65,2.85,6.1,0,1
47.19,Fruiting,30.58,26,19.57,7.26,65,8.17,471.92,1.26,65,2.88,6.1,0,1
47.65,Fruiting,30.77,26,19.41,7.35,65,8.24,474.91,1.27,65,2.9,6.1,0,1
48.11,Fruiting,30.97,26,19.25,7.45,65,8.3,477.9,1.27,65,2.93,6.1,0,1
48.57,Fruiting,31.16,26,19.08,7.55,65,8.37,480.88,1.28,65,2.95,6.1,0,1
49.02,Fruiting,31.35,26,18.92,7.65,65,8.43,483.87,1.28,65,2.98,6.1,0,1
49.48,Fruiting,31.55,26,18.76,7.74,65,8.5,486.86,1.29,65,3.01,6.1,0,1
49.94,Fruiting,31.74,26,18.59,7.85,65,8.56,489.84,1.29,65,3.03,6.1,0,1
50.4,Fruiting,31.94,26,18.43,7.94,65,8.63,492.83,1.3,65,3.06,6.1,0,1
50.85,Fruiting,32.13,26,18.27,8.04,65,8.69,495.82,1.3,65,3.08,6.1,0,1
51.31,Fruiting,32.32,26,18.1,8.14,65,8.76,498.81,1.31,65,3.11,6.1,0,1
51.77,Fruiting,32.52,26,17.94,8.24,65,8.82,501.79,1.31,65,3.14,6.1,0,1
52.22,Fruiting,32.71,26,17.78,8.33,65,8.89,504.78,1.32,65,3.16,6.1,0,1
52.68,Fruiting,32.9,26,17.61,8.44,65,8.95,507.77,1.32,65,3.19,6.1,0,1
53.14,Fruiting,33.1,26,17.45,8.53,65,9.02,510.75,1.33,65,3.21,6.1,0,1
53.6,Fruiting,33.29,26,17.29,8.62,65,9.09,513.74,1.33,65,3.24,6.1,0,1
54.05,Fruiting,33.48,26,17.12,8.73,65,9.15,516.73,1.34,65,3.26,6.1,0,1
54.51,Fruiting,33.68,26,16.96,8.82,65,9.22,519.71,1.34,65,3.29,6.1,0,1
54.97,Fruiting,33.87,26,16.64,9.81,64.36,9.19,522.7,1.35,65,3.32,6.1,0,1
55.43,Fruiting,34.06,26,16.47,9.9,64.37,9.26,525.69,1.35,65,3.34,6.1,0,1
55.88,Fruiting,34.26,26,16.33,9.91,64.43,9.33,528.67,1.36,65,3.37,6.1,0,1
56.34,Fruiting,34.45,26,16.18,9.92,64.49,9.41,531.66,1.36,65,3.39,6.1,0,1
56.8,Fruiting,34.65,26,16.03,9.93,64.56,9.48,534.65,1.37,65,3.42,6.1,0,1
57.26,Fruiting,34.84,26,15.89,9.94,64.62,9.55,537.63,1.37,65,3.45,6.1,0,1
57.71,Fruiting,35.03,26,15.74,9.96,64.68,9.62,540.62,1.38,65,3.47,6.1,0,1
58.17,Fruiting,35.23,26,15.59,9.96,64.75,9.7,543.61,1.38,65,3.5,6.1,0,1
58.63,Fruiting,35.42,26,15.45,9.97,64.81,9.77,546.59,1.39,65,3.52,6.1,0,1
59.09,Fruiting,35.61,26,15.3,9.98,64.87,9.85,549.58,1.39,65,3.55,6.1,0,1
59.54,Fruiting,35.81,26,15.15,9.99,64.94,9.92,552.57,1.4,65,3.57,6.1,0,1
60,Fruiting,36,26,15,10,65,10,555.56,1.4,65,3.6,6.1,0,1
