Table 1
Day,Stage,DLI Target (mol/m²/d),Temp Target (°C),Blue (%),Green (%),Red (%),Far-Red (%),PPFD Target (µmol/m²/s),VPD Target (kPa),Max Humidity (%),EC Target (dS/m),pH Target,Veg,Fruit
1,Seedling,8,20,30,15,50,5,138.89,0.9,65,1,5.8,1,0
1.4,Seedling,8.12,20,30,15,50,5,140.93,0.9,65,1.01,5.8,1,0
1.79,Seedling,8.24,20,30,15,50,5,142.97,0.9,65,1.01,5.8,1,0
2.19,Seedling,8.35,20,30,15,50,5,145.02,0.9,65,1.02,5.8,1,0
2.58,Seedling,8.47,20,30,15,50,5,147.06,0.91,65,1.02,5.8,1,0
2.98,Seedling,8.59,20,30,15,50,5,149.1,0.91,65,1.03,5.8,1,0
3.38,Seedling,8.71,20,30,15,50,5,151.14,0.91,65,1.04,5.8,1,0
3.77,Seedling,8.82,20,30,15,50,5,153.19,0.91,65,1.04,5.8,1,0
4.17,Seedling,8.94,20,30,15,50,5,155.23,0.91,65,1.05,5.8,1,0
4.56,Seedling,9.06,20,30,15,50,5,157.27,0.91,65,1.05,5.8,1,0
4.96,Seedling,9.18,20,30,15,50,5,159.31,0.91,65,1.06,5.8,1,0
5.36,Seedling,9.29,20,30,15,50,5,161.36,0.92,65,1.06,5.8,1,0
5.75,Seedling,9.41,20,30,15,50,5,163.4,0.92,65,1.07,5.8,1,0
6.15,Seedling,9.53,20,30,15,50,5,165.44,0.92,65,1.08,5.8,1,0
6.54,Seedling,9.65,20,30,15,50,5,167.48,0.92,65,1.08,5.8,1,0
6.94,Seedling,9.76,20,30,15,50,5,169.53,0.92,65,1.09,5.8,1,0
7.34,Seedling,9.88,20,30,15,50,5,171.57,0.92,65,1.09,5.8,1,0
7.73,Seedling,10,20,30,15,50,5,173.61,0.93,65,1.1,5.8,1,0
8.13,Seedling,10.12,20,30,15,50,5,175.65,0.93,65,1.11,5.8,1,0
8.52,Seedling,10.24,20,30,15,50,5,177.7,0.93,65,1.11,5.8,1,0
8.92,Seedling,10.35,20,30,15,50,5,179.74,0.93,65,1.12,5.8,1,0
9.32,Seedling,10.47,20,30,15,50,5,181.78,0.93,65,1.12,5.8,1,0
9.71,Seedling,10.59,20,30,15,50,5,183.82,0.93,65,1.13,5.8,1,0
10.11,Seedling,10.71,20,30,15,50,5,185.87,0.93,65,1.14,5.8,1,0
10.5,Seedling,10.82,20,30,15,50,5,187.91,0.94,65,1.14,5.8,1,0
10.9,Seedling,10.94,20,30,15,50,5,189.95,0.94,65,1.15,5.8,1,0
11.3,Seedling,11.06,20,30,15,50,5,191.99,0.94,65,1.15,5.8,1,0
11.69,Seedling,11.18,20,30,15,50,5,194.04,0.94,65,1.16,5.8,1,0
12.09,Seedling,11.29,20,30,15,50,5,196.08,0.94,65,1.16,5.8,1,0
12.48,Seedling,11.41,20,30,15,50,5,198.12,0.94,65,1.17,5.8,1,0
12.88,Seedling,11.53,20,30,15,50,5,200.16,0.94,65,1.18,5.8,1,0
13.28,Seedling,11.65,20,30,15,50,5,202.21,0.95,65,1.18,5.8,1,0
13.67,Seedling,11.76,20,30,15,50,5,204.25,0.95,65,1.19,5.8,1,0
14.07,Seedling,11.88,20,30,15,50,5,206.29,0.95,65,1.19,5.8,1,0
14.46,Seedling,12,20,30,15,50,5,208.33,0.95,65,1.2,5.8,1,0
14.86,Vegetative,12,20,30,15,50,5,208.33,0.95,65,1.4,5.8,1,0
15.26,Vegetative,12.12,20,29.9,15,50.1,5,210.38,0.95,65,1.41,5.8,1,0
15.65,Vegetative,12.24,20,29.75,15,50.25,5,212.42,0.96,65,1.42,5.8,1,0
16.05,Vegetative,12.35,20,29.6,15,50.4,5,214.46,0.96,65,1.44,5.8,1,0
16.44,Vegetative,12.47,20,29.45,15,50.55,5,216.5,0.96,65,1.45,5.8,1,0
16.84,Vegetative,12.59,20,29.29,15,50.71,5,218.55,0.96,65,1.46,5.8,1,0
17.23,Vegetative,12.71,20,29.14,15,50.86,5,220.59,0.97,65,1.47,5.8,1,0
17.63,Vegetative,12.82,20,28.99,15,51.01,5,222.63,0.97,65,1.48,5.8,1,0
18.03,Vegetative,12.94,20,28.84,15,51.16,5,224.67,0.97,65,1.49,5.8,1,0
18.42,Vegetative,13.06,20,28.68,15,51.32,5,226.72,0.98,65,1.51,5.8,1,0
18.82,Vegetative,13.18,20,28.53,15,51.47,5,228.76,0.98,65,1.52,5.8,1,0
19.21,Vegetative,13.29,20,28.38,15,51.62,5,230.8,0.98,65,1.53,5.8,1,0
19.61,Vegetative,13.41,20,28.23,15,51.77,5,232.84,0.99,65,1.54,5.8,1,0
20.01,Vegetative,13.53,20,28.07,15,51.93,5,234.89,0.99,65,1.55,5.8,1,0
20.4,Vegetative,13.65,20,27.92,15,52.08,5,236.93,0.99,65,1.56,5.8,1,0
20.8,Vegetative,13.76,20,27.77,15,52.23,5,238.97,0.99,65,1.58,5.8,1,0
21.19,Vegetative,13.88,20,27.62,15,52.38,5,241.01,1,65,1.59,5.8,1,0
21.59,Vegetative,14,20,27.47,15,52.53,5,243.06,1,65,1.6,5.8,1,0
21.99,Vegetative,14.12,20,27.31,15,52.69,5,245.1,1,65,1.61,5.8,1,0
22.38,Vegetative,14.24,20,27.16,15,52.84,5,247.14,1.01,65,1.62,5.8,1,0
22.78,Vegetative,14.35,20,27.01,15,52.99,5,249.18,1.01,65,1.64,5.8,1,0
23.17,Vegetative,14.47,20,26.86,15,53.14,5,251.23,1.01,65,1.65,5.8,1,0
23.57,Vegetative,14.59,20,26.7,15,53.3,5,253.27,1.01,65,1.66,5.8,1,0
23.97,Vegetative,14.71,20,26.55,15,53.45,5,255.31,1.02,65,1.67,5.8,1,0
24.36,Vegetative,14.82,20,26.4,15,53.6,5,257.35,1.02,65,1.68,5.8,1,0
24.76,Vegetative,14.94,20,26.25,15,53.75,5,259.4,1.02,65,1.69,5.8,1,0
25.15,Vegetative,15.06,20,26.09,15,53.91,5,261.44,1.03,65,1.71,5.8,1,0
25.55,Vegetative,15.18,20,25.94,15,54.06,5,263.48,1.03,65,1.72,5.8,1,0
25.95,Vegetative,15.29,20,25.79,15,54.21,5,265.52,1.03,65,1.73,5.8,1,0
26.34,Vegetative,15.41,20,25.64,15,54.36,5,267.57,1.04,65,1.74,5.8,1,0
26.74,Vegetative,15.53,20,25.49,15,54.51,5,269.61,1.04,65,1.75,5.8,1,0
27.13,Vegetative,15.65,20,25.33,15,54.67,5,271.65,1.04,65,1.76,5.8,1,0
