Table 1
Day,Stage,DLI Target (mol/m²/d),Temp Target (°C),Blue (%),Green (%),Red (%),Far-Red (%),PPFD Target (µmol/m²/s),VPD Target (kPa),Max Humidity (%),EC Target (dS/m),pH Target,Veg,Fruit
1,Seedling,8,20,30,15,50,5,138.89,0.9,65,1,5.8,1,0
2,Seedling,8.12,20,30,15,50,5,141.06,0.9,65,1.01,5.8,1,0
3,Seedling,8.25,20,30,15,50,5,143.23,0.9,65,1.01,5.8,1,0
4,Seedling,8.38,20,30,15,50,5,145.4,0.9,65,1.02,5.8,1,0
5,Seedling,8.5,20,30,15,50,5,147.57,0.91,65,1.02,5.8,1,0
6,Seedling,8.62,20,30,15,50,5,149.74,0.91,65,1.03,5.8,1,0
7,Seedling,8.75,20,30,15,50,5,151.91,0.91,65,1.04,5.8,1,0
8,Seedling,8.88,20,30,15,50,5,154.08,0.91,65,1.04,5.8,1,0
9,Seedling,9,20,30,15,50,5,156.25,0.91,65,1.05,5.8,1,0
10,Seedling,9.12,20,30,15,50,5,158.42,0.91,65,1.06,5.8,1,0
11,Seedling,9.25,20,30,15,50,5,160.59,0.92,65,1.06,5.8,1,0
12,Seedling,9.38,20,30,15,50,5,162.76,0.92,65,1.07,5.8,1,0
13,Seedling,9.5,20,30,15,50,5,164.93,0.92,65,1.07,5.8,1,0
14,Seedling,9.62,20,30,15,50,5,167.1,0.92,65,1.08,5.8,1,0
15,Seedling,9.75,20,30,15,50,5,169.27,0.92,65,1.09,5.8,1,0
16,Seedling,9.88,20,30,15,50,5,171.44,0.92,65,1.09,5.8,1,0
17,Seedling,10,20,30,15,50,5,173.61,0.93,65,1.1,5.8,1,0
18,Seedling,10.12,20,30,15,50,5,175.78,0.93,65,1.11,5.8,1,0
19,Seedling,10.25,20,30,15,50,5,177.95,0.93,65,1.11,5.8,1,0
20,Seedling,10.38,20,30,15,50,5,180.12,0.93,65,1.12,5.8,1,0
21,Seedling,10.5,20,30,15,50,5,182.29,0.93,65,1.12,5.8,1,0
22,Seedling,10.62,20,30,15,50,5,184.46,0.93,65,1.13,5.8,1,0
23,Seedling,10.75,20,30,15,50,5,186.63,0.93,65,1.14,5.8,1,0
24,Seedling,10.88,20,30,15,50,5,188.8,0.94,65,1.14,5.8,1,0
25,Seedling,11,20,30,15,50,5,190.97,0.94,65,1.15,5.8,1,0
26,Seedling,11.12,20,30,15,50,5,193.14,0.94,65,1.16,5.8,1,0
27,Seedling,11.25,20,30,15,50,5,195.31,0.94,65,1.16,5.8,1,0
28,Seedling,11.38,20,30,15,50,5,197.48,0.94,65,1.17,5.8,1,0
29,Seedling,11.5,20,30,15,50,5,199.65,0.94,65,1.18,5.8,1,0
30,Seedling,11.62,20,30,15,50,5,201.82,0.95,65,1.18,5.8,1,0
31,Seedling,11.75,20,30,15,50,5,203.99,0.95,65,1.19,5.8,1,0
32,Seedling,11.88,20,30,15,50,5,206.16,0.95,65,1.19,5.8,1,0
33,Seedling,12,20,30,15,50,5,208.33,0.95,65,1.2,5.8,1,0
34,Vegetative,12,20,30,15,50,5,208.33,0.95,65,1.4,5.8,1,0
35,Vegetative,12.12,20,29.83,15,50.17,5,210.5,0.95,65,1.41,5.8,1,0
36,Vegetative,12.25,20,29.67,15,50.33,5,212.67,0.96,65,1.42,5.8,1,0
37,Vegetative,12.38,20,29.51,15,50.49,5,214.84,0.96,65,1.44,5.8,1,0
38,Vegetative,12.5,20,29.34,15,50.66,5,217.01,0.96,65,1.45,5.8,1,0
39,Vegetative,12.62,20,29.18,15,50.82,5,219.18,0.97,65,1.46,5.8,1,0
40,Vegetative,12.75,20,29.02,15,50.98,5,221.35,0.97,65,1.47,5.8,1,0
41,Vegetative,12.88,20,28.85,15,51.15,5,223.52,0.97,65,1.49,5.8,1,0
42,Vegetative,13,20,28.69,15,51.31,5,225.69,0.97,65,1.5,5.8,1,0
43,Vegetative,13.12,20,28.53,15,51.47,5,227.86,0.98,65,1.51,5.8,1,0
44,Vegetative,13.25,20,28.36,15,51.64,5,230.03,0.98,65,1.52,5.8,1,0
45,Vegetative,13.38,20,28.2,15,51.8,5,232.2,0.98,65,1.54,5.8,1,0
46,Vegetative,13.5,20,28.04,15,51.96,5,234.38,0.99,65,1.55,5.8,1,0
47,Vegetative,13.62,20,27.87,15,52.13,5,236.55,0.99,65,1.56,5.8,1,0
48,Vegetative,13.75,20,27.71,15,52.29,5,238.72,0.99,65,1.57,5.8,1,0
49,Vegetative,13.88,20,27.55,15,52.45,5,240.89,1,65,1.59,5.8,1,0
50,Vegetative,14,20,27.39,15,52.61,5,243.06,1,65,1.6,5.8,1,0
51,Vegetative,14.12,20,27.22,15,52.78,5,245.23,1,65,1.61,5.8,1,0
52,Vegetative,14.25,20,27.06,15,52.94,5,247.4,1.01,65,1.62,5.8,1,0
53,Vegetative,14.38,20,26.9,15,53.1,5,249.57,1.01,65,1.64,5.8,1,0
54,Vegetative,14.5,20,26.73,15,53.27,5,251.74,1.01,65,1.65,5.8,1,0
55,Vegetative,14.62,20,26.57,15,53.43,5,253.91,1.02,65,1.66,5.8,1,0
56,Vegetative,14.75,20,26.41,15,53.59,5,256.08,1.02,65,1.68,5.8,1,0
57,Vegetative,14.88,20,26.24,15,53.76,5,258.25,1.02,65,1.69,5.8,1,0
58,Vegetative,15,20,26.08,15,53.92,5,260.42,1.02,65,1.7,5.8,1,0
59,Vegetative,15.12,20,25.92,15,54.08,5,262.59,1.03,65,1.71,5.8,1,0
