Table 1
Day,Stage,DLI Target (mol/m²/d),Temp Target (°C),Blue (%),Green (%),Red (%),Far-Red (%),PPFD Target (µmol/m²/s),VPD Target (kPa),Max Humidity (%),EC Target (dS/m),pH Target,Veg,Fruit
1,Seedling,8,20,30,10,55,5,138.89,0.9,65,1,5.8,1,0
1.48,Seedling,8.14,20,30,10,55,5,141.37,0.9,65,1.01,5.8,1,0
1.95,Seedling,8.29,20,30,10,55,5,143.85,0.9,65,1.01,5.8,1,0
2.43,Seedling,8.43,20,30,10,55,5,146.33,0.91,65,1.02,5.8,1,0
2.9,Seedling,8.57,20,30,10,55,5,148.81,0.91,65,1.03,5.8,1,0
3.38,Seedling,8.71,20,30,10,55,5,151.29,0.91,65,1.04,5.8,1,0
3.85,Seedling,8.86,20,30,10,55,5,153.77,0.91,65,1.04,5.8,1,0
4.33,Seedling,9,20,30,10,55,5,156.25,0.91,65,1.05,5.8,1,0
4.81,Seedling,9.14,20,30,10,55,5,158.73,0.91,65,1.06,5.8,1,0
5.28,Seedling,9.29,20,30,10,55,5,161.21,0.92,65,1.06,5.8,1,0
5.76,Seedling,9.43,20,30,10,55,5,163.69,0.92,65,1.07,5.8,1,0
6.23,Seedling,9.57,20,30,10,55,5,166.17,0.92,65,1.08,5.8,1,0
6.71,Seedling,9.71,20,30,10,55,5,168.65,0.92,65,1.09,5.8,1,0
7.19,Seedling,9.86,20,30,10,55,5,171.13,0.92,65,1.09,5.8,1,0
7.66,Seedling,10,20,30,10,55,5,173.61,0.93,65,1.1,5.8,1,0
8.14,Seedling,10.14,20,30,10,55,5,176.09,0.93,65,1.11,5.8,1,0
8.61,Seedling,10.29,20,30,10,55,5,178.57,0.93,65,1.11,5.8,1,0
9.09,Seedling,10.43,20,30,10,55,5,181.05,0.93,65,1.12,5.8,1,0
9.56,Seedling,10.57,20,30,10,55,5,183.53,0.93,65,1.13,5.8,1,0
10.04,Seedling,10.71,20,30,10,55,5,186.01,0.93,65,1.14,5.8,1,0
10.52,Seedling,10.86,20,30,10,55,5,188.49,0.94,65,1.14,5.8,1,0
10.99,Seedling,11,20,30,10,55,5,190.97,0.94,65,1.15,5.8,1,0
11.47,Seedling,11.14,20,30,10,55,5,193.45,0.94,65,1.16,5.8,1,0
11.94,Seedling,11.29,20,30,10,55,5,195.93,0.94,65,1.16,5.8,1,0
12.42,Seedling,11.43,20,30,10,55,5,198.41,0.94,65,1.17,5.8,1,0
12.9,Seedling,11.57,20,30,10,55,5,200.89,0.94,65,1.18,5.8,1,0
13.37,Seedling,11.71,20,30,10,55,5,203.37,0.95,65,1.19,5.8,1,0
13.85,Seedling,11.86,20,30,10,55,5,205.85,0.95,65,1.19,5.8,1,0
14.32,Seedling,12,20,30,10,55,5,208.33,0.95,65,1.2,5.8,1,0
14.8,Vegetative,12,20,30,10,55,5,208.33,0.95,65,1.4,5.8,1,0
15.27,Vegetative,12.12,20,29.91,9.98,55.09,5.02,210.44,0.95,65,1.41,5.8,1,0
15.75,Vegetative,12.24,20,29.75,9.95,55.25,5.05,212.54,0.96,65,1.42,5.8,1,0
16.23,Vegetative,12.36,20,29.59,9.92,55.41,5.08,214.65,0.96,65,1.44,5.8,1,0
16.7,Vegetative,12.48,20,29.43,9.89,55.57,5.11,216.75,0.96,65,1.45,5.8,1,0
17.18,Vegetative,12.61,20,29.27,9.85,55.73,5.15,218.86,0.97,65,1.46,5.8,1,0
17.65,Vegetative,12.73,20,29.12,9.82,55.88,5.18,220.96,0.97,65,1.47,5.8,1,0
18.13,Vegetative,12.85,20,28.96,9.79,56.04,5.21,223.06,0.97,65,1.48,5.8,1,0
18.6,Vegetative,12.97,20,28.8,9.76,56.2,5.24,225.17,0.97,65,1.5,5.8,1,0
19.08,Vegetative,13.09,20,28.64,9.73,56.36,5.27,227.27,0.98,65,1.51,5.8,1,0
19.56,Vegetative,13.21,20,28.48,9.7,56.52,5.3,229.38,0.98,65,1.52,5.8,1,0
20.03,Vegetative,13.33,20,28.32,9.66,56.68,5.34,231.48,0.98,65,1.53,5.8,1,0
20.51,Vegetative,13.45,20,28.16,9.63,56.84,5.37,233.59,0.99,65,1.55,5.8,1,0
20.98,Vegetative,13.58,20,28.01,9.6,56.99,5.4,235.69,0.99,65,1.56,5.8,1,0
21.46,Vegetative,13.7,20,27.85,9.57,57.15,5.43,237.79,0.99,65,1.57,5.8,1,0
21.94,Vegetative,13.82,20,27.69,9.54,57.31,5.46,239.9,1,65,1.58,5.8,1,0
22.41,Vegetative,13.94,20,27.53,9.51,57.47,5.49,242,1,65,1.59,5.8,1,0
22.89,Vegetative,14.06,20,27.37,9.47,57.63,5.53,244.11,1,65,1.61,5.8,1,0
23.36,Vegetative,14.18,20,27.21,9.44,57.79,5.56,246.21,1,65,1.62,5.8,1,0
23.84,Vegetative,14.3,20,27.05,9.41,57.95,5.59,248.32,1.01,65,1.63,5.8,1,0
24.31,Vegetative,14.42,20,26.9,9.38,58.1,5.62,250.42,1.01,65,1.64,5.8,1,0
24.79,Vegetative,14.55,20,26.74,9.35,58.26,5.65,252.53,1.01,65,1.65,5.8,1,0
25.27,Vegetative,14.67,20,26.58,9.32,58.42,5.68,254.63,1.02,65,1.67,5.8,1,0
25.74,Vegetative,14.79,20,26.42,9.28,58.58,5.72,256.73,1.02,65,1.68,5.8,1,0
26.22,Vegetative,14.91,20,26.26,9.25,58.74,5.75,258.84,1.02,65,1.69,5.8,1,0
26.69,Vegetative,15.03,20,26.1,9.22,58.9,5.78,260.94,1.03,65,1.7,5.8,1,0
27.17,Vegetative,15.15,20,25.94,9.19,59.06,5.81,263.05,1.03,65,1.72,5.8,1,0
27.65,Vegetative,15.27,20,25.78,9.16,59.22,5.84,265.15,1.03,65,1.73,5.8,1,0
28.12,Vegetative,15.39,20,25.63,9.13,59.37,5.87,267.26,1.03,65,1.74,5.8,1,0
28.6,Vegetative,15.52,20,25.47,9.09,59.53,5.91,269.36,1.04,65,1.75,5.8,1,0
29.07,Vegetative,15.64,20,25.31,9.06,59.69,5.94,271.46,1.04,65,1.76,5.8,1,0
29.55,Vegetative,15.76,20,25.15,9.03,59.85,5.97,273.57,1.04,65,1.78,5.8,1,0
30.02,Vegetative,15.88,20,25,9,60,6,275.67,1.05,65,1.79,5.8,1,0
30.5,Vegetative,16,20,25,9,60,6,277.78,1.05,65,1.8,5.8,1,0
30.98,Flowering,14,20,25,9,60,6,243.06,1,65,1.6,5.8,0,1
31.45,Flowering,14.07,20,24.84,8.94,60.16,6.06,244.21,1,65,1.61,5.8,0,1
31.93,Flowering,14.13,20,24.67,8.87,60.33,6.13,245.37,1,65,1.61,5.8,0,1
32.4,Flowering,14.2,20,24.5,8.8,60.5,6.2,246.53,1,65,1.62,5.8,0,1
32.88,Flowering,14.27,20,24.33,8.73,60.67,6.27,247.69,1.01,65,1.63,5.8,0,1
33.35,Flowering,14.33,20,24.16,8.66,60.84,6.34,248.84,1.01,65,1.63,5.8,0,1
33.83,Flowering,14.4,20,23.99,8.6,61.01,6.4,250,1.01,65,1.64,5.8,0,1
34.31,Flowering,14.47,20,23.82,8.53,61.18,6.47,251.16,1.01,65,1.65,5.8,0,1
34.78,Flowering,14.53,20,23.65,8.46,61.35,6.54,252.31,1.01,65,1.65,5.8,0,1
35.26,Flowering,14.6,20,23.48,8.39,61.52,6.61,253.47,1.02,65,1.66,5.8,0,1
35.73,Flowering,14.67,20,23.31,8.32,61.69,6.68,254.63,1.02,65,1.67,5.8,0,1
36.21,Flowering,14.73,20,23.14,8.26,61.86,6.74,255.79,1.02,65,1.67,5.8,0,1
36.69,Flowering,14.8,20,22.97,8.19,62.03,6.81,256.94,1.02,65,1.68,5.8,0,1
37.16,Flowering,14.87,20,22.8,8.12,62.2,6.88,258.1,1.02,65,1.69,5.8,0,1
37.64,Flowering,14.93,20,22.63,8.05,62.37,6.95,259.26,1.02,65,1.69,5.8,0,1
38.11,Flowering,15,20,22.46,7.98,62.54,7.02,260.42,1.02,65,1.7,5.8,0,1
38.59,Flowering,15.07,20,22.29,7.92,62.71,7.08,261.57,1.03,65,1.71,5.8,0,1
39.06,Flowering,15.13,20,22.12,7.85,62.88,7.15,262.73,1.03,65,1.71,5.8,0,1
39.54,Flowering,15.2,20,21.95,7.78,63.05,7.22,263.89,1.03,65,1.72,5.8,0,1
