Table 1
Day,Stage,DLI Target (mol/m²/d),Temp Target (°C),Blue (%),Green (%),Red (%),Far-Red (%),PPFD Target (µmol/m²/s),VPD Target (kPa),Max Humidity (%),EC Target (dS/m),pH Target,Veg,Fruit
1,Seedling,8,20,45,10,45,0,138.89,0.9,65,1,5.8,1,0
2,Seedling,8.31,20,45,10,45,0,144.23,0.9,65,1.02,5.8,1,0
3,Seedling,8.62,20,45,10,45,0,149.57,0.91,65,1.03,5.8,1,0
4,Seedling,8.92,20,45,10,45,0,154.91,0.91,65,1.05,5.8,1,0
5,Seedling,9.23,20,45,10,40,5,160.26,0.92,65,1.06,5.8,1,0
6,Seedling,9.54,20,45,10,40,5,165.6,0.92,65,1.08,5.8,1,0
7,Seedling,9.85,20,45,10,40,5,170.94,0.92,65,1.09,5.8,1,0
8,Seedling,10.15,20,45,10,40,5,176.28,0.93,65,1.11,5.8,1,0
9,Seedling,10.46,20,45,10,40,5,181.62,0.93,65,1.12,5.8,1,0
10,Seedling,10.77,20,45,10,40,5,186.97,0.93,65,1.14,5.8,1,0
11,Seedling,11.08,20,45,10,40,5,192.31,0.94,65,1.15,5.8,1,0
12,Seedling,11.38,20,45,10,40,5,197.65,0.94,65,1.17,5.8,1,0
13,Seedling,11.69,20,45,10,40,5,202.99,0.95,65,1.18,5.8,1,0
14,Seedling,12,20,45,10,40,5,208.33,0.95,65,1.2,5.8,1,0
15,Vegetative,12,20,35,16.67,43.33,5,208.33,0.95,65,1.4,5.8,1,0
16,Vegetative,12.31,20,30.38,19.24,45.38,5,213.68,0.96,65,1.43,5.8,1,0
17,Vegetative,12.62,20,30.9,18.2,45.9,5,219.02,0.97,65,1.46,5.8,1,0
18,Vegetative,12.92,20,31.41,17.18,46.41,5,224.36,0.97,65,1.49,5.8,1,0
19,Vegetative,13.23,20,31.92,16.16,46.92,5,229.7,0.98,65,1.52,5.8,1,0
20,Vegetative,13.54,20,32.44,15.12,47.44,5,235.04,0.99,65,1.55,5.8,1,0
21,Vegetative,13.85,20,32.95,14.1,47.95,5,240.38,1,65,1.58,5.8,1,0
22,Vegetative,14.15,20,33.46,13.08,48.46,5,245.73,1,65,1.62,5.8,1,0
23,Vegetative,14.46,20,33.97,12.06,48.97,5,251.07,1.01,65,1.65,5.8,1,0
24,Vegetative,14.77,20,34.49,11.02,49.49,5,256.41,1.02,65,1.68,5.8,1,0
25,Vegetative,15.08,20,35,10,50,5,261.75,1.03,65,1.71,5.8,1,0
26,Vegetative,15.38,20,35.28,19.44,40.28,5,267.09,1.03,65,1.74,5.8,1,0
27,Vegetative,15.69,20,36.39,17.22,41.39,5,272.44,1.04,65,1.77,5.8,1,0
28,Vegetative,16,20,37.5,20,42.5,0,277.78,1.05,65,1.8,5.8,1,0
