Day,Stage,Temperature (°C),Blue (450 nm),Green (%),Red (660 nm),Far-Red (730 nm),PPFD (µmol/m²/s),Target VPD (kPa),Max Humidity (%),Afternoon Temp (°C),Night Temp (°C),EC,PH,Veg,Fruit
1,Seedling,22–26°C,45,5,45,0,100,0.7,75,22,16,1,6,1,0
1.74,Seedling,22–26°C,45,5,45,0,105.13,0.7,75,22,16,1,6,1,0
2.49,Seedling,22–26°C,45,5,45,0,110.26,0.7,75,22,16,1,6,1,0
3.23,Seedling,22–26°C,45,5,45,0,115.38,0.7,75,22,16,1,6,1,0
3.97,Seedling,22–26°C,45,5,45,0,120.51,0.7,75,22,16,1,6,1,0
4.72,Seedling,22–26°C,45,5,45,0,125.64,0.7,75,22,16,1,6,1,0
5.46,Seedling,22–26°C,42.69,5,42.69,2.31,130.77,0.7,75,22,16,1,6,1,0
6.21,Juvenile,22–26°C,40,5,40,5,135.9,0.7,75,22,16,1,6,1,0
6.95,Juvenile,22–26°C,40,5,40,5,141.03,0.7,75,22,16,1,6,1,0
7.69,Juvenile,22–26°C,40,5,40,5,146.16,0.7,75,22,16,1,6,1,0
8.44,Juvenile,22–26°C,40,5,40,5,151.28,1.1,70,22,16,1,6,1,0
9.18,Juvenile,22–26°C,40,5.36,40,5,156.41,1.1,70,22,16,1,6,1,0
9.92,Juvenile,22–26°C,40,6.85,40,5,161.54,1.1,70,22,16,1,6,1,0
10.67,Juvenile,22–26°C,40,7,40,5,166.67,1.1,70,22,16,1,6,1,0
11.41,Juvenile,22–26°C,40,7,40,5,171.8,1.1,70,22,16,1,6,1,0
12.15,Juvenile,22–26°C,40,7,40,5,176.92,1.1,70,22,16,1,6,1,0
12.9,Juvenile,22–26°C,40,7,40,5,182.05,1.1,70,22,16,1,6,1,0
13.64,Juvenile,22–26°C,40,7,40,5,187.18,1.1,70,22,16,1,6,1,0
14.38,Juvenile,22–26°C,40,7,40,5,192.31,1.1,70,22,16,1,6,1,0
15.13,Juvenile,22–26°C,39.36,7,41.28,5,197.43,1.1,70,22,16,1,6,1,0
15.87,Growth,22–26°C,35.64,7,48.72,5,202.57,1.1,70,22,16,1.5,6,1,0
16.62,Growth,22–26°C,35,7,50,5,207.69,1.1,70,22,16,1.5,6,1,0
17.36,Growth,22–26°C,35,7,50,5,212.82,1.1,70,22,16,1.5,6,1,0
18.1,Growth,22–26°C,35,7,50,5,217.95,1.1,70,22,16,1.5,6,1,0
18.85,Growth,22–26°C,35,7,50,5,223.08,1.1,70,22,16,1.5,6,1,0
19.59,Growth,22–26°C,35,7,50,5,228.2,1.1,70,22,16,1.5,6,1,0
20.33,Growth,22–26°C,35,7,50,5,233.33,1.1,70,22,16,1.5,6,1,0
21.08,Growth,22–26°C,35,7,50,5,238.46,1.1,70,22,16,1.5,6,1,0
21.82,Growth,22–26°C,35,7,50,5,243.59,1.1,70,22,16,1.5,6,1,0
22.56,Growth,22–26°C,35,7,50,5,248.72,1.1,70,22,16,1.5,6,1,0
23.31,Growth,22–26°C,35,7,50,5,253.84,1.1,70,22,16,1.5,6,1,0
24.05,Growth,22–26°C,35.26,7.15,49.74,5,258.97,1.1,70,22,16,1.5,6,1,0
24.79,Late Growth,22–26°C,38.97,9.38,46.03,5,264.1,1.1,70,22,16,1.5,6,1,0
25.54,Late Growth,22–26°C,40,10,45,5,269.23,1.1,70,22,16,1.5,6,1,0
26.28,Late Growth,22–26°C,40,10,45,5,274.36,1.1,70,22,16,1.5,6,1,0
27.03,Late Growth,22–26°C,40,10,45,5,279.49,1.1,70,22,16,1.5,6,1,0
27.77,Late Growth,22–26°C,40,10,45,5,284.62,1.1,70,22,16,1.5,6,1,0
28.51,Late Growth,22–26°C,40,10,45,5,289.74,1.1,70,22,16,1.5,6,1,0
29.26,Late Growth,22–26°C,40,10,45,5,294.87,1.1,70,22,16,1.5,6,1,0
30,Late Growth,22–26°C,40,10,45,5,300,1.1,70,22,16,1.5,6,1,0
