Day,Stage,Temperature (°C),Blue (450 nm),Green (%),Red (660 nm),Far-Red (730 nm),PPFD (µmol/m²/s),Target VPD (kPa),Max Humidity (%),Afternoon Temp (°C),Night Temp (°C),EC,PH,Veg,Fruit
1,Seedling,22–26°C,45,5,45,0,100,0.7,85,27,20,1,6,1,0
2,Seedling,22–26°C,45,5,45,0,106.9,0.7,85,27,20,1,6,1,0
3,Seedling,22–26°C,45,5,45,0,113.79,0.7,85,27,20,1,6,1,0
4,Seedling,22–26°C,45,5,45,0,120.69,0.7,85,27,20,1,6,1,0
5,Seedling,22–26°C,45,5,45,0,127.59,0.7,85,27,20,1,6,1,0
6,Juvenile,22–26°C,40,5,40,5,134.48,0.7,85,27,20,1,6,1,0
7,Juvenile,22–26°C,40,5,40,5,141.38,0.7,85,27,20,1,6,1,0
8,Juvenile,22–26°C,40,5,40,5,148.28,0.9,80,27,20,1,6,1,0
9,Juvenile,22–26°C,40,5,40,5,155.17,0.9,80,27,20,1,6,1,0
10,Juvenile,22–26°C,40,7,40,5,162.07,0.9,80,27,20,1,6,1,0
11,Juvenile,22–26°C,40,7,40,5,168.97,0.9,80,27,20,1,6,1,0
12,Juvenile,22–26°C,40,7,40,5,175.86,0.9,80,27,20,1,6,1,0
13,Juvenile,22–26°C,40,7,40,5,182.76,0.9,80,27,20,1,6,1,0
14,Juvenile,22–26°C,40,7,40,5,189.66,0.9,80,27,20,1,6,1,0
15,Juvenile,22–26°C,40,7,40,5,196.55,0.9,80,27,20,1,6,1,0
16,Growth,22–26°C,35,7,50,5,203.45,0.9,80,27,20,1.5,6,1,0
17,Growth,22–26°C,35,7,50,5,210.34,0.9,80,27,20,1.5,6,1,0
18,Growth,22–26°C,35,7,50,5,217.24,0.9,80,27,20,1.5,6,1,0
19,Growth,22–26°C,35,7,50,5,224.14,0.9,80,27,20,1.5,6,1,0
20,Growth,22–26°C,35,7,50,5,231.03,0.9,80,27,20,1.5,6,1,0
21,Growth,22–26°C,35,7,50,5,237.93,0.9,80,27,20,1.5,6,1,0
22,Growth,22–26°C,35,7,50,5,244.83,0.9,80,27,20,1.5,6,1,0
23,Growth,22–26°C,35,7,50,5,251.72,0.9,80,27,20,1.5,6,1,0
24,Growth,22–26°C,35,7,50,5,258.62,0.9,80,27,20,1.5,6,1,0
25,Late Growth,22–26°C,40,10,45,5,265.52,0.9,80,27,20,1.5,6,1,0
26,Late Growth,22–26°C,40,10,45,5,272.41,0.9,80,27,20,1.5,6,1,0
27,Late Growth,22–26°C,40,10,45,5,279.31,0.9,80,27,20,1.5,6,1,0
28,Late Growth,22–26°C,40,10,45,5,286.21,0.9,80,27,20,1.5,6,1,0
29,Late Growth,22–26°C,40,10,45,5,293.1,0.9,80,27,20,1.5,6,1,0
30,Late Growth,22–26°C,40,10,45,5,300,0.9,80,27,20,1.5,6,1,0
