Day,Stage,Temperature (°C),Blue (450 nm),Green (%),Red (660 nm),Far-Red (730 nm),PPFD (µmol/m²/s),Target VPD (kPa),Max Humidity (%),Afternoon Temp (°C),Night Temp (°C),EC,PH,Veg,Fruit
1,Establishment,18–22°C,30,5,50,5,150,0.7,80,22,14,1.15,5.75,1,0
1.4,Establishment,18–22°C,30,5,50,5,153.02,0.7,80,22,14,1.15,5.75,1,0
1.79,Establishment,18–22°C,30,5,50,5,156.04,0.7,80,22,14,1.15,5.75,1,0
2.19,Establishment,18–22°C,30,5,50,5,159.06,0.7,80,22,14,1.15,5.75,1,0
2.58,Establishment,18–22°C,30,5,50,5,162.08,0.7,80,22,14,1.15,5.75,1,0
2.98,Establishment,18–22°C,30,5,50,5,165.1,0.7,80,22,14,1.15,5.75,1,0
3.38,Establishment,18–22°C,30,5,50,5,168.12,0.7,80,22,14,1.15,5.75,1,0
3.77,Establishment,18–22°C,30,5,50,5,171.14,0.7,80,22,14,1.15,5.75,1,0
4.17,Establishment,18–22°C,30,5,50,5,174.16,0.7,80,22,14,1.15,5.75,1,0
4.56,Establishment,18–22°C,30,5,50,5,177.18,0.7,80,22,14,1.15,5.75,1,0
4.96,Establishment,18–22°C,30,5,50,5,180.2,0.7,80,22,14,1.15,5.75,1,0
5.36,Establishment,18–22°C,30,5,50,5,183.22,0.7,80,22,14,1.15,5.75,1,0
5.75,Establishment,18–22°C,30,5,50,5,186.25,0.7,80,22,14,1.15,5.75,1,0
6.15,Establishment,18–22°C,30,5,50,5,189.27,0.7,80,22,14,1.15,5.75,1,0
6.54,Establishment,18–22°C,30,5,50,5,192.28,0.7,80,22,14,1.15,5.75,1,0
6.94,Establishment,18–22°C,30,5,50,5,195.3,0.7,80,22,14,1.15,5.75,1,0
7.34,Establishment,18–22°C,30,5,50,5,198.32,0.7,80,22,14,1.15,5.75,1,0
7.73,Establishment,18–22°C,30,5,50,5,201.34,0.7,80,22,14,1.15,5.75,1,0
8.13,Establishment,18–22°C,30,5,50,5,204.36,0.7,80,22,14,1.15,5.75,1,0
8.52,Establishment,18–22°C,30,5,50,5,207.38,0.7,80,22,14,1.15,5.75,1,0
8.92,Establishment,18–22°C,30,5,50,5,210.41,0.7,80,22,14,1.15,5.75,1,0
9.32,Establishment,18–22°C,30,5,50,5,213.42,0.7,80,22,14,1.15,5.75,1,0
9.71,Establishment,18–22°C,30,5,50,5,216.44,0.7,80,22,14,1.15,5.75,1,0
10.11,Establishment,18–22°C,30,5,50,5,219.46,0.7,80,22,14,1.15,5.75,1,0
10.5,Establishment,18–22°C,30,5,50,5,222.48,0.7,80,22,14,1.15,5.75,1,0
10.9,Establishment,18–22°C,30,5,50,5,225.5,0.7,80,22,14,1.15,5.75,1,0
