Day,Stage,Temperature (°C),Blue (450 nm),Green (%),Red (660 nm),Far-Red (730 nm),PPFD (µmol/m²/s),Target VPD (kPa),Max Humidity (%),Afternoon Temp (°C),Night Temp (°C),EC,PH,Veg,Fruit
1,Seedling,20–24°C,25,5,40,1,200,0.6,75,20,16,0.7,6,1,0
2.8,Seedling,20–24°C,25,5,40,1,200,0.6,75,20,16,0.7,6,1,0
4.6,Seedling,20–24°C,25,5,40,1,200,0.6,75,20,16,0.7,6,1,0
6.4,Seedling,20–24°C,25,5,40,1,200,0.6,75,20,16,0.7,6,1,0
8.2,Seedling,20–24°C,25,5,40,1,200,0.6,75,20,16,0.7,6,1,0
10,Seedling,20–24°C,25,5,40,1,200,0.6,75,20,16,0.7,6,1,0
11.8,Seedling,20–24°C,25,6.6,40,1,200,0.6,75,20,16,0.7,6,1,0
13.6,Seedling,20–24°C,25,7,40,1,200,0.6,75,20,16,0.7,6,1,0
15.4,Seedling,20–24°C,25,7,40,1,200,0.6,75,20,16,0.7,6,1,0
17.2,Seedling,20–24°C,25,7,40,1,200,0.6,75,20,16,0.7,6,1,0
19,Seedling,20–24°C,25,7,40,1,200,0.6,75,20,16,0.7,6,1,0
20.8,Seedling,20–24°C,25,7,40,1,200,0.6,75,20,16,0.7,6,1,0
22.6,Seedling,20–24°C,25,7,40,1,200,0.6,75,20,16,0.7,6,1,0
24.4,Seedling,20–24°C,25,7,40,1,200,0.6,75,20,16,0.7,6,1,0
26.2,Seedling,20–24°C,25,7,40,1,200,0.6,75,20,16,0.7,6,1,0
28,Seedling,20–24°C,25,7,40,1,200,0.6,75,20,16,0.7,6,1,0
29.8,Seedling,20–24°C,25,7,40,1,200,0.6,75,20,16,0.7,6,1,0
31.6,Seedling,20–24°C,25,8.8,40,1,200,0.6,75,20,16,0.7,6,1,0
33.4,Seedling,20–24°C,25,10,40,1,200,0.6,75,20,16,0.7,6,1,0
35.2,Seedling,20–24°C,25,10,40,1,200,0.6,75,20,16,0.7,6,1,0
37,Seedling,20–24°C,25,10,40,1,200,0.6,75,20,16,0.7,6,1,0
