Day,Stage,Temperature (°C),Blue (450 nm),Green (%),Red (660 nm),Far-Red (730 nm),PPFD (µmol/m²/s),Target VPD (kPa),Max Humidity (%),Afternoon Temp (°C),Night Temp (°C),EC,PH,Veg,Fruit
1,Seedling,24–28°C,30,5,55,5,150,0.7,80,26,18,1.25,6.05,1,0
1.48,Seedling,24–28°C,30,5,55,5,153.63,0.7,80,26,18,1.25,6.05,1,0
1.95,Seedling,24–28°C,30,5,55,5,157.26,0.7,80,26,18,1.25,6.05,1,0
2.43,Seedling,24–28°C,30,5,55,5,160.89,0.7,80,26,18,1.25,6.05,1,0
2.9,Seedling,24–28°C,30,5,55,5,164.51,0.7,80,26,18,1.25,6.05,1,0
3.38,Seedling,24–28°C,30,5,55,5,168.14,0.7,80,26,18,1.25,6.05,1,0
3.85,Seedling,24–28°C,30,5,55,5,171.77,0.7,80,26,18,1.25,6.05,1,0
4.33,Seedling,24–28°C,30,5,55,5,175.4,0.7,80,26,18,1.25,6.05,1,0
4.81,Seedling,24–28°C,30,5,55,5,179.03,0.7,80,26,18,1.25,6.05,1,0
5.28,Seedling,24–28°C,30,5,55,5,182.66,0.7,80,26,18,1.25,6.05,1,0
5.76,Seedling,24–28°C,30,5,55,5,186.29,0.7,80,26,18,1.25,6.05,1,0
6.23,Seedling,24–28°C,30,5,55,5,189.92,0.7,80,26,18,1.25,6.05,1,0
6.71,Seedling,24–28°C,30,5,55,5,193.55,0.7,80,26,18,1.25,6.05,1,0
7.19,Seedling,24–28°C,30,5,55,5,197.18,0.7,80,26,18,1.25,6.05,1,0
7.66,Seedling,24–28°C,30,5,55,5,200.81,0.7,80,26,18,1.25,6.05,1,0
8.14,Seedling,24–28°C,30,5,55,5,204.44,0.7,80,26,18,1.25,6.05,1,0
8.61,Seedling,24–28°C,30,5,55,5,208.07,0.7,80,26,18,1.25,6.05,1,0
9.09,Seedling,24–28°C,30,5,55,5,211.7,0.7,80,26,18,1.25,6.05,1,0
9.56,Seedling,24–28°C,30,5,55,5,215.32,0.7,80,26,18,1.25,6.05,1,0
10.04,Seedling,24–28°C,30,5,55,5,218.95,0.7,80,26,18,1.25,6.05,1,0
10.52,Seedling,24–28°C,30,5,55,5,222.58,0.7,80,26,18,1.25,6.05,1,0
10.99,Seedling,24–28°C,30,5,55,5,226.21,0.7,80,26,18,1.25,6.05,1,0
11.47,Seedling,24–28°C,30,5,55,5,229.84,0.7,80,26,18,1.25,6.05,1,0
11.94,Seedling,24–28°C,30,5,55,5,233.47,0.7,80,26,18,1.25,6.05,1,0
12.42,Seedling,24–28°C,30,5,55,5,237.1,0.7,80,26,18,1.25,6.05,1,0
12.9,Seedling,24–28°C,30,5,55,5,240.73,0.7,80,26,18,1.25,6.05,1,0
13.37,Seedling,24–28°C,30,5,55,5,244.36,0.7,80,26,18,1.25,6.05,1,0
13.85,Seedling,24–28°C,30,5,55,5,247.98,0.7,80,26,18,1.25,6.05,1,0
14.32,Seedling,24–28°C,30,5,55,5,251.61,0.7,80,26,18,1.25,6.05,1,0
14.8,Vegetative,24–28°C,30,5,55,5,255.24,1,70,26,18,2.05,6.05,1,0
15.27,Vegetative,24–28°C,29.91,5,55.09,5.02,258.87,1,70,26,18,2.05,6.05,1,0
15.75,Vegetative,24–28°C,29.75,5,55.25,5.05,262.5,1,70,26,18,2.05,6.05,1,0
16.23,Vegetative,24–28°C,29.59,5,55.41,5.08,266.13,1,70,26,18,2.05,6.05,1,0
16.7,Vegetative,24–28°C,29.43,5,55.57,5.11,269.76,1,70,26,18,2.05,6.05,1,0
17.18,Vegetative,24–28°C,29.27,5,55.73,5.15,273.38,1,70,26,18,2.05,6.05,1,0
17.65,Vegetative,24–28°C,29.12,5,55.88,5.18,277.01,1,70,26,18,2.05,6.05,1,0
18.13,Vegetative,24–28°C,28.96,5.26,56.04,5.21,280.64,1,70,26,18,2.05,6.05,1,0
18.6,Vegetative,24–28°C,28.8,6.21,56.2,5.24,284.27,1,70,26,18,2.05,6.05,1,0
19.08,Vegetative,24–28°C,28.64,7,56.36,5.27,287.91,1,70,26,18,2.05,6.05,1,0
19.56,Vegetative,24–28°C,28.48,7,56.52,5.3,291.54,1,70,26,18,2.05,6.05,1,0
20.03,Vegetative,24–28°C,28.32,7,56.68,5.34,295.17,1,70,26,18,2.05,6.05,1,0
20.51,Vegetative,24–28°C,28.16,7,56.84,5.37,298.79,1,70,26,18,2.05,6.05,1,0
20.98,Vegetative,24–28°C,28.01,7,56.99,5.4,302.42,1,70,26,18,2.05,6.05,1,0
21.46,Vegetative,24–28°C,27.85,7,57.15,5.43,306.05,1,70,26,18,2.05,6.05,1,0
21.94,Vegetative,24–28°C,27.69,7,57.31,5.46,309.68,1,70,26,18,2.05,6.05,1,0
22.41,Vegetative,24–28°C,27.53,7,57.47,5.49,313.31,1,70,26,18,2.05,6.05,1,0
22.89,Vegetative,24–28°C,27.37,7,57.63,5.53,316.94,1,70,26,18,2.05,6.05,1,0
23.36,Vegetative,24–28°C,27.21,7,57.79,5.56,320.57,1,70,26,18,2.05,6.05,1,0
23.84,Vegetative,24–28°C,27.05,7,57.95,5.59,324.19,1,70,26,18,2.05,6.05,1,0
24.31,Vegetative,24–28°C,26.9,7,58.1,5.62,327.82,1,70,26,18,2.05,6.05,1,0
24.79,Vegetative,24–28°C,26.74,7,58.26,5.65,331.45,1,70,26,18,2.05,6.05,1,0
25.27,Vegetative,24–28°C,26.58,7,58.42,5.68,335.08,1,70,26,18,2.05,6.05,1,0
25.74,Vegetative,24–28°C,26.42,7,58.58,5.72,338.71,1,70,26,18,2.05,6.05,1,0
26.22,Vegetative,24–28°C,26.26,7,58.74,5.75,342.34,1,70,26,18,2.05,6.05,1,0
26.69,Vegetative,24–28°C,26.1,7,58.9,5.78,345.97,1,70,26,18,2.05,6.05,1,0
27.17,Vegetative,24–28°C,25.94,7,59.06,5.81,349.6,1,70,26,18,2.05,6.05,1,0
27.65,Vegetative,24–28°C,25.78,7,59.22,5.84,353.23,1,70,26,18,2.05,6.05,1,0
28.12,Vegetative,24–28°C,25.63,7,59.37,5.87,356.85,1,70,26,18,2.05,6.05,1,0
28.6,Vegetative,24–28°C,25.47,7,59.53,5.91,360.48,1,70,26,18,2.05,6.05,1,0
29.07,Vegetative,24–28°C,25.31,7,59.69,5.94,364.11,1,70,26,18,2.05,6.05,1,0
29.55,Vegetative,24–28°C,25.15,7,59.85,5.97,367.74,1,70,26,18,2.05,6.05,1,0
30.02,Vegetative,24–28°C,25,7,60,6,371.37,1,70,26,18,2.05,6.05,1,0
30.5,Vegetative,24–28°C,25,7,60,6,375,1,70,26,18,2.05,6.05,1,0
30.98,Flowering,24–28°C,25,7,60,6,378.63,1.2,65,26,18,2.75,6.05,0,1
31.45,Flowering,24–28°C,24.84,7,60.16,6.06,382.26,1.2,65,26,18,2.75,6.05,0,1
