Day,Stage,VPD,Humidity,Temperature (°C),Blue (450 nm),Green (%),Red (660 nm),Far-Red (730 nm),PPFD (µmol/m²/s),EC,PH,Veg,Fruit
1,Seedling,,,22–26°C,45,5,45,0,100,1,6,1,0
2,Seedling,,,22–26°C,45,5,45,0,107.41,1,6,1,0
3,Seedling,,,22–26°C,45,5,45,0,114.81,1,6,1,0
4,Seedling,,,22–26°C,45,5,45,0,122.22,1,6,1,0
5,Seedling,,,22–26°C,43.52,5,43.52,1.48,129.63,1,6,1,0
6,Juvenile,,,22–26°C,40,5,40,5,137.04,1,6,1,0
7,Juvenile,,,22–26°C,40,5,40,5,144.45,1,6,1,0
8,Juvenile,,,22–26°C,40,5,40,5,151.85,1,6,1,0
9,Juvenile,,,22–26°C,40,6.19,40,5,159.26,1,6,1,0
10,Juvenile,,,22–26°C,40,7,40,5,166.67,1,6,1,0
11,Juvenile,,,22–26°C,40,7,40,5,174.07,1,6,1,0
12,Juvenile,,,22–26°C,40,7,40,5,181.48,1,6,1,0
13,Juvenile,,,22–26°C,40,7,40,5,188.89,1,6,1,0
14,Juvenile,,,22–26°C,40,7,40,5,196.29,1,6,1,0
15,Growth,,,22–26°C,35,7,50,5,203.71,1.5,6,1,0
16,Growth,,,22–26°C,35,7,50,5,211.11,1.5,6,1,0
17,Growth,,,22–26°C,35,7,50,5,218.52,1.5,6,1,0
18,Growth,,,22–26°C,35,7,50,5,225.93,1.5,6,1,0
19,Growth,,,22–26°C,35,7,50,5,233.33,1.5,6,1,0
20,Growth,,,22–26°C,35,7,50,5,240.74,1.5,6,1,0
21,Growth,,,22–26°C,35,7,50,5,248.15,1.5,6,1,0
22,Growth,,,22–26°C,35,7,50,5,255.55,1.5,6,1,0
23,Late Growth,,,22–26°C,38.15,8.89,46.85,5,262.96,1.5,6,1,0
24,Late Growth,,,22–26°C,40,10,45,5,270.37,1.5,6,1,0
25,Late Growth,,,22–26°C,40,10,45,5,277.78,1.5,6,1,0
26,Late Growth,,,22–26°C,40,10,45,5,285.19,1.5,6,1,0
27,Late Growth,,,22–26°C,40,10,45,5,292.59,1.5,6,1,0
28,Late Growth,,,22–26°C,40,10,45,5,300,1.5,6,1,0
