Day,Stage,Temperature (°C),Blue (450 nm),Green (%),Red (660 nm),Far-Red (730 nm),PPFD (µmol/m²/s),Target VPD (kPa),Max Humidity (%),Afternoon Temp (°C),Night Temp (°C),EC,PH,Veg,Fruit
1,Seedling,20,45,5,45,0,120,0.6,80,20,14,0.7,6,1,0
2.5,Seedling,20,45,5,45,0,129,0.6,80,20,14,0.7,6,1,0
4,Seedling,20,45,5,45,0,138,0.6,80,20,14,0.7,6,1,0
5.5,Juvenile,20,45,5,42.5,2.5,172,0.6,80,20,14,0.7,6,1,0
7,Juvenile,20,45,5,40,5,203.85,0.6,80,20,14,0.7,6,1,0
8.5,Juvenile,20,45,5,40,5,209.62,0.9,70,20,14,0.7,6,1,0
10,Juvenile,20,45,5,40,5,215.38,0.9,70,20,14,0.7,6,1,0
11.5,Juvenile,20,45,6,40,5,221.15,0.9,70,20,14,0.7,6,1,0
13,Juvenile,20,45,7,40,5,226.92,0.9,70,20,14,0.7,6,1,0
14.5,Juvenile,20,45,7,40,5,232.69,0.9,70,20,14,0.7,6,1,0
16,Juvenile,20,45,7,40,5,238.46,0.9,70,20,14,0.7,6,1,0
17.5,Juvenile,20,45,7,40,5,244.23,0.9,70,20,14,0.7,6,1,0
19,Juvenile,20,45,7,40,5,250,0.9,70,20,14,0.7,6,1,0
20.5,Growth,20,30.19,7,45.19,5,251.92,0.9,70,20,14,1,6,1,0
22,Growth,20,30.77,7,45.77,5,257.69,0.9,70,20,14,1,6,1,0
23.5,Growth,20,31.35,7,46.35,5,263.46,0.9,70,20,14,1,6,1,0
25,Growth,20,31.92,7,46.92,5,269.23,0.9,70,20,14,1,6,1,0
26.5,Growth,20,32.5,7,47.5,5,275,0.9,70,20,14,1,6,1,0
28,Growth,20,33.08,7,48.08,5,280.77,0.9,70,20,14,1,6,1,0
29.5,Growth,20,33.65,7,48.65,5,286.54,0.9,70,20,14,1,6,1,0
31,Growth,20,34.23,7,49.23,5,292.31,0.9,70,20,14,1,6,1,0
32.5,Growth,20,34.81,10,49.81,5,298.08,0.9,70,20,14,1,6,1,0
34,Late Growth,20,35,10,40,5,300,0.9,70,20,14,1,6,1,0
35.5,Late Growth,20,36.25,10,41.25,5,312.5,0.9,70,20,14,1,6,1,0
37,Late Growth,20,37.5,10,42.5,0,325,0.9,70,20,14,1,6,1,0
