Day,Stage,VPD,Humidity,Temperature (°C),Blue (450 nm),Green (%),Red (660 nm),Far-Red (730 nm),PPFD (µmol/m²/s),EC,PH,Veg,Fruit
1,Seedling,,,24–28°C,30,5,55,5,150,1.25,6.05,1,0
2,Seedling,,,24–28°C,30,5,55,5,153.49,1.25,6.05,1,0
3,Seedling,,,24–28°C,30,5,55,5,156.98,1.25,6.05,1,0
4,Seedling,,,24–28°C,30,5,55,5,160.47,1.25,6.05,1,0
5,Seedling,,,24–28°C,30,5,55,5,163.95,1.25,6.05,1,0
6,Seedling,,,24–28°C,30,5,55,5,167.44,1.25,6.05,1,0
7,Seedling,,,24–28°C,30,5,55,5,170.93,1.25,6.05,1,0
8,Seedling,,,24–28°C,30,5,55,5,174.42,1.25,6.05,1,0
9,Seedling,,,24–28°C,30,5,55,5,177.91,1.25,6.05,1,0
10,Seedling,,,24–28°C,30,5,55,5,181.4,1.25,6.05,1,0
11,Seedling,,,24–28°C,30,5,55,5,184.89,1.25,6.05,1,0
12,Seedling,,,24–28°C,30,5,55,5,188.38,1.25,6.05,1,0
13,Seedling,,,24–28°C,30,5,55,5,191.86,1.25,6.05,1,0
14,Seedling,,,24–28°C,30,5,55,5,195.35,1.25,6.05,1,0
15,Seedling,,,24–28°C,30,5,55,5,198.84,1.25,6.05,1,0
16,Seedling,,,24–28°C,30,5,55,5,202.33,1.25,6.05,1,0
17,Seedling,,,24–28°C,30,5,55,5,205.82,1.25,6.05,1,0
18,Seedling,,,24–28°C,30,5,55,5,209.3,1.25,6.05,1,0
19,Seedling,,,24–28°C,30,5,55,5,212.79,1.25,6.05,1,0
20,Seedling,,,24–28°C,30,5,55,5,216.28,1.25,6.05,1,0
21,Seedling,,,24–28°C,30,5,55,5,219.76,1.25,6.05,1,0
22,Seedling,,,24–28°C,30,5,55,5,223.25,1.25,6.05,1,0
23,Seedling,,,24–28°C,30,5,55,5,226.74,1.25,6.05,1,0
24,Seedling,,,24–28°C,30,5,55,5,230.23,1.25,6.05,1,0
25,Seedling,,,24–28°C,30,5,55,5,233.72,1.25,6.05,1,0
26,Seedling,,,24–28°C,30,5,55,5,237.21,1.25,6.05,1,0
27,Seedling,,,24–28°C,30,5,55,5,240.7,1.25,6.05,1,0
28,Seedling,,,24–28°C,30,5,55,5,244.19,1.25,6.05,1,0
29,Seedling,,,24–28°C,30,5,55,5,247.67,1.25,6.05,1,0
30,Seedling,,,24–28°C,30,5,55,5,251.16,1.25,6.05,1,0
31,Vegetative,,,24–28°C,30,5,55,5,254.65,2.05,6.05,1,0
32,Vegetative,,,24–28°C,29.94,5,55.06,5.01,258.14,2.05,6.05,1,0
33,Vegetative,,,24–28°C,29.79,5,55.21,5.04,261.63,2.05,6.05,1,0
34,Vegetative,,,24–28°C,29.64,5,55.36,5.07,265.12,2.05,6.05,1,0
35,Vegetative,,,24–28°C,29.48,5,55.52,5.1,268.6,2.05,6.05,1,0
36,Vegetative,,,24–28°C,29.33,5,55.67,5.13,272.09,2.05,6.05,1,0
37,Vegetative,,,24–28°C,29.18,5,55.82,5.16,275.58,2.05,6.05,1,0
38,Vegetative,,,24–28°C,29.03,5,55.97,5.19,279.07,2.05,6.05,1,0
39,Vegetative,,,24–28°C,28.87,5.76,56.13,5.23,282.56,2.05,6.05,1,0
40,Vegetative,,,24–28°C,28.72,6.67,56.28,5.26,286.05,2.05,6.05,1,0
41,Vegetative,,,24–28°C,28.57,7,56.43,5.29,289.54,2.05,6.05,1,0
42,Vegetative,,,24–28°C,28.42,7,56.58,5.32,293.03,2.05,6.05,1,0
43,Vegetative,,,24–28°C,28.26,7,56.74,5.35,296.51,2.05,6.05,1,0
44,Vegetative,,,24–28°C,28.11,7,56.89,5.38,300,2.05,6.05,1,0
45,Vegetative,,,24–28°C,27.96,7,57.04,5.41,303.49,2.05,6.05,1,0
46,Vegetative,,,24–28°C,27.81,7,57.19,5.44,306.98,2.05,6.05,1,0
47,Vegetative,,,24–28°C,27.65,7,57.35,5.47,310.47,2.05,6.05,1,0
48,Vegetative,,,24–28°C,27.5,7,57.5,5.5,313.96,2.05,6.05,1,0
49,Vegetative,,,24–28°C,27.35,7,57.65,5.53,317.45,2.05,6.05,1,0
50,Vegetative,,,24–28°C,27.2,7,57.8,5.56,320.93,2.05,6.05,1,0
51,Vegetative,,,24–28°C,27.04,7,57.96,5.59,324.42,2.05,6.05,1,0
52,Vegetative,,,24–28°C,26.89,7,58.11,5.62,327.9,2.05,6.05,1,0
53,Vegetative,,,24–28°C,26.74,7,58.26,5.65,331.39,2.05,6.05,1,0
54,Vegetative,,,24–28°C,26.59,7,58.41,5.68,334.88,2.05,6.05,1,0
55,Vegetative,,,24–28°C,26.43,7,58.57,5.71,338.37,2.05,6.05,1,0
56,Vegetative,,,24–28°C,26.28,7,58.72,5.74,341.86,2.05,6.05,1,0
57,Vegetative,,,24–28°C,26.13,7,58.87,5.77,345.35,2.05,6.05,1,0
58,Vegetative,,,24–28°C,25.98,7,59.02,5.8,348.84,2.05,6.05,1,0
59,Vegetative,,,24–28°C,25.82,7,59.18,5.84,352.33,2.05,6.05,1,0
60,Vegetative,,,24–28°C,25.67,7,59.33,5.87,355.81,2.05,6.05,1,0
61,Vegetative,,,24–28°C,25.52,7,59.48,5.9,359.3,2.05,6.05,1,0
62,Vegetative,,,24–28°C,25.37,7,59.63,5.93,362.79,2.05,6.05,1,0
63,Vegetative,,,24–28°C,25.21,7,59.79,5.96,366.28,2.05,6.05,1,0
64,Vegetative,,,24–28°C,25.06,7,59.94,5.99,369.77,2.05,6.05,1,0
65,Vegetative,,,24–28°C,25,7,60,6,373.26,2.05,6.05,1,0
66,Vegetative,,,24–28°C,25,7,60,6,376.74,2.05,6.05,1,0
67,Flowering,,,24–28°C,24.93,7,60.07,6.03,380.23,2.75,6.05,0,1
68,Flowering,,,24–28°C,24.77,7,60.23,6.09,383.72,2.75,6.05,0,1
69,Flowering,,,24–28°C,24.61,7,60.39,6.16,387.21,2.75,6.05,0,1
70,Flowering,,,24–28°C,24.44,7,60.56,6.22,390.7,2.75,6.05,0,1
71,Flowering,,,24–28°C,24.28,7,60.72,6.29,394.19,2.75,6.05,0,1
72,Flowering,,,24–28°C,24.12,7,60.88,6.35,397.67,2.75,6.05,0,1
73,Flowering,,,24–28°C,23.95,7,61.05,6.42,401.16,2.75,6.05,0,1
74,Flowering,,,24–28°C,23.79,7,61.21,6.48,404.65,2.75,6.05,0,1
75,Flowering,,,24–28°C,23.63,7,61.37,6.55,408.14,2.75,6.05,0,1
76,Flowering,,,24–28°C,23.46,7,61.54,6.61,411.63,2.75,6.05,0,1
77,Flowering,,,24–28°C,23.3,7,61.7,6.68,415.12,2.75,6.05,0,1
78,Flowering,,,24–28°C,23.14,7,61.86,6.75,418.61,2.75,6.05,0,1
79,Flowering,,,24–28°C,22.97,7,62.03,6.81,422.1,2.75,6.05,0,1
80,Flowering,,,24–28°C,22.81,7,62.19,6.88,425.58,2.75,6.05,0,1
81,Flowering,,,24–28°C,22.65,7,62.35,6.94,429.07,2.75,6.05,0,1
82,Flowering,,,24–28°C,22.48,7,62.52,7.01,432.55,2.75,6.05,0,1
83,Flowering,,,24–28°C,22.32,7,62.68,7.07,436.04,2.75,6.05,0,1
84,Flowering,,,24–28°C,22.16,7,62.84,7.14,439.53,2.75,6.05,0,1
85,Flowering,,,24–28°C,21.99,7,63.01,7.2,443.02,2.75,6.05,0,1
86,Flowering,,,24–28°C,21.83,7,63.17,7.27,446.51,2.75,6.05,0,1
87,Flowering,,,24–28°C,21.67,7,63.33,7.33,450,2.75,6.05,0,1
88,Flowering,,,24–28°C,21.5,7,63.5,7.4,453.49,2.75,6.05,0,1
89,Flowering,,,24–28°C,21.34,7,63.66,7.46,456.97,2.75,6.05,0,1
90,Flowering,,,24–28°C,21.18,7,63.82,7.53,460.46,2.75,6.05,0,1
91,Flowering,,,24–28°C,21.01,7,63.99,7.59,463.95,2.75,6.05,0,1
92,Flowering,,,24–28°C,20.85,7,64.15,7.66,467.44,2.75,6.05,0,1
93,Flowering,,,24–28°C,20.69,7,64.31,7.73,470.93,2.75,6.05,0,1
94,Flowering,,,24–28°C,20.52,7,64.48,7.79,474.42,2.75,6.05,0,1
95,Flowering,,,24–28°C,20.36,7,64.64,7.86,477.91,2.75,6.05,0,1
96,Flowering,,,24–28°C,20.2,7,64.8,7.92,481.4,2.75,6.05,0,1
97,Flowering,,,24–28°C,20.03,7,64.97,7.99,484.88,2.75,6.05,0,1
98,Flowering,,,24–28°C,20,7,65,8,488.37,2.75,6.05,0,1
99,Fruiting,,,24–28°C,20,7,65,8,491.86,3,6.05,0,1
100,Fruiting,,,24–28°C,19.9,7,65,8.04,495.35,3,6.05,0,1
101,Fruiting,,,24–28°C,19.74,7,65,8.11,498.84,3,6.05,0,1
102,Fruiting,,,24–28°C,19.57,7,65,8.17,502.33,3,6.05,0,1
103,Fruiting,,,24–28°C,19.41,7,65,8.24,505.81,3,6.05,0,1
104,Fruiting,,,24–28°C,19.25,7,65,8.3,509.3,3,6.05,0,1
105,Fruiting,,,24–28°C,19.08,7,65,8.37,512.79,3,6.05,0,1
106,Fruiting,,,24–28°C,18.92,7,65,8.43,516.28,3,6.05,0,1
107,Fruiting,,,24–28°C,18.76,7,65,8.5,519.77,3,6.05,0,1
108,Fruiting,,,24–28°C,18.59,7,65,8.56,523.26,3,6.05,0,1
109,Fruiting,,,24–28°C,18.43,7,65,8.63,526.75,3,6.05,0,1
110,Fruiting,,,24–28°C,18.27,7,65,8.69,530.24,3,6.05,0,1
111,Fruiting,,,24–28°C,18.1,7,65,8.76,533.72,3,6.05,0,1
112,Fruiting,,,24–28°C,17.94,7,65,8.82,537.21,3,6.05,0,1
113,Fruiting,,,24–28°C,17.78,7,65,8.89,540.7,3,6.05,0,1
114,Fruiting,,,24–28°C,17.61,7,65,8.95,544.18,3,6.05,0,1
115,Fruiting,,,24–28°C,17.45,7,65,9.02,547.67,3,6.05,0,1
116,Fruiting,,,24–28°C,17.29,7,65,9.09,551.16,3,6.05,0,1
117,Fruiting,,,24–28°C,17.12,7.16,65,9.15,554.65,3,6.05,0,1
118,Fruiting,,,24–28°C,16.96,8.53,65,9.22,558.14,3,6.05,0,1
119,Fruiting,,,24–28°C,16.8,9.91,65,9.28,561.62,3,6.05,0,1
120,Fruiting,,,24–28°C,16.63,10,65,9.35,565.11,3,6.05,0,1
121,Fruiting,,,24–28°C,16.47,10,65,9.41,568.6,3,6.05,0,1
122,Fruiting,,,24–28°C,16.31,10,65,9.48,572.09,3,6.05,0,1
123,Fruiting,,,24–28°C,16.14,10,65,9.54,575.58,3,6.05,0,1
124,Fruiting,,,24–28°C,15.98,10,65,9.61,579.07,3,6.05,0,1
125,Fruiting,,,24–28°C,15.82,10,65,9.67,582.56,3,6.05,0,1
126,Fruiting,,,24–28°C,15.65,10,65,9.74,586.05,3,6.05,0,1
127,Fruiting,,,24–28°C,15.49,10,65,9.8,589.53,3,6.05,0,1
128,Fruiting,,,24–28°C,15.33,10,65,9.87,593.02,3,6.05,0,1
129,Fruiting,,,24–28°C,15.16,10,65,9.93,596.51,3,6.05,0,1
130,Fruiting,,,24–28°C,15,10,65,10,600,3,6.05,0,1
