Day,Stage,VPD,Humidity,Temperature (°C),Blue (450 nm),Green (%),Red (660 nm),Far-Red (730 nm),PPFD (µmol/m²/s),EC,PH,Veg,Fruit
1,Seedling,,,22–26°C,45,5,45,0,100,1,6,1,0
2,Seedling,,,22–26°C,45,5,45,0,104.55,1,6,1,0
3,Seedling,,,22–26°C,45,5,45,0,109.09,1,6,1,0
4,Seedling,,,22–26°C,45,5,45,0,113.63,1,6,1,0
5,Seedling,,,22–26°C,45,5,45,0,118.18,1,6,1,0
6,Seedling,,,22–26°C,45,5,45,0,122.73,1,6,1,0
7,Seedling,,,22–26°C,45,5,45,0,127.28,1,6,1,0
8,Seedling,,,22–26°C,41.93,5,41.93,3.07,131.82,1,6,1,0
9,Juvenile,,,22–26°C,40,5,40,5,136.36,1,6,1,0
10,Juvenile,,,22–26°C,40,5,40,5,140.91,1,6,1,0
11,Juvenile,,,22–26°C,40,5,40,5,145.46,1,6,1,0
12,Juvenile,,,22–26°C,40,5,40,5,150,1,6,1,0
13,Juvenile,,,22–26°C,40,5,40,5,154.54,1,6,1,0
14,Juvenile,,,22–26°C,40,6.14,40,5,159.09,1,6,1,0
15,Juvenile,,,22–26°C,40,7,40,5,163.64,1,6,1,0
16,Juvenile,,,22–26°C,40,7,40,5,168.19,1,6,1,0
17,Juvenile,,,22–26°C,40,7,40,5,172.73,1,6,1,0
18,Juvenile,,,22–26°C,40,7,40,5,177.27,1,6,1,0
19,Juvenile,,,22–26°C,40,7,40,5,181.82,1,6,1,0
20,Juvenile,,,22–26°C,40,7,40,5,186.37,1,6,1,0
21,Juvenile,,,22–26°C,40,7,40,5,190.91,1,6,1,0
22,Juvenile,,,22–26°C,40,7,40,5,195.45,1,6,1,0
23,Growth,,,22–26°C,37.5,7,45,5,200,1.5,6,1,0
24,Growth,,,22–26°C,35,7,50,5,204.55,1.5,6,1,0
25,Growth,,,22–26°C,35,7,50,5,209.09,1.5,6,1,0
26,Growth,,,22–26°C,35,7,50,5,213.63,1.5,6,1,0
27,Growth,,,22–26°C,35,7,50,5,218.18,1.5,6,1,0
28,Growth,,,22–26°C,35,7,50,5,222.73,1.5,6,1,0
29,Growth,,,22–26°C,35,7,50,5,227.27,1.5,6,1,0
30,Growth,,,22–26°C,35,7,50,5,231.81,1.5,6,1,0
31,Growth,,,22–26°C,35,7,50,5,236.36,1.5,6,1,0
32,Growth,,,22–26°C,35,7,50,5,240.91,1.5,6,1,0
33,Growth,,,22–26°C,35,7,50,5,245.46,1.5,6,1,0
34,Growth,,,22–26°C,35,7,50,5,250,1.5,6,1,0
35,Growth,,,22–26°C,35,7,50,5,254.54,1.5,6,1,0
36,Growth,,,22–26°C,35.34,7.2,49.66,5,259.09,1.5,6,1,0
37,Late Growth,,,22–26°C,38.64,9.18,46.36,5,263.64,1.5,6,1,0
38,Late Growth,,,22–26°C,40,10,45,5,268.18,1.5,6,1,0
39,Late Growth,,,22–26°C,40,10,45,5,272.72,1.5,6,1,0
40,Late Growth,,,22–26°C,40,10,45,5,277.27,1.5,6,1,0
41,Late Growth,,,22–26°C,40,10,45,5,281.82,1.5,6,1,0
42,Late Growth,,,22–26°C,40,10,45,5,286.37,1.5,6,1,0
43,Late Growth,,,22–26°C,40,10,45,5,290.91,1.5,6,1,0
44,Late Growth,,,22–26°C,40,10,45,5,295.45,1.5,6,1,0
45,Late Growth,,,22–26°C,40,10,45,5,300,1.5,6,1,0
