Day,Stage,VPD,Humidity,Temperature (°C),Blue (450 nm),Green (%),Red (660 nm),Far-Red (730 nm),PPFD (µmol/m²/s),EC,PH,Veg,Fruit
1,Seedling,,,24–28°C,30,5,55,5,150,1.25,6.05,1,0
2,Seedling,,,24–28°C,30,5,55,5,154.13,1.25,6.05,1,0
3,Seedling,,,24–28°C,30,5,55,5,158.26,1.25,6.05,1,0
4,Seedling,,,24–28°C,30,5,55,5,162.38,1.25,6.05,1,0
5,Seedling,,,24–28°C,30,5,55,5,166.51,1.25,6.05,1,0
6,Seedling,,,24–28°C,30,5,55,5,170.64,1.25,6.05,1,0
7,Seedling,,,24–28°C,30,5,55,5,174.77,1.25,6.05,1,0
8,Seedling,,,24–28°C,30,5,55,5,178.9,1.25,6.05,1,0
9,Seedling,,,24–28°C,30,5,55,5,183.03,1.25,6.05,1,0
10,Seedling,,,24–28°C,30,5,55,5,187.16,1.25,6.05,1,0
11,Seedling,,,24–28°C,30,5,55,5,191.29,1.25,6.05,1,0
12,Seedling,,,24–28°C,30,5,55,5,195.41,1.25,6.05,1,0
13,Seedling,,,24–28°C,30,5,55,5,199.54,1.25,6.05,1,0
14,Seedling,,,24–28°C,30,5,55,5,203.67,1.25,6.05,1,0
15,Seedling,,,24–28°C,30,5,55,5,207.8,1.25,6.05,1,0
16,Seedling,,,24–28°C,30,5,55,5,211.93,1.25,6.05,1,0
17,Seedling,,,24–28°C,30,5,55,5,216.05,1.25,6.05,1,0
18,Seedling,,,24–28°C,30,5,55,5,220.18,1.25,6.05,1,0
19,Seedling,,,24–28°C,30,5,55,5,224.31,1.25,6.05,1,0
20,Seedling,,,24–28°C,30,5,55,5,228.44,1.25,6.05,1,0
21,Seedling,,,24–28°C,30,5,55,5,232.57,1.25,6.05,1,0
22,Seedling,,,24–28°C,30,5,55,5,236.7,1.25,6.05,1,0
23,Seedling,,,24–28°C,30,5,55,5,240.83,1.25,6.05,1,0
24,Seedling,,,24–28°C,30,5,55,5,244.96,1.25,6.05,1,0
25,Seedling,,,24–28°C,30,5,55,5,249.08,1.25,6.05,1,0
