Day,Stage,VPD,Humidity,Temperature (°C),Blue (450 nm),Green (%),Red (660 nm),Far-Red (730 nm),PPFD (µmol/m²/s),EC,PH,Veg,Fruit
1,Seedling,,,20–24°C,25,5,40,1,200,0.7,6,1,0
2,Seedling,,,20–24°C,25,5,40,1,200,0.7,6,1,0
3,Seedling,,,20–24°C,25,5,40,1,200,0.7,6,1,0
4,Seedling,,,20–24°C,25,5,40,1,200,0.7,6,1,0
5,Seedling,,,20–24°C,25,5,40,1,200,0.7,6,1,0
6,Seedling,,,20–24°C,25,5,40,1,200,0.7,6,1,0
7,Seedling,,,20–24°C,25,5,40,1,200,0.7,6,1,0
8,Seedling,,,20–24°C,25,5,40,1,200,0.7,6,1,0
9,Seedling,,,20–24°C,25,7,40,1,200,0.7,6,1,0
10,Seedling,,,20–24°C,25,7,40,1,200,0.7,6,1,0
11,Seedling,,,20–24°C,25,7,40,1,200,0.7,6,1,0
12,Seedling,,,20–24°C,25,7,40,1,200,0.7,6,1,0
13,Seedling,,,20–24°C,25,7,40,1,200,0.7,6,1,0
14,Seedling,,,20–24°C,25,7,40,1,200,0.7,6,1,0
15,Seedling,,,20–24°C,25,7,40,1,200,0.7,6,1,0
16,Seedling,,,20–24°C,25,7,40,1,200,0.7,6,1,0
17,Seedling,,,20–24°C,25,7,40,1,200,0.7,6,1,0
18,Seedling,,,20–24°C,25,7,40,1,200,0.7,6,1,0
19,Seedling,,,20–24°C,25,7,40,1,200,0.7,6,1,0
20,Seedling,,,20–24°C,25,7,40,1,200,0.7,6,1,0
21,Seedling,,,20–24°C,25,7,40,1,200,0.7,6,1,0
22,Seedling,,,20–24°C,25,7,40,1,200,0.7,6,1,0
23,Seedling,,,20–24°C,25,8.38,40,1,200,0.7,6,1,0
24,Seedling,,,20–24°C,25,10,40,1,200,0.7,6,1,0
25,Seedling,,,20–24°C,25,10,40,1,200,0.7,6,1,0
26,Seedling,,,20–24°C,25,10,40,1,200,0.7,6,1,0
27,Seedling,,,20–24°C,25,10,40,1,200,0.7,6,1,0
