Day,Stage,VPD,Humidity,Temperature (°C),Blue (450 nm),Green (%),Red (660 nm),Far-Red (730 nm),PPFD (µmol/m²/s),EC,PH,Veg,Fruit
1,Seedling,,,22–26°C,45,5,45,0,100,1,6,1,0
2,Seedling,,,22–26°C,45,5,45,0,106.45,1,6,1,0
3,Seedling,,,22–26°C,45,5,45,0,112.9,1,6,1,0
4,Seedling,,,22–26°C,45,5,45,0,119.35,1,6,1,0
5,Seedling,,,22–26°C,45,5,45,0,125.81,1,6,1,0
6,Juvenile,,,22–26°C,41.61,5,41.61,3.39,132.26,1,6,1,0
7,Juvenile,,,22–26°C,40,5,40,5,138.71,1,6,1,0
8,Juvenile,,,22–26°C,40,5,40,5,145.16,1,6,1,0
9,Juvenile,,,22–26°C,40,5,40,5,151.61,1,6,1,0
10,Juvenile,,,22–26°C,40,5.84,40,5,158.06,1,6,1,0
11,Juvenile,,,22–26°C,40,7,40,5,164.52,1,6,1,0
12,Juvenile,,,22–26°C,40,7,40,5,170.97,1,6,1,0
13,Juvenile,,,22–26°C,40,7,40,5,177.42,1,6,1,0
14,Juvenile,,,22–26°C,40,7,40,5,183.87,1,6,1,0
15,Juvenile,,,22–26°C,40,7,40,5,190.33,1,6,1,0
16,Juvenile,,,22–26°C,39.84,7,40.32,5,196.77,1,6,1,0
17,Growth,,,22–26°C,35.16,7,49.68,5,203.23,1.5,6,1,0
18,Growth,,,22–26°C,35,7,50,5,209.67,1.5,6,1,0
19,Growth,,,22–26°C,35,7,50,5,216.13,1.5,6,1,0
20,Growth,,,22–26°C,35,7,50,5,222.58,1.5,6,1,0
21,Growth,,,22–26°C,35,7,50,5,229.03,1.5,6,1,0
22,Growth,,,22–26°C,35,7,50,5,235.48,1.5,6,1,0
23,Growth,,,22–26°C,35,7,50,5,241.94,1.5,6,1,0
24,Growth,,,22–26°C,35,7,50,5,248.39,1.5,6,1,0
25,Growth,,,22–26°C,35,7,50,5,254.84,1.5,6,1,0
26,Growth,,,22–26°C,36.94,8.16,48.06,5,261.29,1.5,6,1,0
27,Late Growth,,,22–26°C,40,10,45,5,267.74,1.5,6,1,0
28,Late Growth,,,22–26°C,40,10,45,5,274.19,1.5,6,1,0
29,Late Growth,,,22–26°C,40,10,45,5,280.65,1.5,6,1,0
30,Late Growth,,,22–26°C,40,10,45,5,287.1,1.5,6,1,0
31,Late Growth,,,22–26°C,40,10,45,5,293.55,1.5,6,1,0
32,Late Growth,,,22–26°C,40,10,45,5,300,1.5,6,1,0
