Day,Stage,VPD,Humidity,Temperature (°C),Blue (450 nm),Green (%),Red (660 nm),Far-Red (730 nm),PPFD (µmol/m²/s),EC,PH,Veg,Fruit
1,Seedling,,,24–28°C,30,5,55,5,150,1.25,6.05,1,0
2,Seedling,,,24–28°C,30,5,55,5,153.78,1.25,6.05,1,0
3,Seedling,,,24–28°C,30,5,55,5,157.57,1.25,6.05,1,0
4,Seedling,,,24–28°C,30,5,55,5,161.34,1.25,6.05,1,0
5,Seedling,,,24–28°C,30,5,55,5,165.12,1.25,6.05,1,0
6,Seedling,,,24–28°C,30,5,55,5,168.9,1.25,6.05,1,0
7,Seedling,,,24–28°C,30,5,55,5,172.69,1.25,6.05,1,0
8,Seedling,,,24–28°C,30,5,55,5,176.47,1.25,6.05,1,0
9,Seedling,,,24–28°C,30,5,55,5,180.25,1.25,6.05,1,0
10,Seedling,,,24–28°C,30,5,55,5,184.04,1.25,6.05,1,0
11,Seedling,,,24–28°C,30,5,55,5,187.82,1.25,6.05,1,0
12,Seedling,,,24–28°C,30,5,55,5,191.6,1.25,6.05,1,0
13,Seedling,,,24–28°C,30,5,55,5,195.38,1.25,6.05,1,0
14,Seedling,,,24–28°C,30,5,55,5,199.16,1.25,6.05,1,0
15,Seedling,,,24–28°C,30,5,55,5,202.94,1.25,6.05,1,0
16,Seedling,,,24–28°C,30,5,55,5,206.72,1.25,6.05,1,0
17,Seedling,,,24–28°C,30,5,55,5,210.51,1.25,6.05,1,0
18,Seedling,,,24–28°C,30,5,55,5,214.29,1.25,6.05,1,0
19,Seedling,,,24–28°C,30,5,55,5,218.06,1.25,6.05,1,0
20,Seedling,,,24–28°C,30,5,55,5,221.85,1.25,6.05,1,0
21,Seedling,,,24–28°C,30,5,55,5,225.63,1.25,6.05,1,0
22,Seedling,,,24–28°C,30,5,55,5,229.41,1.25,6.05,1,0
23,Seedling,,,24–28°C,30,5,55,5,233.19,1.25,6.05,1,0
24,Seedling,,,24–28°C,30,5,55,5,236.98,1.25,6.05,1,0
25,Seedling,,,24–28°C,30,5,55,5,240.76,1.25,6.05,1,0
26,Seedling,,,24–28°C,30,5,55,5,244.54,1.25,6.05,1,0
27,Seedling,,,24–28°C,30,5,55,5,248.32,1.25,6.05,1,0
28,Seedling,,,24–28°C,30,5,55,5,252.1,1.25,6.05,1,0
29,Vegetative,,,24–28°C,30,5,55,5,255.88,2.05,6.05,1,0
30,Vegetative,,,24–28°C,29.87,5,55.13,5.03,259.67,2.05,6.05,1,0
31,Vegetative,,,24–28°C,29.71,5,55.29,5.06,263.45,2.05,6.05,1,0
32,Vegetative,,,24–28°C,29.54,5,55.46,5.09,267.23,2.05,6.05,1,0
33,Vegetative,,,24–28°C,29.38,5,55.62,5.12,271.01,2.05,6.05,1,0
34,Vegetative,,,24–28°C,29.21,5,55.79,5.16,274.79,2.05,6.05,1,0
35,Vegetative,,,24–28°C,29.05,5,55.95,5.19,278.57,2.05,6.05,1,0
36,Vegetative,,,24–28°C,28.88,5.71,56.12,5.22,282.35,2.05,6.05,1,0
37,Vegetative,,,24–28°C,28.72,6.7,56.28,5.26,286.14,2.05,6.05,1,0
38,Vegetative,,,24–28°C,28.55,7,56.45,5.29,289.92,2.05,6.05,1,0
39,Vegetative,,,24–28°C,28.39,7,56.61,5.32,293.7,2.05,6.05,1,0
40,Vegetative,,,24–28°C,28.22,7,56.78,5.36,297.48,2.05,6.05,1,0
41,Vegetative,,,24–28°C,28.06,7,56.94,5.39,301.26,2.05,6.05,1,0
42,Vegetative,,,24–28°C,27.89,7,57.11,5.42,305.04,2.05,6.05,1,0
43,Vegetative,,,24–28°C,27.73,7,57.27,5.45,308.82,2.05,6.05,1,0
44,Vegetative,,,24–28°C,27.56,7,57.44,5.49,312.61,2.05,6.05,1,0
45,Vegetative,,,24–28°C,27.39,7,57.61,5.52,316.39,2.05,6.05,1,0
46,Vegetative,,,24–28°C,27.23,7,57.77,5.55,320.17,2.05,6.05,1,0
47,Vegetative,,,24–28°C,27.06,7,57.94,5.59,323.95,2.05,6.05,1,0
48,Vegetative,,,24–28°C,26.9,7,58.1,5.62,327.73,2.05,6.05,1,0
49,Vegetative,,,24–28°C,26.73,7,58.27,5.65,331.51,2.05,6.05,1,0
50,Vegetative,,,24–28°C,26.57,7,58.43,5.69,335.29,2.05,6.05,1,0
51,Vegetative,,,24–28°C,26.4,7,58.6,5.72,339.08,2.05,6.05,1,0
52,Vegetative,,,24–28°C,26.24,7,58.76,5.75,342.86,2.05,6.05,1,0
53,Vegetative,,,24–28°C,26.07,7,58.93,5.79,346.64,2.05,6.05,1,0
54,Vegetative,,,24–28°C,25.91,7,59.09,5.82,350.42,2.05,6.05,1,0
55,Vegetative,,,24–28°C,25.74,7,59.26,5.85,354.2,2.05,6.05,1,0
56,Vegetative,,,24–28°C,25.58,7,59.42,5.88,357.98,2.05,6.05,1,0
57,Vegetative,,,24–28°C,25.41,7,59.59,5.92,361.76,2.05,6.05,1,0
58,Vegetative,,,24–28°C,25.25,7,59.75,5.95,365.55,2.05,6.05,1,0
59,Vegetative,,,24–28°C,25.08,7,59.92,5.98,369.33,2.05,6.05,1,0
60,Vegetative,,,24–28°C,25,7,60,6,373.11,2.05,6.05,1,0
61,Flowering,,,24–28°C,25,7,60,6,376.89,2.75,6.05,0,1
62,Flowering,,,24–28°C,24.91,7,60.09,6.03,380.67,2.75,6.05,0,1
63,Flowering,,,24–28°C,24.74,7,60.26,6.11,384.45,2.75,6.05,0,1
64,Flowering,,,24–28°C,24.56,7,60.44,6.18,388.24,2.75,6.05,0,1
65,Flowering,,,24–28°C,24.38,7,60.62,6.25,392.02,2.75,6.05,0,1
66,Flowering,,,24–28°C,24.2,7,60.8,6.32,395.8,2.75,6.05,0,1
67,Flowering,,,24–28°C,24.03,7,60.97,6.39,399.58,2.75,6.05,0,1
68,Flowering,,,24–28°C,23.85,7,61.15,6.46,403.36,2.75,6.05,0,1
69,Flowering,,,24–28°C,23.67,7,61.33,6.53,407.14,2.75,6.05,0,1
70,Flowering,,,24–28°C,23.5,7,61.5,6.6,410.92,2.75,6.05,0,1
71,Flowering,,,24–28°C,23.32,7,61.68,6.67,414.71,2.75,6.05,0,1
72,Flowering,,,24–28°C,23.14,7,61.86,6.74,418.49,2.75,6.05,0,1
