Day,Stage,Temperature (°C),Blue (450 nm),Green (%),Red (660 nm),Far-Red (730 nm),PPFD (µmol/m²/s),Target VPD (kPa),Max Humidity (%),Afternoon Temp (°C),Night Temp (°C),EC,PH,Veg,Fruit
1,Seedling,24–28°C,30,5,55,5,150,0.7,80,26,18,1.25,6.05,1,0
1.52,Seedling,24–28°C,30,5,55,5,153.95,0.7,80,26,18,1.25,6.05,1,0
2.04,Seedling,24–28°C,30,5,55,5,157.9,0.7,80,26,18,1.25,6.05,1,0
2.55,Seedling,24–28°C,30,5,55,5,161.84,0.7,80,26,18,1.25,6.05,1,0
3.07,Seedling,24–28°C,30,5,55,5,165.79,0.7,80,26,18,1.25,6.05,1,0
3.59,Seedling,24–28°C,30,5,55,5,169.73,0.7,80,26,18,1.25,6.05,1,0
4.11,Seedling,24–28°C,30,5,55,5,173.68,0.7,80,26,18,1.25,6.05,1,0
4.62,Seedling,24–28°C,30,5,55,5,177.63,0.7,80,26,18,1.25,6.05,1,0
5.14,Seedling,24–28°C,30,5,55,5,181.58,0.7,80,26,18,1.25,6.05,1,0
5.66,Seedling,24–28°C,30,5,55,5,185.53,0.7,80,26,18,1.25,6.05,1,0
6.18,Seedling,24–28°C,30,5,55,5,189.48,0.7,80,26,18,1.25,6.05,1,0
6.69,Seedling,24–28°C,30,5,55,5,193.42,0.7,80,26,18,1.25,6.05,1,0
7.21,Seedling,24–28°C,30,5,55,5,197.37,0.7,80,26,18,1.25,6.05,1,0
7.73,Seedling,24–28°C,30,5,55,5,201.32,0.7,80,26,18,1.25,6.05,1,0
8.25,Seedling,24–28°C,30,5,55,5,205.26,0.7,80,26,18,1.25,6.05,1,0
8.76,Seedling,24–28°C,30,5,55,5,209.21,0.7,80,26,18,1.25,6.05,1,0
9.28,Seedling,24–28°C,30,5,55,5,213.16,0.7,80,26,18,1.25,6.05,1,0
9.8,Seedling,24–28°C,30,5,55,5,217.1,0.7,80,26,18,1.25,6.05,1,0
10.32,Seedling,24–28°C,30,5,55,5,221.05,0.7,80,26,18,1.25,6.05,1,0
10.83,Seedling,24–28°C,30,5,55,5,225,0.7,80,26,18,1.25,6.05,1,0
11.35,Seedling,24–28°C,30,5,55,5,228.95,0.7,80,26,18,1.25,6.05,1,0
11.87,Seedling,24–28°C,30,5,55,5,232.9,0.7,80,26,18,1.25,6.05,1,0
12.39,Seedling,24–28°C,30,5,55,5,236.84,0.7,80,26,18,1.25,6.05,1,0
12.9,Seedling,24–28°C,30,5,55,5,240.79,0.7,80,26,18,1.25,6.05,1,0
13.42,Seedling,24–28°C,30,5,55,5,244.74,0.7,80,26,18,1.25,6.05,1,0
13.94,Seedling,24–28°C,30,5,55,5,248.68,0.7,80,26,18,1.25,6.05,1,0
14.46,Seedling,24–28°C,30,5,55,5,252.63,0.7,80,26,18,1.25,6.05,1,0
14.97,Vegetative,24–28°C,30,5,55,5,256.58,1,70,26,18,2.05,6.05,1,0
15.49,Vegetative,24–28°C,29.84,5,55.16,5.03,260.53,1,70,26,18,2.05,6.05,1,0
16.01,Vegetative,24–28°C,29.66,5,55.34,5.07,264.48,1,70,26,18,2.05,6.05,1,0
16.53,Vegetative,24–28°C,29.49,5,55.51,5.1,268.42,1,70,26,18,2.05,6.05,1,0
17.04,Vegetative,24–28°C,29.32,5,55.68,5.14,272.36,1,70,26,18,2.05,6.05,1,0
17.56,Vegetative,24–28°C,29.15,5,55.85,5.17,276.31,1,70,26,18,2.05,6.05,1,0
18.08,Vegetative,24–28°C,28.97,5.16,56.03,5.21,280.26,1,70,26,18,2.05,6.05,1,0
18.6,Vegetative,24–28°C,28.8,6.19,56.2,5.24,284.21,1,70,26,18,2.05,6.05,1,0
19.11,Vegetative,24–28°C,28.63,7,56.37,5.27,288.16,1,70,26,18,2.05,6.05,1,0
19.63,Vegetative,24–28°C,28.46,7,56.54,5.31,292.11,1,70,26,18,2.05,6.05,1,0
20.15,Vegetative,24–28°C,28.28,7,56.72,5.34,296.06,1,70,26,18,2.05,6.05,1,0
20.67,Vegetative,24–28°C,28.11,7,56.89,5.38,300,1,70,26,18,2.05,6.05,1,0
21.18,Vegetative,24–28°C,27.94,7,57.06,5.41,303.95,1,70,26,18,2.05,6.05,1,0
21.7,Vegetative,24–28°C,27.77,7,57.23,5.45,307.89,1,70,26,18,2.05,6.05,1,0
22.22,Vegetative,24–28°C,27.59,7,57.41,5.48,311.84,1,70,26,18,2.05,6.05,1,0
22.74,Vegetative,24–28°C,27.42,7,57.58,5.52,315.79,1,70,26,18,2.05,6.05,1,0
23.25,Vegetative,24–28°C,27.25,7,57.75,5.55,319.74,1,70,26,18,2.05,6.05,1,0
23.77,Vegetative,24–28°C,27.08,7,57.92,5.58,323.68,1,70,26,18,2.05,6.05,1,0
24.29,Vegetative,24–28°C,26.9,7,58.1,5.62,327.63,1,70,26,18,2.05,6.05,1,0
24.81,Vegetative,24–28°C,26.73,7,58.27,5.65,331.58,1,70,26,18,2.05,6.05,1,0
25.32,Vegetative,24–28°C,26.56,7,58.44,5.69,335.53,1,70,26,18,2.05,6.05,1,0
25.84,Vegetative,24–28°C,26.39,7,58.61,5.72,339.48,1,70,26,18,2.05,6.05,1,0
26.36,Vegetative,24–28°C,26.21,7,58.79,5.76,343.42,1,70,26,18,2.05,6.05,1,0
26.88,Vegetative,24–28°C,26.04,7,58.96,5.79,347.37,1,70,26,18,2.05,6.05,1,0
27.39,Vegetative,24–28°C,25.87,7,59.13,5.83,351.32,1,70,26,18,2.05,6.05,1,0
27.91,Vegetative,24–28°C,25.7,7,59.3,5.86,355.26,1,70,26,18,2.05,6.05,1,0
28.43,Vegetative,24–28°C,25.52,7,59.48,5.9,359.21,1,70,26,18,2.05,6.05,1,0
28.95,Vegetative,24–28°C,25.35,7,59.65,5.93,363.16,1,70,26,18,2.05,6.05,1,0
29.46,Vegetative,24–28°C,25.18,7,59.82,5.96,367.11,1,70,26,18,2.05,6.05,1,0
29.98,Vegetative,24–28°C,25.01,7,59.99,6,371.06,1,70,26,18,2.05,6.05,1,0
30.5,Flowering,24–28°C,25,7,60,6,375,1.2,65,26,18,2.75,6.05,0,1
31.02,Flowering,24–28°C,24.99,7,60.01,6,378.94,1.2,65,26,18,2.75,6.05,0,1
31.54,Flowering,24–28°C,24.81,7,60.19,6.08,382.89,1.2,65,26,18,2.75,6.05,0,1
32.05,Flowering,24–28°C,24.62,7,60.38,6.15,386.84,1.2,65,26,18,2.75,6.05,0,1
32.57,Flowering,24–28°C,24.44,7,60.56,6.22,390.79,1.2,65,26,18,2.75,6.05,0,1
33.09,Flowering,24–28°C,24.25,7,60.75,6.3,394.74,1.2,65,26,18,2.75,6.05,0,1
33.61,Flowering,24–28°C,24.07,7,60.93,6.37,398.68,1.2,65,26,18,2.75,6.05,0,1
34.12,Flowering,24–28°C,23.88,7,61.12,6.45,402.63,1.2,65,26,18,2.75,6.05,0,1
34.64,Flowering,24–28°C,23.7,7,61.3,6.52,406.58,1.2,65,26,18,2.75,6.05,0,1
35.16,Flowering,24–28°C,23.52,7,61.48,6.59,410.52,1.2,65,26,18,2.75,6.05,0,1
35.68,Flowering,24–28°C,23.33,7,61.67,6.67,414.47,1.2,65,26,18,2.75,6.05,0,1
36.19,Flowering,24–28°C,23.15,7,61.85,6.74,418.42,1.2,65,26,18,2.75,6.05,0,1
36.71,Flowering,24–28°C,22.96,7,62.04,6.82,422.37,1.2,65,26,18,2.75,6.05,0,1
37.23,Flowering,24–28°C,22.78,7,62.22,6.89,426.32,1.2,65,26,18,2.75,6.05,0,1
37.75,Flowering,24–28°C,22.59,7,62.41,6.96,430.26,1.2,65,26,18,2.75,6.05,0,1
38.26,Flowering,24–28°C,22.41,7,62.59,7.04,434.21,1.2,65,26,18,2.75,6.05,0,1
38.78,Flowering,24–28°C,22.22,7,62.78,7.11,438.16,1.2,65,26,18,2.75,6.05,0,1
39.3,Flowering,24–28°C,22.04,7,62.96,7.19,442.11,1.2,65,26,18,2.75,6.05,0,1
39.82,Flowering,24–28°C,21.85,7,63.15,7.26,446.05,1.2,65,26,18,2.75,6.05,0,1
40.33,Flowering,24–28°C,21.67,7,63.33,7.33,450,1.2,65,26,18,2.75,6.05,0,1
40.85,Flowering,24–28°C,21.48,7,63.52,7.41,453.94,1.2,65,26,18,2.75,6.05,0,1
41.37,Flowering,24–28°C,21.3,7,63.7,7.48,457.89,1.2,65,26,18,2.75,6.05,0,1
41.89,Flowering,24–28°C,21.11,7,63.89,7.56,461.84,1.2,65,26,18,2.75,6.05,0,1
42.4,Flowering,24–28°C,20.93,7,64.07,7.63,465.79,1.2,65,26,18,2.75,6.05,0,1
42.92,Flowering,24–28°C,20.74,7,64.26,7.7,469.74,1.2,65,26,18,2.75,6.05,0,1
43.44,Flowering,24–28°C,20.56,7,64.44,7.78,473.69,1.2,65,26,18,2.75,6.05,0,1
43.96,Flowering,24–28°C,20.37,7,64.63,7.85,477.64,1.2,65,26,18,2.75,6.05,0,1
44.47,Flowering,24–28°C,20.19,7,64.81,7.92,481.58,1.2,65,26,18,2.75,6.05,0,1
44.99,Flowering,24–28°C,20,7,65,8,485.52,1.2,65,26,18,2.75,6.05,0,1
45.51,Fruiting,24–28°C,20,7,65,8,489.47,1.2,65,26,18,3,6.05,0,1
46.03,Fruiting,24–28°C,19.99,7,65,8,493.42,1.2,65,26,18,3,6.05,0,1
46.54,Fruiting,24–28°C,19.81,7,65,8.08,497.37,1.2,65,26,18,3,6.05,0,1
47.06,Fruiting,24–28°C,19.62,7,65,8.15,501.32,1.2,65,26,18,3,6.05,0,1
47.58,Fruiting,24–28°C,19.44,7,65,8.23,505.26,1.2,65,26,18,3,6.05,0,1
48.1,Fruiting,24–28°C,19.25,7,65,8.3,509.21,1.2,65,26,18,3,6.05,0,1
48.61,Fruiting,24–28°C,19.07,7,65,8.37,513.16,1.2,65,26,18,3,6.05,0,1
49.13,Fruiting,24–28°C,18.88,7,65,8.45,517.1,1.2,65,26,18,3,6.05,0,1
49.65,Fruiting,24–28°C,18.7,7,65,8.52,521.05,1.2,65,26,18,3,6.05,0,1
50.17,Fruiting,24–28°C,18.51,7,65,8.6,525,1.2,65,26,18,3,6.05,0,1
50.68,Fruiting,24–28°C,18.33,7,65,8.67,528.95,1.2,65,26,18,3,6.05,0,1
51.2,Fruiting,24–28°C,18.14,7,65,8.74,532.9,1.2,65,26,18,3,6.05,0,1
51.72,Fruiting,24–28°C,17.96,7,65,8.82,536.84,1.2,65,26,18,3,6.05,0,1
52.24,Fruiting,24–28°C,17.77,7,65,8.89,540.79,1.2,65,26,18,3,6.05,0,1
52.75,Fruiting,24–28°C,17.59,7,65,8.96,544.74,1.2,65,26,18,3,6.05,0,1
53.27,Fruiting,24–28°C,17.4,7,65,9.04,548.68,1.2,65,26,18,3,6.05,0,1
53.79,Fruiting,24–28°C,17.22,7,65,9.11,552.63,1.2,65,26,18,3,6.05,0,1
54.31,Fruiting,24–28°C,17.03,7.92,65,9.19,556.58,1.2,65,26,18,3,6.05,0,1
54.82,Fruiting,24–28°C,16.85,9.47,65,9.26,560.52,1.2,65,26,18,3,6.05,0,1
55.34,Fruiting,24–28°C,16.66,10,65,9.33,564.47,1.2,65,26,18,3,6.05,0,1
55.86,Fruiting,24–28°C,16.48,10,65,9.41,568.42,1.2,65,26,18,3,6.05,0,1
56.38,Fruiting,24–28°C,16.29,10,65,9.48,572.37,1.2,65,26,18,3,6.05,0,1
56.89,Fruiting,24–28°C,16.11,10,65,9.56,576.32,1.2,65,26,18,3,6.05,0,1
57.41,Fruiting,24–28°C,15.92,10,65,9.63,580.27,1.2,65,26,18,3,6.05,0,1
57.93,Fruiting,24–28°C,15.74,10,65,9.7,584.21,1.2,65,26,18,3,6.05,0,1
58.45,Fruiting,24–28°C,15.55,10,65,9.78,588.16,1.2,65,26,18,3,6.05,0,1
58.96,Fruiting,24–28°C,15.37,10,65,9.85,592.1,1.2,65,26,18,3,6.05,0,1
59.48,Fruiting,24–28°C,15.18,10,65,9.93,596.05,1.2,65,26,18,3,6.05,0,1
60,Fruiting,24–28°C,15,10,65,10,600,1.2,65,26,18,3,6.05,0,1
