Day,Stage,Temperature (°C),Blue (450 nm),Green (%),Red (660 nm),Far-Red (730 nm),PPFD (µmol/m²/s),Target VPD (kPa),Max Humidity (%),Afternoon Temp (°C),Night Temp (°C),EC,PH,Veg,Fruit
1,Seedling,20–24°C,25,5,40,1,200,0.6,85,20,14,1,6,1,0
2.5,Seedling,20–24°C,25,5,40,1,200,0.6,85,20,14,1,6,1,0
4,Seedling,20–24°C,25,5,40,1,200,0.6,85,20,14,1,6,1,0
5.5,Seedling,20–24°C,25,5,40,1,200,0.6,85,20,14,1,6,1,0
7,Seedling,20–24°C,25,5,40,1,200,0.6,85,20,14,1,6,1,0
8.5,Seedling,20–24°C,25,5,40,1,200,0.6,85,20,14,1,6,1,0
10,Seedling,20–24°C,25,5,40,1,200,0.6,85,20,14,1,6,1,0
11.5,Seedling,20–24°C,25,6,40,1,200,0.6,85,20,14,1,6,1,0
13,Seedling,20–24°C,25,7,40,1,200,0.6,85,20,14,1,6,1,0
14.5,Seedling,20–24°C,25,7,40,1,200,0.6,85,20,14,1,6,1,0
16,Seedling,20–24°C,25,7,40,1,200,0.6,85,20,14,1,6,1,0
17.5,Seedling,20–24°C,25,7,40,1,200,0.6,85,20,14,1,6,1,0
19,Seedling,20–24°C,25,7,40,1,200,0.6,85,20,14,1,6,1,0
20.5,Seedling,20–24°C,25,7,40,1,200,0.6,85,20,14,1,6,1,0
22,Seedling,20–24°C,25,7,40,1,200,0.6,85,20,14,1,6,1,0
23.5,Seedling,20–24°C,25,7,40,1,200,0.6,85,20,14,1,6,1,0
25,Seedling,20–24°C,25,7,40,1,200,0.6,85,20,14,1,6,1,0
26.5,Seedling,20–24°C,25,7,40,1,200,0.6,85,20,14,1,6,1,0
28,Seedling,20–24°C,25,7,40,1,200,0.6,85,20,14,1,6,1,0
29.5,Seedling,20–24°C,25,7,40,1,200,0.6,85,20,14,1,6,1,0
31,Seedling,20–24°C,25,7,40,1,200,0.6,85,20,14,1,6,1,0
32.5,Seedling,20–24°C,25,10,40,1,200,0.6,85,20,14,1,6,1,0
34,Seedling,20–24°C,25,10,40,1,200,0.6,85,20,14,1,6,1,0
35.5,Seedling,20–24°C,25,10,40,1,200,0.6,85,20,14,1,6,1,0
37,Seedling,20–24°C,25,10,40,1,200,0.6,85,20,14,1,6,1,0
