Table 1
Day,Stage,DLI Target (mol/m²/d),Temp Target (°C),Blue (%),Green (%),Red (%),Far-Red (%),PPFD Target (µmol/m²/s),VPD Target (kPa),Max Humidity (%),EC Target (dS/m),pH Target,Veg,Fruit
1,Seedling,10,26,30,10,55,5,154.32,1.05,65,1.2,6.1,1,0
1.48,Seedling,10.14,26,30,10,55,5,156.53,1.05,65,1.21,6.1,1,0
1.95,Seedling,10.29,26,30,10,55,5,158.73,1.06,65,1.23,6.1,1,0
2.43,Seedling,10.43,26,30,10,55,5,160.93,1.06,65,1.24,6.1,1,0
2.9,Seedling,10.57,26,30,10,55,5,163.14,1.06,65,1.26,6.1,1,0
3.38,Seedling,10.71,26,30,10,55,5,165.34,1.07,65,1.27,6.1,1,0
3.85,Seedling,10.86,26,30,10,55,5,167.55,1.07,65,1.29,6.1,1,0
4.33,Seedling,11,26,30,10,55,5,169.75,1.07,65,1.3,6.1,1,0
4.81,Seedling,11.14,26,30,10,55,5,171.96,1.08,65,1.31,6.1,1,0
5.28,Seedling,11.29,26,30,10,55,5,174.16,1.08,65,1.33,6.1,1,0
5.76,Seedling,11.43,26,30,10,55,5,176.37,1.09,65,1.34,6.1,1,0
6.23,Seedling,11.57,26,30,10,55,5,178.57,1.09,65,1.36,6.1,1,0
6.71,Seedling,11.71,26,30,10,55,5,180.78,1.09,65,1.37,6.1,1,0
7.19,Seedling,11.86,26,30,10,55,5,182.98,1.1,65,1.39,6.1,1,0
7.66,Seedling,12,26,30,10,55,5,185.19,1.1,65,1.4,6.1,1,0
8.14,Seedling,12.14,26,30,10,55,5,187.39,1.1,65,1.41,6.1,1,0
8.61,Seedling,12.29,26,30,10,55,5,189.59,1.11,65,1.43,6.1,1,0
9.09,Seedling,12.43,26,30,10,55,5,191.8,1.11,65,1.44,6.1,1,0
9.56,Seedling,12.57,26,30,10,55,5,194,1.11,65,1.46,6.1,1,0
10.04,Seedling,12.71,26,30,10,55,5,196.21,1.12,65,1.47,6.1,1,0
10.52,Seedling,12.86,26,30,10,55,5,198.41,1.12,65,1.49,6.1,1,0
10.99,Seedling,13,26,30,10,55,5,200.62,1.12,65,1.5,6.1,1,0
11.47,Seedling,13.14,26,30,10,55,5,202.82,1.13,65,1.51,6.1,1,0
11.94,Seedling,13.29,26,30,10,55,5,205.03,1.13,65,1.53,6.1,1,0
12.42,Seedling,13.43,26,30,10,55,5,207.23,1.14,65,1.54,6.1,1,0
12.9,Seedling,13.57,26,30,10,55,5,209.44,1.14,65,1.56,6.1,1,0
13.37,Seedling,13.71,26,30,10,55,5,211.64,1.14,65,1.57,6.1,1,0
