Table 1
Day,Stage,DLI Target (mol/m²/d),Temp Target (°C),Blue (%),Green (%),Red (%),Far-Red (%),PPFD Target (µmol/m²/s),VPD Target (kPa),Max Humidity (%),EC Target (dS/m),pH Target,Veg,Fruit
1,Seedling,8,20,45,10,45,5,138.89,0.9,65,1,5.8,1,0
2,Seedling,8.27,20,45,10,45,5,143.52,0.9,65,1.01,5.8,1,0
3,Seedling,8.53,20,45,10,45,5,148.15,0.91,65,1.03,5.8,1,0
4,Seedling,8.8,20,45,10,45,5,152.78,0.91,65,1.04,5.8,1,0
5,Seedling,9.07,20,45,10,40.17,4.83,157.41,0.91,65,1.05,5.8,1,0
6,Seedling,9.33,20,45,10,40,5,162.04,0.92,65,1.07,5.8,1,0
7,Seedling,9.6,20,45,10,40,5,166.67,0.92,65,1.08,5.8,1,0
8,Seedling,9.87,20,45,10,40,5,171.3,0.92,65,1.09,5.8,1,0
9,Seedling,10.13,20,45,10,40,5,175.93,0.93,65,1.11,5.8,1,0
10,Seedling,10.4,20,45,10,40,5,180.56,0.93,65,1.12,5.8,1,0
11,Seedling,10.67,20,45,10,40,5,185.19,0.93,65,1.13,5.8,1,0
12,Seedling,10.93,20,45,10,40,5,189.81,0.94,65,1.15,5.8,1,0
13,Seedling,11.2,20,45,10,40,5,194.44,0.94,65,1.16,5.8,1,0
14,Seedling,11.47,20,45,10,40,5,199.07,0.94,65,1.17,5.8,1,0
15,Seedling,11.73,20,45,10,40,5,203.7,0.95,65,1.19,5.8,1,0
16,Seedling,11.73,20,45,10,40,5,203.7,0.95,65,1.19,5.8,1,0
17,Seedling,12,20,35.69,16.21,43.1,5,208.33,0.95,65,1.2,5.8,1,0
18,Vegetative,12,20,30.33,19.34,45.33,5,208.33,0.95,65,1.4,5.8,1,0
19,Seedling,11.73,20,45,10,40,5,203.7,0.95,65,1.19,5.8,1,0
20,Seedling,12,20,35.69,16.21,43.1,5,208.33,0.95,65,1.2,5.8,1,0
21,Seedling,12,20,35.69,16.21,43.1,5,208.33,0.95,65,1.2,5.8,1,0
22,Vegetative,12,20,30.33,19.34,45.33,5,208.33,0.95,65,1.4,5.8,1,0
23,Vegetative,12.31,20,30.81,18.38,45.81,5,213.68,0.96,65,1.43,5.8,1,0
24,Vegetative,12.62,20,31.29,17.42,46.29,5,219.02,0.97,65,1.46,5.8,1,0
25,Vegetative,12.92,20,31.76,16.48,46.76,5,224.36,0.97,65,1.49,5.8,1,0
26,Vegetative,13.23,20,32.24,15.52,47.24,5,229.7,0.98,65,1.52,5.8,1,0
27,Vegetative,13.54,20,32.72,14.56,47.72,5,235.04,0.99,65,1.55,5.8,1,0
28,Vegetative,13.85,20,33.2,13.6,48.2,5,240.38,1,65,1.58,5.8,1,0
29,Vegetative,14.15,20,33.67,12.66,48.67,5,245.73,1,65,1.62,5.8,1,0
30,Vegetative,14.46,20,34.15,11.7,49.15,5,251.07,1.01,65,1.65,5.8,1,0
31,Vegetative,14.77,20,34.63,10.74,49.63,5,256.41,1.02,65,1.68,5.8,1,0
32,Vegetative,15.08,20,35,12.76,47.24,5,261.75,1.03,65,1.71,5.8,1,0
33,Vegetative,15.38,20,35.43,19.14,40.43,5,267.09,1.03,65,1.74,5.8,1,0
34,Vegetative,15.69,20,36.47,17.06,41.47,5,272.44,1.04,65,1.77,5.8,1,0
35,Vegetative,16,20,37.5,20,42.5,5,277.78,1.05,65,1.8,5.8,1,0
