Table 1
Day,Stage,DLI Target (mol/m²/d),Temp Target (°C),Blue (%),Green (%),Red (%),Far-Red (%),PPFD Target (µmol/m²/s),VPD Target (kPa),Max Humidity (%),EC Target (dS/m),pH Target,Veg,Fruit
1,Seedling,8,21,45,10,45,0,138.89,0.95,65,1,5.8,1,0
2,Seedling,8.31,21,45,10,45,0,144.23,0.95,65,1.02,5.8,1,0
3,Seedling,8.62,21,45,10,45,0,149.57,0.96,65,1.03,5.8,1,0
4,Seedling,8.92,21,45,10,45,0,154.91,0.96,65,1.05,5.8,1,0
5,Seedling,9.23,21,43.52,11.48,43.52,1.48,160.26,0.97,65,1.06,5.8,1,0
6,Seedling,9.54,21,40,15,40,5,165.6,0.97,65,1.08,5.8,1,0
7,Seedling,9.85,21,40,15,40,5,170.94,0.97,65,1.09,5.8,1,0
8,Seedling,10.15,21,40,15,40,5,176.28,0.98,65,1.11,5.8,1,0
9,Seedling,10.46,21,40,15,40,5,181.62,0.98,65,1.12,5.8,1,0
10,Seedling,10.77,21,40,15,40,5,186.97,0.98,65,1.14,5.8,1,0
11,Seedling,11.08,21,40,15,40,5,192.31,0.99,65,1.15,5.8,1,0
12,Seedling,11.38,21,40,15,40,5,197.65,0.99,65,1.17,5.8,1,0
13,Seedling,11.69,21,40,15,40,5,202.99,1,65,1.18,5.8,1,0
14,Seedling,12,21,40,15,40,5,208.33,1,65,1.2,5.8,1,0
15,Vegetative,14,21,35,10,50,5,243.06,1.05,65,1.6,5.8,1,0
16,Vegetative,14.46,21,35,10,50,5,251.07,1.06,65,1.63,5.8,1,0
17,Vegetative,14.92,21,35,10,50,5,259.08,1.07,65,1.66,5.8,1,0
18,Vegetative,15.38,21,35,10,50,5,267.09,1.07,65,1.69,5.8,1,0
19,Vegetative,15.85,21,35,10,50,5,275.11,1.08,65,1.72,5.8,1,0
20,Vegetative,16.31,21,35,10,50,5,283.12,1.09,65,1.75,5.8,1,0
21,Vegetative,16.77,21,35,10,50,5,291.13,1.1,65,1.78,5.8,1,0
22,Vegetative,17.23,21,35,10,50,5,299.15,1.1,65,1.82,5.8,1,0
23,Vegetative,17.69,21,38.15,10,46.85,5,307.16,1.11,65,1.85,5.8,1,0
24,Vegetative,18.15,21,40,10,45,5,315.17,1.12,65,1.88,5.8,1,0
25,Vegetative,18.62,21,40,10,45,5,323.18,1.13,65,1.91,5.8,1,0
26,Vegetative,19.08,21,40,10,45,5,331.2,1.13,65,1.94,5.8,1,0
27,Vegetative,19.54,21,40,10,45,5,339.21,1.14,65,1.97,5.8,1,0
28,Vegetative,20,21,40,10,45,5,347.22,1.15,65,2,5.8,1,0
