Table 1
Day,Stage,DLI Target (mol/m²/d),Temp Target (°C),Blue (%),Green (%),Red (%),Far-Red (%),PPFD Target (µmol/m²/s),VPD Target (kPa),Max Humidity (%),EC Target (dS/m),pH Target,Veg,Fruit
1,Seedling,8,20,45,10,45,0,138.89,0.9,65,1,5.8,1,0
2,Seedling,8.25,20,45,10,45,0,143.23,0.9,65,1.01,5.8,1,0
3,Seedling,8.5,20,45,10,45,0,147.57,0.91,65,1.02,5.8,1,0
4,Seedling,8.75,20,45,10,45,0,151.91,0.91,65,1.04,5.8,1,0
5,Seedling,9,20,45,10,41.77,3.23,156.25,0.91,65,1.05,5.8,1,0
6,Seedling,9.25,20,45,10,40,5,160.59,0.92,65,1.06,5.8,1,0
7,Seedling,9.5,20,45,10,40,5,164.93,0.92,65,1.07,5.8,1,0
8,Seedling,9.75,20,45,10,40,5,169.27,0.92,65,1.09,5.8,1,0
9,Seedling,10,20,45,10,40,5,173.61,0.93,65,1.1,5.8,1,0
10,Seedling,10.25,20,45,10,40,5,177.95,0.93,65,1.11,5.8,1,0
11,Seedling,10.5,20,45,10,40,5,182.29,0.93,65,1.12,5.8,1,0
12,Seedling,10.75,20,45,10,40,5,186.63,0.93,65,1.14,5.8,1,0
13,Seedling,11,20,45,10,40,5,190.97,0.94,65,1.15,5.8,1,0
14,Seedling,11.25,20,45,10,40,5,195.31,0.94,65,1.16,5.8,1,0
15,Seedling,11.5,20,45,10,40,5,199.65,0.94,65,1.18,5.8,1,0
16,Seedling,11.75,20,45,10,40,5,203.99,0.95,65,1.19,5.8,1,0
17,Seedling,12,20,36.29,15.81,42.9,5,208.33,0.95,65,1.2,5.8,1,0
18,Vegetative,12,20,30.29,19.42,45.29,5,208.33,0.95,65,1.4,5.8,1,0
19,Vegetative,12.29,20,30.73,18.54,45.73,5,213.29,0.96,65,1.43,5.8,1,0
20,Vegetative,12.57,20,31.18,17.64,46.18,5,218.25,0.96,65,1.46,5.8,1,0
21,Vegetative,12.86,20,31.63,16.74,46.63,5,223.21,0.97,65,1.49,5.8,1,0
22,Vegetative,13.14,20,32.07,15.86,47.07,5,228.17,0.98,65,1.51,5.8,1,0
23,Vegetative,13.43,20,32.52,14.96,47.52,5,233.13,0.99,65,1.54,5.8,1,0
24,Vegetative,13.71,20,32.97,14.06,47.97,5,238.1,0.99,65,1.57,5.8,1,0
25,Vegetative,14,20,33.41,13.18,48.41,5,243.06,1,65,1.6,5.8,1,0
26,Vegetative,14.29,20,33.86,12.28,48.86,5,248.02,1.01,65,1.63,5.8,1,0
27,Vegetative,14.57,20,34.31,11.38,49.31,5,252.98,1.01,65,1.66,5.8,1,0
28,Vegetative,14.86,20,34.75,10.5,49.75,5,257.94,1.02,65,1.69,5.8,1,0
29,Vegetative,15.14,20,35,15.16,44.84,5,262.9,1.03,65,1.71,5.8,1,0
30,Vegetative,15.43,20,35.56,18.88,40.56,5,267.86,1.04,65,1.74,5.8,1,0
31,Vegetative,15.71,20,36.53,16.94,41.53,5,272.82,1.04,65,1.77,5.8,1,0
32,Vegetative,16,20,37.5,20,42.5,0,277.78,1.05,65,1.8,5.8,1,0
