Table 1
Day,Stage,DLI Target (mol/m²/d),Temp Target (°C),Blue (%),Green (%),Red (%),Far-Red (%),PPFD Target (µmol/m²/s),VPD Target (kPa),Max Humidity (%),EC Target (dS/m),pH Target,Veg,Fruit
1,Seedling,8,19,25,34,40,1,138.89,0.9,65,1,5.8,1,0
2,Seedling,8.15,19,25,34,40,1,141.56,0.9,65,1.01,5.8,1,0
3,Seedling,8.31,19,25,34,40,1,144.23,0.9,65,1.02,5.8,1,0
4,Seedling,8.46,19,25,34,40,1,146.9,0.91,65,1.02,5.8,1,0
5,Seedling,8.62,19,25,34,40,1,149.57,0.91,65,1.03,5.8,1,0
6,Seedling,8.77,19,25,34,40,1,152.24,0.91,65,1.04,5.8,1,0
7,Seedling,8.92,19,25,34,40,1,154.91,0.91,65,1.05,5.8,1,0
8,Seedling,9.08,19,25,34,40,1,157.59,0.91,65,1.05,5.8,1,0
9,Seedling,9.23,19,25,34,40,1,160.26,0.92,65,1.06,5.8,1,0
10,Seedling,9.38,19,25,34,40,1,162.93,0.92,65,1.07,5.8,1,0
11,Seedling,9.54,19,25,34,40,1,165.6,0.92,65,1.08,5.8,1,0
12,Seedling,9.69,19,25,34,40,1,168.27,0.92,65,1.08,5.8,1,0
13,Seedling,9.85,19,25,34,40,1,170.94,0.92,65,1.09,5.8,1,0
14,Seedling,10,19,25,34,40,1,173.61,0.93,65,1.1,5.8,1,0
15,Seedling,10.15,19,25,34,40,1,176.28,0.93,65,1.11,5.8,1,0
16,Seedling,10.31,19,25,34,40,1,178.95,0.93,65,1.12,5.8,1,0
17,Seedling,10.46,19,25,34,40,1,181.62,0.93,65,1.12,5.8,1,0
18,Seedling,10.62,19,25,34,40,1,184.29,0.93,65,1.13,5.8,1,0
19,Seedling,10.77,19,25,34,40,1,186.97,0.93,65,1.14,5.8,1,0
20,Seedling,10.92,19,25,34,40,1,189.64,0.94,65,1.15,5.8,1,0
21,Seedling,11.08,19,25,34,40,1,192.31,0.94,65,1.15,5.8,1,0
22,Seedling,11.23,19,25,34,40,1,194.98,0.94,65,1.16,5.8,1,0
23,Seedling,11.38,19,25,34,40,1,197.65,0.94,65,1.17,5.8,1,0
24,Seedling,11.54,19,25,34,40,1,200.32,0.94,65,1.18,5.8,1,0
25,Seedling,11.69,19,25,34,40,1,202.99,0.95,65,1.18,5.8,1,0
26,Seedling,11.85,19,25,34,40,1,205.66,0.95,65,1.19,5.8,1,0
27,Seedling,12,19,25,34,40,1,208.33,0.95,65,1.2,5.8,1,0
