Table 1
Day,Stage,DLI Target (mol/m²/d),Temp Target (°C),Blue (%),Green (%),Red (%),Far-Red (%),PPFD Target (µmol/m²/s),VPD Target (kPa),Max Humidity (%),EC Target (dS/m),pH Target,Veg,Fruit
1,Seedling,8,21,45,10,45,0,138.89,0.95,65,1,5.8,1,0
2,Seedling,8.27,21,45,10,45,0,143.52,0.95,65,1.01,5.8,1,0
3,Seedling,8.53,21,45,10,45,0,148.15,0.96,65,1.03,5.8,1,0
4,Seedling,8.8,21,45,10,45,0,152.78,0.96,65,1.04,5.8,1,0
5,Seedling,9.07,21,45,10,45,0,157.41,0.96,65,1.05,5.8,1,0
6,Seedling,9.33,21,41.61,13.39,41.61,3.39,162.04,0.97,65,1.07,5.8,1,0
7,Seedling,9.6,21,40,15,40,5,166.67,0.97,65,1.08,5.8,1,0
8,Seedling,9.87,21,40,15,40,5,171.3,0.97,65,1.09,5.8,1,0
9,Seedling,10.13,21,40,15,40,5,175.93,0.98,65,1.11,5.8,1,0
10,Seedling,10.4,21,40,15,40,5,180.56,0.98,65,1.12,5.8,1,0
11,Seedling,10.67,21,40,15,40,5,185.19,0.98,65,1.13,5.8,1,0
12,Seedling,10.93,21,40,15,40,5,189.81,0.99,65,1.15,5.8,1,0
13,Seedling,11.2,21,40,15,40,5,194.44,0.99,65,1.16,5.8,1,0
14,Seedling,11.47,21,40,15,40,5,199.07,0.99,65,1.17,5.8,1,0
15,Seedling,11.73,21,40,15,40,5,203.7,1,65,1.19,5.8,1,0
16,Seedling,12,21,39.84,14.84,40.32,5,208.33,1,65,1.2,5.8,1,0
17,Vegetative,14,21,35.16,10.16,49.68,5,243.06,1.05,65,1.6,5.8,1,0
18,Vegetative,14.4,21,35,10,50,5,250,1.06,65,1.63,5.8,1,0
19,Vegetative,14.8,21,35,10,50,5,256.94,1.06,65,1.65,5.8,1,0
20,Vegetative,15.2,21,35,10,50,5,263.89,1.07,65,1.68,5.8,1,0
21,Vegetative,15.6,21,35,10,50,5,270.83,1.08,65,1.71,5.8,1,0
22,Vegetative,16,21,35,10,50,5,277.78,1.08,65,1.73,5.8,1,0
23,Vegetative,16.4,21,35,10,50,5,284.72,1.09,65,1.76,5.8,1,0
24,Vegetative,16.8,21,35,10,50,5,291.67,1.1,65,1.79,5.8,1,0
25,Vegetative,17.2,21,35,10,50,5,298.61,1.1,65,1.81,5.8,1,0
26,Vegetative,17.6,21,36.94,10,48.06,5,305.56,1.11,65,1.84,5.8,1,0
27,Vegetative,18,21,40,10,45,5,312.5,1.12,65,1.87,5.8,1,0
28,Vegetative,18.4,21,40,10,45,5,319.44,1.12,65,1.89,5.8,1,0
29,Vegetative,18.8,21,40,10,45,5,326.39,1.13,65,1.92,5.8,1,0
30,Vegetative,19.2,21,40,10,45,5,333.33,1.14,65,1.95,5.8,1,0
31,Vegetative,19.6,21,40,10,45,5,340.28,1.14,65,1.97,5.8,1,0
32,Vegetative,20,21,40,10,45,5,347.22,1.15,65,2,5.8,1,0
