Table 1
Day,Stage,DLI Target (mol/m2/d),Temp Target (C),PPFD (umol/m2/s),Blue %,Green %,Red %,Far Red %,VPD (kPa),Max Humidity %,EC (mS/cm),pH,Veg,Fruit
1,Blackout,0,21,0,0,0,0,0,0.6,80,0,6.0,1,0
2,Blackout,0,21,0,0,0,0,0,0.6,80,0,6.0,1,0
3,Blackout,0,21,0,0,0,0,0,0.6,80,0,6.0,1,0
4,Blackout,0,21,0,0,0,0,0,0.6,80,0,6.0,1,0
5,Growing,10,21,150,40,15,40,5,0.8,65,0,6.0,1,0
6,Growing,10,21,150,40,15,40,5,0.8,65,0,6.0,1,0
7,Growing,10,21,150,40,15,40,5,0.8,65,0,6.0,1,0
8,Growing,10,21,150,40,15,40,5,0.8,65,0,6.0,1,0
9,Growing,10,21,150,40,15,40,5,0.8,65,0,6.0,1,0
10,Growing,10,21,150,40,15,40,5,0.8,65,0,6.0,1,0
11,Growing,10,21,150,40,15,40,5,0.8,65,0,6.0,1,0
12,Growing,10,21,150,40,15,40,5,0.8,65,0,6.0,1,0
13,Growing,10,21,150,40,15,40,5,0.8,65,0,6.0,1,0
14,Growing,10,21,150,40,15,40,5,0.8,65,0,6.0,1,0
