Table 1
Day,Stage,DLI Target (mol/m²/d),Temp Target (°C),Blue (%),Green (%),Red (%),Far-Red (%),PPFD Target (µmol/m²/s),VPD Target (kPa),Max Humidity (%),EC Target (dS/m),pH Target,Veg,Fruit
1,Seedling,8,21,45,10,45,0,138.89,0.95,65,1,5.8,1,0
2,Seedling,8.14,21,45,10,45,0,141.28,0.95,65,1.01,5.8,1,0
3,Seedling,8.28,21,45,10,45,0,143.68,0.95,65,1.01,5.8,1,0
4,Seedling,8.41,21,45,10,45,0,146.07,0.96,65,1.02,5.8,1,0
5,Seedling,8.55,21,45,10,45,0,148.47,0.96,65,1.03,5.8,1,0
6,Seedling,8.69,21,45,10,45,0,150.86,0.96,65,1.03,5.8,1,0
7,Seedling,8.83,21,45,10,45,0,153.26,0.96,65,1.04,5.8,1,0
8,Seedling,8.97,21,45,10,45,0,155.65,0.96,65,1.05,5.8,1,0
9,Seedling,9.1,21,45,10,45,0,158.05,0.96,65,1.06,5.8,1,0
10,Seedling,9.24,21,42.88,12.12,42.88,2.12,160.44,0.97,65,1.06,5.8,1,0
11,Seedling,9.38,21,40.42,14.58,40.42,4.58,162.84,0.97,65,1.07,5.8,1,0
12,Seedling,9.52,21,40,15,40,5,165.23,0.97,65,1.08,5.8,1,0
13,Seedling,9.66,21,40,15,40,5,167.62,0.97,65,1.08,5.8,1,0
14,Seedling,9.79,21,40,15,40,5,170.02,0.97,65,1.09,5.8,1,0
15,Seedling,9.93,21,40,15,40,5,172.41,0.97,65,1.1,5.8,1,0
16,Seedling,10.07,21,40,15,40,5,174.81,0.98,65,1.1,5.8,1,0
17,Seedling,10.21,21,40,15,40,5,177.2,0.98,65,1.11,5.8,1,0
18,Seedling,10.34,21,40,15,40,5,179.6,0.98,65,1.12,5.8,1,0
19,Seedling,10.48,21,40,15,40,5,181.99,0.98,65,1.12,5.8,1,0
20,Seedling,10.62,21,40,15,40,5,184.39,0.98,65,1.13,5.8,1,0
21,Seedling,10.76,21,40,15,40,5,186.78,0.98,65,1.14,5.8,1,0
22,Seedling,10.9,21,40,15,40,5,189.18,0.99,65,1.14,5.8,1,0
23,Seedling,11.03,21,40,15,40,5,191.57,0.99,65,1.15,5.8,1,0
24,Seedling,11.17,21,40,15,40,5,193.97,0.99,65,1.16,5.8,1,0
25,Seedling,11.31,21,40,15,40,5,196.36,0.99,65,1.17,5.8,1,0
26,Seedling,11.45,21,40,15,40,5,198.75,0.99,65,1.17,5.8,1,0
27,Seedling,11.59,21,40,15,40,5,201.15,0.99,65,1.18,5.8,1,0
28,Seedling,11.72,21,40,15,40,5,203.54,1,65,1.19,5.8,1,0
29,Seedling,11.86,21,40,15,40,5,205.94,1,65,1.19,5.8,1,0
30,Seedling,12,21,38.73,13.73,42.54,5,208.33,1,65,1.2,5.8,1,0
31,Vegetative,14,21,36.27,11.27,47.46,5,243.06,1.05,65,1.6,5.8,1,0
32,Vegetative,14.21,21,35,10,50,5,246.65,1.05,65,1.61,5.8,1,0
33,Vegetative,14.41,21,35,10,50,5,250.24,1.06,65,1.63,5.8,1,0
34,Vegetative,14.62,21,35,10,50,5,253.83,1.06,65,1.64,5.8,1,0
35,Vegetative,14.83,21,35,10,50,5,257.42,1.06,65,1.66,5.8,1,0
36,Vegetative,15.03,21,35,10,50,5,261.02,1.07,65,1.67,5.8,1,0
37,Vegetative,15.24,21,35,10,50,5,264.61,1.07,65,1.68,5.8,1,0
38,Vegetative,15.45,21,35,10,50,5,268.2,1.07,65,1.7,5.8,1,0
39,Vegetative,15.66,21,35,10,50,5,271.79,1.08,65,1.71,5.8,1,0
40,Vegetative,15.86,21,35,10,50,5,275.38,1.08,65,1.72,5.8,1,0
41,Vegetative,16.07,21,35,10,50,5,278.98,1.08,65,1.74,5.8,1,0
42,Vegetative,16.28,21,35,10,50,5,282.57,1.09,65,1.75,5.8,1,0
43,Vegetative,16.48,21,35,10,50,5,286.16,1.09,65,1.77,5.8,1,0
44,Vegetative,16.69,21,35,10,50,5,289.75,1.09,65,1.78,5.8,1,0
45,Vegetative,16.9,21,35,10,50,5,293.34,1.1,65,1.79,5.8,1,0
46,Vegetative,17.1,21,35,10,50,5,296.93,1.1,65,1.81,5.8,1,0
47,Vegetative,17.31,21,35,10,50,5,300.53,1.11,65,1.82,5.8,1,0
48,Vegetative,17.52,21,35.51,10,49.49,5,304.12,1.11,65,1.83,5.8,1,0
49,Vegetative,17.72,21,37.97,10,47.03,5,307.71,1.11,65,1.85,5.8,1,0
50,Vegetative,17.93,21,40,10,45,5,311.3,1.12,65,1.86,5.8,1,0
51,Vegetative,18.14,21,40,10,45,5,314.89,1.12,65,1.88,5.8,1,0
52,Vegetative,18.34,21,40,10,45,5,318.49,1.12,65,1.89,5.8,1,0
53,Vegetative,18.55,21,40,10,45,5,322.08,1.13,65,1.9,5.8,1,0
54,Vegetative,18.76,21,40,10,45,5,325.67,1.13,65,1.92,5.8,1,0
55,Vegetative,18.97,21,40,10,45,5,329.26,1.13,65,1.93,5.8,1,0
56,Vegetative,19.17,21,40,10,45,5,332.85,1.14,65,1.94,5.8,1,0
57,Vegetative,19.38,21,40,10,45,5,336.45,1.14,65,1.96,5.8,1,0
58,Vegetative,19.59,21,40,10,45,5,340.04,1.14,65,1.97,5.8,1,0
59,Vegetative,19.79,21,40,10,45,5,343.63,1.15,65,1.99,5.8,1,0
60,Vegetative,20,21,40,10,45,5,347.22,1.15,65,2,5.8,1,0
