Table 1
Day,Stage,DLI Target (mol/m²/d),Temp Target (°C),Blue (%),Green (%),Red (%),Far-Red (%),PPFD Target (µmol/m²/s),VPD Target (kPa),Max Humidity (%),EC Target (dS/m),pH Target,Veg,Fruit
1,Seedling,8,21,25,34,40,1,138.89,0.95,65,1,5.8,1,0
2.5,Seedling,8.17,21,25,34,40,1,141.78,0.95,65,1.01,5.8,1,0
4,Seedling,8.33,21,25,34,40,1,144.68,0.95,65,1.02,5.8,1,0
5.5,Seedling,8.5,21,25,34,40,1,147.57,0.96,65,1.02,5.8,1,0
7,Seedling,8.67,21,25,34,40,1,150.46,0.96,65,1.03,5.8,1,0
8.5,Seedling,8.83,21,25,34,40,1,153.36,0.96,65,1.04,5.8,1,0
10,Seedling,9,21,25,34,40,1,156.25,0.96,65,1.05,5.8,1,0
11.5,Seedling,9.17,21,25,34,40,1,159.14,0.96,65,1.06,5.8,1,0
13,Seedling,9.33,21,25,34,40,1,162.04,0.97,65,1.07,5.8,1,0
14.5,Seedling,9.5,21,25,34,40,1,164.93,0.97,65,1.07,5.8,1,0
16,Seedling,9.67,21,25,34,40,1,167.82,0.97,65,1.08,5.8,1,0
17.5,Seedling,9.83,21,25,34,40,1,170.72,0.97,65,1.09,5.8,1,0
19,Seedling,10,21,25,34,40,1,173.61,0.97,65,1.1,5.8,1,0
20.5,Seedling,10.17,21,25,34,40,1,176.5,0.98,65,1.11,5.8,1,0
22,Seedling,10.33,21,25,34,40,1,179.4,0.98,65,1.12,5.8,1,0
23.5,Seedling,10.5,21,25,34,40,1,182.29,0.98,65,1.12,5.8,1,0
25,Seedling,10.67,21,25,34,40,1,185.19,0.98,65,1.13,5.8,1,0
26.5,Seedling,10.83,21,25,34,40,1,188.08,0.99,65,1.14,5.8,1,0
28,Seedling,11,21,25,34,40,1,190.97,0.99,65,1.15,5.8,1,0
29.5,Seedling,11.17,21,25,34,40,1,193.87,0.99,65,1.16,5.8,1,0
31,Seedling,11.33,21,25,34,40,1,196.76,0.99,65,1.17,5.8,1,0
32.5,Seedling,11.5,21,25,34,40,1,199.65,0.99,65,1.18,5.8,1,0
34,Seedling,11.67,21,25,34,40,1,202.55,1,65,1.18,5.8,1,0
35.5,Seedling,11.83,21,25,34,40,1,205.44,1,65,1.19,5.8,1,0
37,Seedling,12,21,25,34,40,1,208.33,1,65,1.2,5.8,1,0
