Table 1
Day,Stage,DLI Target (mol/m2/d),Temp Target (C),PPFD (umol/m2/s),Blue %,Green %,Red %,Far Red %,VPD (kPa),Max Humidity %,EC (mS/cm),pH,Veg,Fruit
1,Sprouting,0,20,0,0,0,0,0,0.4,85,0,6.5,1,0
2,Sprouting,0,20,0,0,0,0,0,0.4,85,0,6.5,1,0
3,Sprouting,0,20,0,0,0,0,0,0.4,85,0,6.5,1,0
4,Greening,3,20,50,40,15,40,5,0.5,85,0,6.5,1,0
5,Greening,3,20,50,40,15,40,5,0.5,85,0,6.5,1,0
6,Greening,3,20,50,40,15,40,5,0.5,85,0,6.5,1,0
7,Greening,3,20,50,40,15,40,5,0.5,85,0,6.5,1,0
8,Greening,3,20,50,40,15,40,5,0.5,85,0,6.5,1,0
9,Greening,3,20,50,40,15,40,5,0.5,85,0,6.5,1,0
10,Greening,3,20,50,40,15,40,5,0.5,85,0,6.5,1,0
