Table 1
Day,Stage,DLI Target (mol/m2/d),Temp Target (C),PPFD (umol/m2/s),Blue %,Green %,Red %,Far Red %,VPD (kPa),Max Humidity %,EC (mS/cm),pH,Veg,Fruit
1,Seedling,8,20,138.89,45,10,45,5,0.9,65,1,5.8,1,0
2,Seedling,8.27,20,143.52,45,10,45,5,0.9,65,1.01,5.8,1,0
3,Seedling,8.53,20,148.15,45,10,45,5,0.91,65,1.03,5.8,1,0
4,Seedling,8.8,20,152.78,45,10,45,5,0.91,65,1.04,5.8,1,0
5,Seedling,9.07,20,157.41,45,10,40.17,4.83,0.91,65,1.05,5.8,1,0
6,Seedling,9.33,20,162.04,45,10,40,5,0.92,65,1.07,5.8,1,0
7,Seedling,9.6,20,166.67,45,10,40,5,0.92,65,1.08,5.8,1,0
8,Seedling,9.87,20,171.3,45,10,40,5,0.92,65,1.09,5.8,1,0
9,Seedling,10.13,20,175.93,45,10,40,5,0.93,65,1.11,5.8,1,0
10,Seedling,10.4,20,180.56,45,10,40,5,0.93,65,1.12,5.8,1,0
11,Seedling,10.67,20,185.19,45,10,40,5,0.93,65,1.13,5.8,1,0
12,Seedling,10.93,20,189.81,45,10,40,5,0.94,65,1.15,5.8,1,0
13,Seedling,11.2,20,194.44,45,10,40,5,0.94,65,1.16,5.8,1,0
14,Seedling,11.47,20,199.07,45,10,40,5,0.94,65,1.17,5.8,1,0
15,Seedling,11.73,20,203.7,45,10,40,5,0.95,65,1.19,5.8,1,0
16,Seedling,12,20,208.33,35.69,16.21,43.1,5,0.95,65,1.2,5.8,1,0
17,Vegetative,12,20,208.33,30.33,19.34,45.33,5,0.95,65,1.4,5.8,1,0
18,Vegetative,12.31,20,213.68,30.81,18.38,45.81,5,0.96,65,1.43,5.8,1,0
19,Vegetative,12.62,20,219.02,31.29,17.42,46.29,5,0.97,65,1.46,5.8,1,0
20,Vegetative,12.92,20,224.36,31.76,16.48,46.76,5,0.97,65,1.49,5.8,1,0
21,Vegetative,13.23,20,229.7,32.24,15.52,47.24,5,0.98,65,1.52,5.8,1,0
22,Vegetative,13.54,20,235.04,32.72,14.56,47.72,5,0.99,65,1.55,5.8,1,0
23,Vegetative,13.85,20,240.38,33.2,13.6,48.2,5,1,65,1.58,5.8,1,0
24,Vegetative,14.15,20,245.73,33.67,12.66,48.67,5,1,65,1.62,5.8,1,0
25,Vegetative,14.46,20,251.07,34.15,11.7,49.15,5,1.01,65,1.65,5.8,1,0
26,Vegetative,14.77,20,256.41,34.63,10.74,49.63,5,1.02,65,1.68,5.8,1,0
27,Vegetative,15.08,20,261.75,35,12.76,47.24,5,1.03,65,1.71,5.8,1,0
28,Vegetative,15.38,20,267.09,35.43,19.14,40.43,5,1.03,65,1.74,5.8,1,0
29,Vegetative,15.69,20,272.44,36.47,17.06,41.47,5,1.04,65,1.77,5.8,1,0
30,Vegetative,16,20,277.78,37.5,20,42.5,5,1.05,65,1.8,5.8,1,0
31,Vegetative,16,20,277.78,37.5,20,42.5,5,1.05,65,1.8,5.8,1,0
32,Vegetative,16,20,277.78,37.5,20,42.5,5,1.05,65,1.8,5.8,1,0
33,Vegetative,16,20,277.78,37.5,20,42.5,5,1.05,65,1.8,5.8,1,0
34,Vegetative,16,20,277.78,37.5,20,42.5,5,1.05,65,1.8,5.8,1,0
35,Vegetative,16,20,277.78,37.5,20,42.5,5,1.05,65,1.8,5.8,1,0
