Day,Stage,Temperature (°C),Blue (450 nm),Green (%),Red (660 nm),Far-Red (730 nm),PPFD (µmol/m²/s),Target VPD (kPa),Max Humidity (%),Afternoon Temp (°C),Night Temp (°C),EC,PH,Veg,Fruit
1,Seedling,20,45,5,45,0,120,0.6,75,22,16,1.2,6.25,1,0
2,Seedling,20,45,5,45,0,126.35,0.6,75,22,16,1.2,6.25,1,0
3,Seedling,20,45,5,45,0,132.71,0.6,75,22,16,1.2,6.25,1,0
4,Seedling,20,45,5,45,0,139.06,0.6,75,22,16,1.2,6.25,1,0
5,Seedling,20,45,5,43.82,1.18,157.18,0.6,75,22,16,1.2,6.25,1,0
6,Juvenile,20,45,5,40,5,201.13,0.6,75,22,16,1.2,6.25,1,0
7,Juvenile,20,45,5,40,5,205.2,0.6,75,22,16,1.2,6.25,1,0
8,Juvenile,20,45,5,40,5,209.28,0.6,75,22,16,1.2,6.25,1,0
9,Juvenile,20,45,5,40,5,213.35,0.6,75,22,16,1.2,6.25,1,0
10,Juvenile,20,45,5,40,5,217.42,0.6,75,22,16,1.2,6.25,1,0
11,Juvenile,20,45,6.18,40,5,221.49,0.9,70,22,16,1.2,6.25,1,0
12,Juvenile,20,45,7,40,5,225.57,0.9,70,22,16,1.2,6.25,1,0
13,Juvenile,20,45,7,40,5,229.64,0.9,70,22,16,1.2,6.25,1,0
14,Juvenile,20,45,7,40,5,233.71,0.9,70,22,16,1.2,6.25,1,0
15,Juvenile,20,45,7,40,5,237.78,0.9,70,22,16,1.2,6.25,1,0
16,Juvenile,20,45,7,40,5,241.86,0.9,70,22,16,1.2,6.25,1,0
17,Juvenile,20,45,7,40,5,245.93,0.9,70,22,16,1.2,6.25,1,0
18,Juvenile,20,45,7,40,5,250,0.9,70,22,16,1.2,6.25,1,0
19,Growth,20,30.02,7,45.02,5,250.23,0.9,70,22,16,1.75,6.25,1,0
20,Growth,20,30.43,7,45.43,5,254.3,0.9,70,22,16,1.75,6.25,1,0
21,Growth,20,30.84,7,45.84,5,258.37,0.9,70,22,16,1.75,6.25,1,0
22,Growth,20,31.24,7,46.24,5,262.44,0.9,70,22,16,1.75,6.25,1,0
23,Growth,20,31.65,7,46.65,5,266.52,0.9,70,22,16,1.75,6.25,1,0
24,Growth,20,32.06,7,47.06,5,270.59,0.9,70,22,16,1.75,6.25,1,0
25,Growth,20,32.47,7,47.47,5,274.66,0.9,70,22,16,1.75,6.25,1,0
26,Growth,20,32.87,7,47.87,5,278.73,0.9,70,22,16,1.75,6.25,1,0
27,Growth,20,33.28,7,48.28,5,282.81,0.9,70,22,16,1.75,6.25,1,0
28,Growth,20,33.69,7,48.69,5,286.88,0.9,70,22,16,1.75,6.25,1,0
29,Growth,20,34.1,7,49.1,5,290.95,0.9,70,22,16,1.75,6.25,1,0
30,Growth,20,34.5,9.12,49.5,5,295.02,0.9,70,22,16,1.75,6.25,1,0
31,Growth,20,34.91,10,49.91,5,299.1,0.9,70,22,16,1.75,6.25,1,0
32,Late Growth,20,35,10,41.76,5,300,0.9,70,22,16,1.75,6.25,1,0
33,Late Growth,20,35.74,10,40.74,5,307.35,0.9,70,22,16,1.75,6.25,1,0
34,Late Growth,20,36.62,10,41.62,5,316.18,0.9,70,22,16,1.75,6.25,1,0
35,Late Growth,20,37.5,10,42.5,0,325,0.9,70,22,16,1.75,6.25,1,0
