Day,Stage,Temperature (°C),Blue (450 nm),Green (%),Red (660 nm),Far-Red (730 nm),PPFD (µmol/m²/s),Target VPD (kPa),Max Humidity (%),Afternoon Temp (°C),Night Temp (°C),EC,PH,Veg,Fruit
1,Seedling,20,45,5,45,0,120,0.6,80,20,14,0.7,6,1,0
2,Seedling,20,45,5,45,0,128,0.6,80,20,14,0.7,6,1,0
3,Seedling,20,45,5,45,0,136,0.6,80,20,14,0.7,6,1,0
4,Seedling,20,45,5,45,0,144,0.6,80,20,14,0.7,6,1,0
5,Juvenile,20,45,5,40,5,201.28,0.6,80,20,14,0.7,6,1,0
6,Juvenile,20,45,5,40,5,206.41,0.6,80,20,14,0.7,6,1,0
7,Juvenile,20,45,5,40,5,211.54,0.6,80,20,14,0.7,6,1,0
8,Juvenile,20,45,5,40,5,216.67,0.6,80,20,14,0.7,6,1,0
9,Juvenile,20,45,6.33,40,5,221.79,0.6,80,20,14,0.7,6,1,0
10,Juvenile,20,45,7,40,5,226.92,0.6,80,20,14,0.7,6,1,0
11,Juvenile,20,45,7,40,5,232.05,0.9,70,20,14,0.7,6,1,0
12,Juvenile,20,45,7,40,5,237.18,0.9,70,20,14,0.7,6,1,0
13,Juvenile,20,45,7,40,5,242.31,0.9,70,20,14,0.7,6,1,0
14,Juvenile,20,45,7,40,5,247.44,0.9,70,20,14,0.7,6,1,0
15,Growth,20,35,7,43.33,5,250,0.9,70,20,14,1,6,1,0
16,Growth,20,30.38,7,45.38,5,253.85,0.9,70,20,14,1,6,1,0
17,Growth,20,30.9,7,45.9,5,258.97,0.9,70,20,14,1,6,1,0
18,Growth,20,31.41,7,46.41,5,264.1,0.9,70,20,14,1,6,1,0
19,Growth,20,31.92,7,46.92,5,269.23,0.9,70,20,14,1,6,1,0
20,Growth,20,32.44,7,47.44,5,274.36,0.9,70,20,14,1,6,1,0
21,Growth,20,32.95,7,47.95,5,279.49,0.9,70,20,14,1,6,1,0
22,Growth,20,33.46,7,48.46,5,284.62,0.9,70,20,14,1,6,1,0
23,Growth,20,33.97,7,48.97,5,289.74,0.9,70,20,14,1,6,1,0
24,Growth,20,34.49,9,49.49,5,294.87,0.9,70,20,14,1,6,1,0
25,Growth,20,35,10,50,5,300,0.9,70,20,14,1,6,1,0
26,Late Growth,20,35.28,10,40.28,5,302.78,0.9,70,20,14,1,6,1,0
27,Late Growth,20,36.39,10,41.39,5,313.89,0.9,70,20,14,1,6,1,0
28,Late Growth,20,37.5,10,42.5,0,325,0.9,70,20,14,1,6,1,0
