Day,Stage,Temperature (°C),Blue (450 nm),Green (%),Red (660 nm),Far-Red (730 nm),PPFD (µmol/m²/s),Target VPD (kPa),Max Humidity (%),Afternoon Temp (°C),Night Temp (°C),EC,PH,Veg,Fruit
1,Establishment,18–22°C,30,5,50,5,150,0.7,80,22,14,1.15,5.75,1,0
1.42,Establishment,18–22°C,30,5,50,5,153.24,0.7,80,22,14,1.15,5.75,1,0
1.85,Establishment,18–22°C,30,5,50,5,156.48,0.7,80,22,14,1.15,5.75,1,0
2.27,Establishment,18–22°C,30,5,50,5,159.71,0.7,80,22,14,1.15,5.75,1,0
2.7,Establishment,18–22°C,30,5,50,5,162.95,0.7,80,22,14,1.15,5.75,1,0
3.12,Establishment,18–22°C,30,5,50,5,166.18,0.7,80,22,14,1.15,5.75,1,0
3.55,Establishment,18–22°C,30,5,50,5,169.42,0.7,80,22,14,1.15,5.75,1,0
3.97,Establishment,18–22°C,30,5,50,5,172.66,0.7,80,22,14,1.15,5.75,1,0
4.4,Establishment,18–22°C,30,5,50,5,175.9,0.7,80,22,14,1.15,5.75,1,0
4.82,Establishment,18–22°C,30,5,50,5,179.14,0.7,80,22,14,1.15,5.75,1,0
5.24,Establishment,18–22°C,30,5,50,5,182.38,0.7,80,22,14,1.15,5.75,1,0
5.67,Establishment,18–22°C,30,5,50,5,185.61,0.7,80,22,14,1.15,5.75,1,0
6.09,Establishment,18–22°C,30,5,50,5,188.85,0.7,80,22,14,1.15,5.75,1,0
6.52,Establishment,18–22°C,30,5,50,5,192.09,0.7,80,22,14,1.15,5.75,1,0
6.94,Establishment,18–22°C,30,5,50,5,195.32,0.7,80,22,14,1.15,5.75,1,0
7.37,Establishment,18–22°C,30,5,50,5,198.56,0.7,80,22,14,1.15,5.75,1,0
7.79,Establishment,18–22°C,30,5,50,5,201.8,0.7,80,22,14,1.15,5.75,1,0
8.22,Establishment,18–22°C,30,5,50,5,205.04,0.7,80,22,14,1.15,5.75,1,0
8.64,Establishment,18–22°C,30,5,50,5,208.28,0.7,80,22,14,1.15,5.75,1,0
9.06,Establishment,18–22°C,30,5,50,5,211.51,0.7,80,22,14,1.15,5.75,1,0
9.49,Establishment,18–22°C,30,5,50,5,214.75,0.7,80,22,14,1.15,5.75,1,0
9.91,Establishment,18–22°C,30,5,50,5,217.98,0.7,80,22,14,1.15,5.75,1,0
10.34,Establishment,18–22°C,30,5,50,5,221.22,0.7,80,22,14,1.15,5.75,1,0
10.76,Establishment,18–22°C,30,5,50,5,224.46,0.7,80,22,14,1.15,5.75,1,0
11.19,Establishment,18–22°C,30,5,50,5,227.7,0.9,75,22,14,1.15,5.75,1,0
11.61,Establishment,18–22°C,30,5,50,5,230.94,0.9,75,22,14,1.15,5.75,1,0
12.04,Establishment,18–22°C,30,5,50,5,234.17,0.9,75,22,14,1.15,5.75,1,0
12.46,Establishment,18–22°C,30,5,50,5,237.41,0.9,75,22,14,1.15,5.75,1,0
12.88,Establishment,18–22°C,30,5,50,5,240.65,0.9,75,22,14,1.15,5.75,1,0
13.31,Establishment,18–22°C,30,5,50,5,243.89,0.9,75,22,14,1.15,5.75,1,0
13.73,Establishment,18–22°C,30,5,50,5,247.12,0.9,75,22,14,1.15,5.75,1,0
14.16,Establishment,18–22°C,30,5,50,5,250.36,0.9,75,22,14,1.15,5.75,1,0
14.58,Establishment,18–22°C,30,5,50,5,253.6,0.9,75,22,14,1.15,5.75,1,0
15.01,Vegetative,18–22°C,30,5,50,5,256.83,0.9,75,22,14,1.45,5.75,1,0
15.43,Vegetative,18–22°C,29.83,5,50.17,5,260.07,0.9,75,22,14,1.45,5.75,1,0
15.86,Vegetative,18–22°C,29.67,5,50.33,5,263.31,0.9,75,22,14,1.45,5.75,1,0
16.28,Vegetative,18–22°C,29.51,5,50.49,5,266.55,0.9,75,22,14,1.45,5.75,1,0
16.71,Vegetative,18–22°C,29.34,5,50.66,5,269.78,0.9,75,22,14,1.45,5.75,1,0
17.13,Vegetative,18–22°C,29.18,5,50.82,5,273.02,0.9,75,22,14,1.45,5.75,1,0
17.55,Vegetative,18–22°C,29.02,5,50.98,5,276.26,0.9,75,22,14,1.45,5.75,1,0
17.98,Vegetative,18–22°C,28.85,5,51.15,5,279.5,0.9,75,22,14,1.45,5.75,1,0
18.4,Vegetative,18–22°C,28.69,5.81,51.31,5,282.73,0.9,75,22,14,1.45,5.75,1,0
18.83,Vegetative,18–22°C,28.53,6.65,51.47,5,285.97,0.9,75,22,14,1.45,5.75,1,0
19.25,Vegetative,18–22°C,28.36,7,51.64,5,289.21,0.9,75,22,14,1.45,5.75,1,0
19.68,Vegetative,18–22°C,28.2,7,51.8,5,292.45,0.9,75,22,14,1.45,5.75,1,0
20.1,Vegetative,18–22°C,28.04,7,51.96,5,295.69,0.9,75,22,14,1.45,5.75,1,0
20.53,Vegetative,18–22°C,27.87,7,52.13,5,298.92,0.9,75,22,14,1.45,5.75,1,0
20.95,Vegetative,18–22°C,27.71,7,52.29,5,302.16,0.9,75,22,14,1.45,5.75,1,0
21.37,Vegetative,18–22°C,27.55,7,52.45,5,305.39,0.9,75,22,14,1.45,5.75,1,0
21.8,Vegetative,18–22°C,27.39,7,52.61,5,308.63,0.9,75,22,14,1.45,5.75,1,0
22.22,Vegetative,18–22°C,27.22,7,52.78,5,311.87,0.9,75,22,14,1.45,5.75,1,0
22.65,Vegetative,18–22°C,27.06,7,52.94,5,315.11,0.9,75,22,14,1.45,5.75,1,0
23.07,Vegetative,18–22°C,26.9,7,53.1,5,318.35,0.9,75,22,14,1.45,5.75,1,0
23.5,Vegetative,18–22°C,26.73,7,53.27,5,321.58,0.9,75,22,14,1.45,5.75,1,0
23.92,Vegetative,18–22°C,26.57,7,53.43,5,324.82,0.9,75,22,14,1.45,5.75,1,0
24.35,Vegetative,18–22°C,26.41,7,53.59,5,328.05,0.9,75,22,14,1.45,5.75,1,0
24.77,Vegetative,18–22°C,26.24,7,53.76,5,331.29,0.9,75,22,14,1.45,5.75,1,0
25.19,Vegetative,18–22°C,26.08,7,53.92,5,334.53,0.9,75,22,14,1.45,5.75,1,0
25.62,Vegetative,18–22°C,25.92,7,54.08,5,337.77,0.9,75,22,14,1.45,5.75,1,0
26.04,Vegetative,18–22°C,25.75,7,54.25,5,341.01,0.9,75,22,14,1.45,5.75,1,0
26.47,Vegetative,18–22°C,25.59,7,54.41,5,344.25,0.9,75,22,14,1.45,5.75,1,0
26.89,Vegetative,18–22°C,25.43,7,54.57,5,347.49,0.9,75,22,14,1.45,5.75,1,0
27.32,Vegetative,18–22°C,25.26,7,54.74,5,350.72,0.9,75,22,14,1.45,5.75,1,0
27.74,Vegetative,18–22°C,25.1,7,54.9,5,353.96,0.9,75,22,14,1.45,5.75,1,0
28.17,Vegetative,18–22°C,25,7,55,5,357.19,0.9,75,22,14,1.45,5.75,1,0
28.59,Vegetative,18–22°C,25,7,55,5,360.43,0.9,75,22,14,1.45,5.75,1,0
29.01,Flowering,18–22°C,24.99,7,55,5.01,363.67,1.1,70,22,14,1.8,5.75,0,1
29.44,Flowering,18–22°C,24.83,7,55,5.17,366.91,1.1,70,22,14,1.8,5.75,0,1
29.86,Flowering,18–22°C,24.67,7,55,5.33,370.15,1.1,70,22,14,1.8,5.75,0,1
30.29,Flowering,18–22°C,24.5,7,55,5.5,373.38,1.1,70,22,14,1.8,5.75,0,1
30.71,Flowering,18–22°C,24.34,7,55,5.66,376.62,1.1,70,22,14,1.8,5.75,0,1
31.14,Flowering,18–22°C,24.18,7,55,5.82,379.85,1.1,70,22,14,1.8,5.75,0,1
31.56,Flowering,18–22°C,24.01,7,55,5.99,383.09,1.1,70,22,14,1.8,5.75,0,1
31.99,Flowering,18–22°C,23.85,7,55,6.15,386.33,1.1,70,22,14,1.8,5.75,0,1
32.41,Flowering,18–22°C,23.69,7,55,6.31,389.57,1.1,70,22,14,1.8,5.75,0,1
32.83,Flowering,18–22°C,23.53,7,55,6.47,392.81,1.1,70,22,14,1.8,5.75,0,1
33.26,Flowering,18–22°C,23.36,7,55,6.64,396.04,1.1,70,22,14,1.8,5.75,0,1
33.68,Flowering,18–22°C,23.2,7,55,6.8,399.28,1.1,70,22,14,1.8,5.75,0,1
34.11,Flowering,18–22°C,23.04,7,55,6.96,402.51,1.1,70,22,14,1.8,5.75,0,1
34.53,Flowering,18–22°C,22.87,7,55,7.13,405.75,1.1,70,22,14,1.8,5.75,0,1
34.96,Flowering,18–22°C,22.71,7,55,7.29,408.99,1.1,70,22,14,1.8,5.75,0,1
35.38,Flowering,18–22°C,22.55,7,55,7.45,412.23,1.1,70,22,14,1.8,5.75,0,1
35.81,Flowering,18–22°C,22.38,7,55,7.62,415.47,1.1,70,22,14,1.8,5.75,0,1
36.23,Flowering,18–22°C,22.22,7,55,7.78,418.71,1.1,70,22,14,1.8,5.75,0,1
36.65,Flowering,18–22°C,22.06,7,55,7.94,421.95,1.1,70,22,14,1.8,5.75,0,1
37.08,Flowering,18–22°C,21.89,7,55,8.11,425.18,1.1,70,22,14,1.8,5.75,0,1
37.5,Flowering,18–22°C,21.73,7,55,8.27,428.42,1.1,70,22,14,1.8,5.75,0,1
37.93,Flowering,18–22°C,21.57,7,55,8.43,431.65,1.1,70,22,14,1.8,5.75,0,1
38.35,Flowering,18–22°C,21.4,7,55,8.6,434.89,1.1,70,22,14,1.8,5.75,0,1
38.78,Flowering,18–22°C,21.24,7,55,8.76,438.13,1.1,70,22,14,1.8,5.75,0,1
39.2,Flowering,18–22°C,21.08,7,55,8.92,441.37,1.1,70,22,14,1.8,5.75,0,1
39.63,Flowering,18–22°C,20.91,7,55,9.09,444.61,1.1,70,22,14,1.8,5.75,0,1
40.05,Flowering,18–22°C,20.75,7,55,9.25,447.84,1.1,70,22,14,1.8,5.75,0,1
40.47,Flowering,18–22°C,20.59,7,55,9.41,451.08,1.1,70,22,14,1.8,5.75,0,1
40.9,Flowering,18–22°C,20.42,7,55,9.58,454.31,1.1,70,22,14,1.8,5.75,0,1
41.32,Flowering,18–22°C,20.26,7,55,9.74,457.55,1.1,70,22,14,1.8,5.75,0,1
41.75,Flowering,18–22°C,20.1,7,55,9.9,460.79,1.1,70,22,14,1.8,5.75,0,1
42.17,Flowering,18–22°C,20,7,55,10,464.03,1.1,70,22,14,1.8,5.75,0,1
42.6,Flowering,18–22°C,20,7,55,10,467.27,1.1,70,22,14,1.8,5.75,0,1
43.02,Fruiting,18–22°C,19.99,7,55,10.01,470.5,1.1,70,22,14,1.8,5.75,0,1
43.45,Fruiting,18–22°C,19.87,7,55,10.13,473.74,1.1,70,22,14,1.8,5.75,0,1
