Day,Stage,Temperature (°C),Blue (450 nm),Green (%),Red (660 nm),Far-Red (730 nm),PPFD (µmol/m²/s),Target VPD (kPa),Max Humidity (%),Afternoon Temp (°C),Night Temp (°C),EC,PH,Veg,Fruit
1,Seedling,22–26°C,45,5,45,0,100,0.7,80,22,15,1,6,1,0
1.85,Seedling,22–26°C,45,5,45,0,105.89,0.7,80,22,15,1,6,1,0
2.71,Seedling,22–26°C,45,5,45,0,111.76,0.7,80,22,15,1,6,1,0
3.56,Seedling,22–26°C,45,5,45,0,117.65,0.7,80,22,15,1,6,1,0
4.41,Seedling,22–26°C,45,5,45,0,123.53,0.7,80,22,15,1,6,1,0
5.26,Seedling,22–26°C,43.68,5,43.68,1.32,129.41,0.7,80,22,15,1,6,1,0
6.12,Juvenile,22–26°C,40,5,40,5,135.29,0.7,80,22,15,1,6,1,0
6.97,Juvenile,22–26°C,40,5,40,5,141.18,0.7,80,22,15,1,6,1,0
7.82,Juvenile,22–26°C,40,5,40,5,147.06,0.7,80,22,15,1,6,1,0
8.68,Juvenile,22–26°C,40,5,40,5,152.94,0.9,75,22,15,1,6,1,0
9.53,Juvenile,22–26°C,40,6.06,40,5,158.82,0.9,75,22,15,1,6,1,0
10.38,Juvenile,22–26°C,40,7,40,5,164.71,0.9,75,22,15,1,6,1,0
11.24,Juvenile,22–26°C,40,7,40,5,170.59,0.9,75,22,15,1,6,1,0
12.09,Juvenile,22–26°C,40,7,40,5,176.47,0.9,75,22,15,1,6,1,0
12.94,Juvenile,22–26°C,40,7,40,5,182.35,0.9,75,22,15,1,6,1,0
13.79,Juvenile,22–26°C,40,7,40,5,188.24,0.9,75,22,15,1,6,1,0
14.65,Juvenile,22–26°C,40,7,40,5,194.12,0.9,75,22,15,1,6,1,0
15.5,Juvenile,22–26°C,37.5,7,45,5,200,0.9,75,22,15,1,6,1,0
16.35,Growth,22–26°C,35,7,50,5,205.88,0.9,75,22,15,1.5,6,1,0
17.21,Growth,22–26°C,35,7,50,5,211.76,0.9,75,22,15,1.5,6,1,0
18.06,Growth,22–26°C,35,7,50,5,217.65,0.9,75,22,15,1.5,6,1,0
18.91,Growth,22–26°C,35,7,50,5,223.53,0.9,75,22,15,1.5,6,1,0
19.76,Growth,22–26°C,35,7,50,5,229.41,0.9,75,22,15,1.5,6,1,0
20.62,Growth,22–26°C,35,7,50,5,235.29,0.9,75,22,15,1.5,6,1,0
21.47,Growth,22–26°C,35,7,50,5,241.18,0.9,75,22,15,1.5,6,1,0
22.32,Growth,22–26°C,35,7,50,5,247.06,0.9,75,22,15,1.5,6,1,0
23.18,Growth,22–26°C,35,7,50,5,252.94,0.9,75,22,15,1.5,6,1,0
24.03,Growth,22–26°C,35.15,7.09,49.85,5,258.82,0.9,75,22,15,1.5,6,1,0
24.88,Late Growth,22–26°C,39.41,9.65,45.59,5,264.71,0.9,75,22,15,1.5,6,1,0
25.74,Late Growth,22–26°C,40,10,45,5,270.59,0.9,75,22,15,1.5,6,1,0
26.59,Late Growth,22–26°C,40,10,45,5,276.47,0.9,75,22,15,1.5,6,1,0
27.44,Late Growth,22–26°C,40,10,45,5,282.35,0.9,75,22,15,1.5,6,1,0
28.29,Late Growth,22–26°C,40,10,45,5,288.24,0.9,75,22,15,1.5,6,1,0
29.15,Late Growth,22–26°C,40,10,45,5,294.11,0.9,75,22,15,1.5,6,1,0
30,Late Growth,22–26°C,40,10,45,5,300,0.9,75,22,15,1.5,6,1,0
