Day,Stage,VPD,Humidity,Temperature (°C),Blue (450 nm),Green (%),Red (660 nm),Far-Red (730 nm),PPFD (µmol/m²/s),EC,PH,Veg,Fruit
1,Seedling,,,22–26°C,45,5,45,0,100,1,6,1,0
2,Seedling,,,22–26°C,45,5,45,0,105.13,1,6,1,0
3,Seedling,,,22–26°C,45,5,45,0,110.26,1,6,1,0
4,Seedling,,,22–26°C,45,5,45,0,115.38,1,6,1,0
5,Seedling,,,22–26°C,45,5,45,0,120.51,1,6,1,0
6,Seedling,,,22–26°C,45,5,45,0,125.64,1,6,1,0
7,Seedling,,,22–26°C,42.69,5,42.69,2.31,130.77,1,6,1,0
8,Juvenile,,,22–26°C,40,5,40,5,135.9,1,6,1,0
9,Juvenile,,,22–26°C,40,5,40,5,141.03,1,6,1,0
10,Juvenile,,,22–26°C,40,5,40,5,146.16,1,6,1,0
11,Juvenile,,,22–26°C,40,5,40,5,151.28,1,6,1,0
12,Juvenile,,,22–26°C,40,5.36,40,5,156.41,1,6,1,0
13,Juvenile,,,22–26°C,40,6.85,40,5,161.54,1,6,1,0
14,Juvenile,,,22–26°C,40,7,40,5,166.67,1,6,1,0
15,Juvenile,,,22–26°C,40,7,40,5,171.8,1,6,1,0
16,Juvenile,,,22–26°C,40,7,40,5,176.92,1,6,1,0
17,Juvenile,,,22–26°C,40,7,40,5,182.05,1,6,1,0
18,Juvenile,,,22–26°C,40,7,40,5,187.18,1,6,1,0
19,Juvenile,,,22–26°C,40,7,40,5,192.31,1,6,1,0
20,Juvenile,,,22–26°C,39.36,7,41.28,5,197.43,1,6,1,0
21,Growth,,,22–26°C,35.64,7,48.72,5,202.57,1.5,6,1,0
22,Growth,,,22–26°C,35,7,50,5,207.69,1.5,6,1,0
23,Growth,,,22–26°C,35,7,50,5,212.82,1.5,6,1,0
24,Growth,,,22–26°C,35,7,50,5,217.95,1.5,6,1,0
25,Growth,,,22–26°C,35,7,50,5,223.08,1.5,6,1,0
26,Growth,,,22–26°C,35,7,50,5,228.2,1.5,6,1,0
27,Growth,,,22–26°C,35,7,50,5,233.33,1.5,6,1,0
28,Growth,,,22–26°C,35,7,50,5,238.46,1.5,6,1,0
29,Growth,,,22–26°C,35,7,50,5,243.59,1.5,6,1,0
30,Growth,,,22–26°C,35,7,50,5,248.72,1.5,6,1,0
31,Growth,,,22–26°C,35,7,50,5,253.84,1.5,6,1,0
32,Growth,,,22–26°C,35.26,7.15,49.74,5,258.97,1.5,6,1,0
33,Late Growth,,,22–26°C,38.97,9.38,46.03,5,264.1,1.5,6,1,0
34,Late Growth,,,22–26°C,40,10,45,5,269.23,1.5,6,1,0
35,Late Growth,,,22–26°C,40,10,45,5,274.36,1.5,6,1,0
36,Late Growth,,,22–26°C,40,10,45,5,279.49,1.5,6,1,0
37,Late Growth,,,22–26°C,40,10,45,5,284.62,1.5,6,1,0
38,Late Growth,,,22–26°C,40,10,45,5,289.74,1.5,6,1,0
39,Late Growth,,,22–26°C,40,10,45,5,294.87,1.5,6,1,0
40,Late Growth,,,22–26°C,40,10,45,5,300,1.5,6,1,0
