Day,Stage,Temperature (°C),Blue (450 nm),Green (%),Red (660 nm),Far-Red (730 nm),PPFD (µmol/m²/s),Target VPD (kPa),Max Humidity (%),Afternoon Temp (°C),Night Temp (°C),EC,PH,Veg,Fruit
1,Seedling,20,45,5,45,0,120,0.6,75,24,18,0.7,6,1,0
2,Seedling,20,45,5,45,0,127.45,0.6,75,24,18,0.7,6,1,0
3,Seedling,20,45,5,45,0,134.9,0.6,75,24,18,0.7,6,1,0
4,Seedling,20,45,5,45,0,142.34,0.6,75,24,18,0.7,6,1,0
5,Juvenile,20,45,5,40.17,4.83,198.07,0.6,75,24,18,0.7,6,1,0
6,Juvenile,20,45,5,40,5,204.64,0.6,75,24,18,0.7,6,1,0
7,Juvenile,20,45,5,40,5,209.42,0.6,75,24,18,0.7,6,1,0
8,Juvenile,20,45,5,40,5,214.19,0.6,75,24,18,0.7,6,1,0
9,Juvenile,20,45,5,40,5,218.97,0.6,75,24,18,0.7,6,1,0
10,Juvenile,20,45,7,40,5,223.74,0.6,75,24,18,0.7,6,1,0
11,Juvenile,20,45,7,40,5,228.51,0.9,70,24,18,0.7,6,1,0
12,Juvenile,20,45,7,40,5,233.29,0.9,70,24,18,0.7,6,1,0
13,Juvenile,20,45,7,40,5,238.06,0.9,70,24,18,0.7,6,1,0
14,Juvenile,20,45,7,40,5,242.84,0.9,70,24,18,0.7,6,1,0
15,Juvenile,20,45,7,40,5,247.61,0.9,70,24,18,0.7,6,1,0
16,Juvenile,20,35.69,7,43.1,5,250,0.9,70,24,18,0.7,6,1,0
17,Growth,20,30.33,7,45.33,5,253.32,0.9,70,24,18,1,6,1,0
18,Growth,20,30.81,7,45.81,5,258.09,0.9,70,24,18,1,6,1,0
19,Growth,20,31.29,7,46.29,5,262.86,0.9,70,24,18,1,6,1,0
20,Growth,20,31.76,7,46.76,5,267.64,0.9,70,24,18,1,6,1,0
21,Growth,20,32.24,7,47.24,5,272.41,0.9,70,24,18,1,6,1,0
22,Growth,20,32.72,7,47.72,5,277.19,0.9,70,24,18,1,6,1,0
23,Growth,20,33.2,7,48.2,5,281.96,0.9,70,24,18,1,6,1,0
24,Growth,20,33.67,7,48.67,5,286.74,0.9,70,24,18,1,6,1,0
25,Growth,20,34.15,7,49.15,5,291.51,0.9,70,24,18,1,6,1,0
26,Growth,20,34.63,10,49.63,5,296.29,0.9,70,24,18,1,6,1,0
27,Growth,20,35,10,47.24,5,300,0.9,70,24,18,1,6,1,0
28,Late Growth,20,35.43,10,40.43,5,304.31,0.9,70,24,18,1,6,1,0
29,Late Growth,20,36.47,10,41.47,5,314.66,0.9,70,24,18,1,6,1,0
30,Late Growth,20,37.5,10,42.5,0,325,0.9,70,24,18,1,6,1,0
