Day,Stage,VPD,Humidity,Temperature (°C),Blue (450 nm),Green (%),Red (660 nm),Far-Red (730 nm),PPFD (µmol/m²/s),EC,PH,Veg,Fruit
1,Seedling,,,24–28°C,30,5,55,5,150,1.25,6.05,1,0
2,Seedling,,,24–28°C,30,5,55,5,153.63,1.25,6.05,1,0
3,Seedling,,,24–28°C,30,5,55,5,157.26,1.25,6.05,1,0
4,Seedling,,,24–28°C,30,5,55,5,160.89,1.25,6.05,1,0
5,Seedling,,,24–28°C,30,5,55,5,164.51,1.25,6.05,1,0
6,Seedling,,,24–28°C,30,5,55,5,168.14,1.25,6.05,1,0
7,Seedling,,,24–28°C,30,5,55,5,171.77,1.25,6.05,1,0
8,Seedling,,,24–28°C,30,5,55,5,175.4,1.25,6.05,1,0
9,Seedling,,,24–28°C,30,5,55,5,179.03,1.25,6.05,1,0
10,Seedling,,,24–28°C,30,5,55,5,182.66,1.25,6.05,1,0
11,Seedling,,,24–28°C,30,5,55,5,186.29,1.25,6.05,1,0
12,Seedling,,,24–28°C,30,5,55,5,189.92,1.25,6.05,1,0
13,Seedling,,,24–28°C,30,5,55,5,193.55,1.25,6.05,1,0
14,Seedling,,,24–28°C,30,5,55,5,197.18,1.25,6.05,1,0
15,Seedling,,,24–28°C,30,5,55,5,200.81,1.25,6.05,1,0
16,Seedling,,,24–28°C,30,5,55,5,204.44,1.25,6.05,1,0
17,Seedling,,,24–28°C,30,5,55,5,208.07,1.25,6.05,1,0
18,Seedling,,,24–28°C,30,5,55,5,211.7,1.25,6.05,1,0
19,Seedling,,,24–28°C,30,5,55,5,215.32,1.25,6.05,1,0
20,Seedling,,,24–28°C,30,5,55,5,218.95,1.25,6.05,1,0
21,Seedling,,,24–28°C,30,5,55,5,222.58,1.25,6.05,1,0
22,Seedling,,,24–28°C,30,5,55,5,226.21,1.25,6.05,1,0
23,Seedling,,,24–28°C,30,5,55,5,229.84,1.25,6.05,1,0
24,Seedling,,,24–28°C,30,5,55,5,233.47,1.25,6.05,1,0
25,Seedling,,,24–28°C,30,5,55,5,237.1,1.25,6.05,1,0
26,Seedling,,,24–28°C,30,5,55,5,240.73,1.25,6.05,1,0
27,Seedling,,,24–28°C,30,5,55,5,244.36,1.25,6.05,1,0
28,Seedling,,,24–28°C,30,5,55,5,247.98,1.25,6.05,1,0
29,Seedling,,,24–28°C,30,5,55,5,251.61,1.25,6.05,1,0
30,Vegetative,,,24–28°C,30,5,55,5,255.24,2.05,6.05,1,0
31,Vegetative,,,24–28°C,29.91,5,55.09,5.02,258.87,2.05,6.05,1,0
32,Vegetative,,,24–28°C,29.75,5,55.25,5.05,262.5,2.05,6.05,1,0
33,Vegetative,,,24–28°C,29.59,5,55.41,5.08,266.13,2.05,6.05,1,0
34,Vegetative,,,24–28°C,29.43,5,55.57,5.11,269.76,2.05,6.05,1,0
35,Vegetative,,,24–28°C,29.27,5,55.73,5.15,273.38,2.05,6.05,1,0
36,Vegetative,,,24–28°C,29.12,5,55.88,5.18,277.01,2.05,6.05,1,0
37,Vegetative,,,24–28°C,28.96,5.26,56.04,5.21,280.64,2.05,6.05,1,0
38,Vegetative,,,24–28°C,28.8,6.21,56.2,5.24,284.27,2.05,6.05,1,0
39,Vegetative,,,24–28°C,28.64,7,56.36,5.27,287.91,2.05,6.05,1,0
40,Vegetative,,,24–28°C,28.48,7,56.52,5.3,291.54,2.05,6.05,1,0
41,Vegetative,,,24–28°C,28.32,7,56.68,5.34,295.17,2.05,6.05,1,0
42,Vegetative,,,24–28°C,28.16,7,56.84,5.37,298.79,2.05,6.05,1,0
43,Vegetative,,,24–28°C,28.01,7,56.99,5.4,302.42,2.05,6.05,1,0
44,Vegetative,,,24–28°C,27.85,7,57.15,5.43,306.05,2.05,6.05,1,0
45,Vegetative,,,24–28°C,27.69,7,57.31,5.46,309.68,2.05,6.05,1,0
46,Vegetative,,,24–28°C,27.53,7,57.47,5.49,313.31,2.05,6.05,1,0
47,Vegetative,,,24–28°C,27.37,7,57.63,5.53,316.94,2.05,6.05,1,0
48,Vegetative,,,24–28°C,27.21,7,57.79,5.56,320.57,2.05,6.05,1,0
49,Vegetative,,,24–28°C,27.05,7,57.95,5.59,324.19,2.05,6.05,1,0
50,Vegetative,,,24–28°C,26.9,7,58.1,5.62,327.82,2.05,6.05,1,0
51,Vegetative,,,24–28°C,26.74,7,58.26,5.65,331.45,2.05,6.05,1,0
52,Vegetative,,,24–28°C,26.58,7,58.42,5.68,335.08,2.05,6.05,1,0
53,Vegetative,,,24–28°C,26.42,7,58.58,5.72,338.71,2.05,6.05,1,0
54,Vegetative,,,24–28°C,26.26,7,58.74,5.75,342.34,2.05,6.05,1,0
55,Vegetative,,,24–28°C,26.1,7,58.9,5.78,345.97,2.05,6.05,1,0
56,Vegetative,,,24–28°C,25.94,7,59.06,5.81,349.6,2.05,6.05,1,0
57,Vegetative,,,24–28°C,25.78,7,59.22,5.84,353.23,2.05,6.05,1,0
58,Vegetative,,,24–28°C,25.63,7,59.37,5.87,356.85,2.05,6.05,1,0
59,Vegetative,,,24–28°C,25.47,7,59.53,5.91,360.48,2.05,6.05,1,0
60,Vegetative,,,24–28°C,25.31,7,59.69,5.94,364.11,2.05,6.05,1,0
61,Vegetative,,,24–28°C,25.15,7,59.85,5.97,367.74,2.05,6.05,1,0
62,Vegetative,,,24–28°C,25,7,60,6,371.37,2.05,6.05,1,0
63,Vegetative,,,24–28°C,25,7,60,6,375,2.05,6.05,1,0
64,Flowering,,,24–28°C,25,7,60,6,378.63,2.75,6.05,0,1
65,Flowering,,,24–28°C,24.84,7,60.16,6.06,382.26,2.75,6.05,0,1
66,Flowering,,,24–28°C,24.67,7,60.33,6.13,385.89,2.75,6.05,0,1
67,Flowering,,,24–28°C,24.5,7,60.5,6.2,389.52,2.75,6.05,0,1
68,Flowering,,,24–28°C,24.33,7,60.67,6.27,393.15,2.75,6.05,0,1
69,Flowering,,,24–28°C,24.16,7,60.84,6.34,396.77,2.75,6.05,0,1
70,Flowering,,,24–28°C,23.99,7,61.01,6.4,400.4,2.75,6.05,0,1
71,Flowering,,,24–28°C,23.82,7,61.18,6.47,404.03,2.75,6.05,0,1
72,Flowering,,,24–28°C,23.65,7,61.35,6.54,407.66,2.75,6.05,0,1
73,Flowering,,,24–28°C,23.48,7,61.52,6.61,411.29,2.75,6.05,0,1
74,Flowering,,,24–28°C,23.31,7,61.69,6.68,414.92,2.75,6.05,0,1
75,Flowering,,,24–28°C,23.14,7,61.86,6.74,418.55,2.75,6.05,0,1
76,Flowering,,,24–28°C,22.97,7,62.03,6.81,422.18,2.75,6.05,0,1
77,Flowering,,,24–28°C,22.8,7,62.2,6.88,425.81,2.75,6.05,0,1
78,Flowering,,,24–28°C,22.63,7,62.37,6.95,429.43,2.75,6.05,0,1
79,Flowering,,,24–28°C,22.46,7,62.54,7.02,433.06,2.75,6.05,0,1
80,Flowering,,,24–28°C,22.29,7,62.71,7.08,436.69,2.75,6.05,0,1
81,Flowering,,,24–28°C,22.12,7,62.88,7.15,440.32,2.75,6.05,0,1
82,Flowering,,,24–28°C,21.95,7,63.05,7.22,443.95,2.75,6.05,0,1
83,Flowering,,,24–28°C,21.78,7,63.22,7.29,447.58,2.75,6.05,0,1
84,Flowering,,,24–28°C,21.61,7,63.39,7.36,451.21,2.75,6.05,0,1
85,Flowering,,,24–28°C,21.44,7,63.56,7.42,454.83,2.75,6.05,0,1
86,Flowering,,,24–28°C,21.27,7,63.73,7.49,458.46,2.75,6.05,0,1
