Day,Stage,Temperature (°C),Blue (450 nm),Green (%),Red (660 nm),Far-Red (730 nm),PPFD (µmol/m²/s),Target VPD (kPa),Max Humidity (%),Afternoon Temp (°C),Night Temp (°C),EC,PH,Veg,Fruit
1,Seedling,20–24°C,25,5,40,1,200,0.6,80,15,10,0.9,6.25,1,0
2.44,Seedling,20–24°C,25,5,40,1,200,0.6,80,15,10,0.9,6.25,1,0
3.88,Seedling,20–24°C,25,5,40,1,200,0.6,80,15,10,0.9,6.25,1,0
5.32,Seedling,20–24°C,25,5,40,1,200,0.6,80,15,10,0.9,6.25,1,0
6.76,Seedling,20–24°C,25,5,40,1,200,0.6,80,15,10,0.9,6.25,1,0
8.2,Seedling,20–24°C,25,5,40,1,200,0.6,80,15,10,0.9,6.25,1,0
9.64,Seedling,20–24°C,25,5,40,1,200,0.6,80,15,10,0.9,6.25,1,0
11.08,Seedling,20–24°C,25,5.16,40,1,200,0.6,80,15,10,0.9,6.25,1,0
12.52,Seedling,20–24°C,25,7,40,1,200,0.6,80,15,10,0.9,6.25,1,0
13.96,Seedling,20–24°C,25,7,40,1,200,0.6,80,15,10,0.9,6.25,1,0
15.4,Seedling,20–24°C,25,7,40,1,200,0.6,80,15,10,0.9,6.25,1,0
16.84,Seedling,20–24°C,25,7,40,1,200,0.6,80,15,10,0.9,6.25,1,0
18.28,Seedling,20–24°C,25,7,40,1,200,0.6,80,15,10,0.9,6.25,1,0
19.72,Seedling,20–24°C,25,7,40,1,200,0.6,80,15,10,0.9,6.25,1,0
21.16,Seedling,20–24°C,25,7,40,1,200,0.6,80,15,10,0.9,6.25,1,0
22.6,Seedling,20–24°C,25,7,40,1,200,0.6,80,15,10,0.9,6.25,1,0
24.04,Seedling,20–24°C,25,7,40,1,200,0.6,80,15,10,0.9,6.25,1,0
25.48,Seedling,20–24°C,25,7,40,1,200,0.6,80,15,10,0.9,6.25,1,0
26.92,Seedling,20–24°C,25,7,40,1,200,0.6,80,15,10,0.9,6.25,1,0
28.36,Seedling,20–24°C,25,7,40,1,200,0.6,80,15,10,0.9,6.25,1,0
29.8,Seedling,20–24°C,25,7,40,1,200,0.6,80,15,10,0.9,6.25,1,0
31.24,Seedling,20–24°C,25,7.72,40,1,200,0.6,80,15,10,0.9,6.25,1,0
32.68,Seedling,20–24°C,25,10,40,1,200,0.6,80,15,10,0.9,6.25,1,0
34.12,Seedling,20–24°C,25,10,40,1,200,0.6,80,15,10,0.9,6.25,1,0
35.56,Seedling,20–24°C,25,10,40,1,200,0.6,80,15,10,0.9,6.25,1,0
37,Seedling,20–24°C,25,10,40,1,200,0.6,80,15,10,0.9,6.25,1,0
