Day,Stage,Temperature (°C),Blue (450 nm),Green (%),Red (660 nm),Far-Red (730 nm),PPFD (µmol/m²/s),Target VPD (kPa),Max Humidity (%),Afternoon Temp (°C),Night Temp (°C),EC,PH,Veg,Fruit
1,Seedling,20–24°C,20,5,45,6,350,0.6,75,24,18,0.7,6,1,0
2,Seedling,20–24°C,20,5,45,6,350,0.6,75,24,18,0.7,6,1,0
3,Seedling,20–24°C,20,5,45,6,350,0.6,75,24,18,0.7,6,1,0
4,Seedling,20–24°C,20,5,45,6,350,0.6,75,24,18,0.7,6,1,0
5,Seedling,20–24°C,20,5,45,6,350,0.6,75,24,18,0.7,6,1,0
6,Seedling,20–24°C,20,5,45,6,350,0.6,75,24,18,0.7,6,1,0
7,Seedling,20–24°C,20,5,45,6,350,0.6,75,24,18,0.7,6,1,0
8,Seedling,20–24°C,20,5,45,6,350,0.6,75,24,18,0.7,6,1,0
9,Seedling,20–24°C,20,5,45,6,350,0.6,75,24,18,0.7,6,1,0
10,Seedling,20–24°C,20,5,45,6,350,0.6,75,24,18,0.7,6,1,0
11,Seedling,20–24°C,20,6.18,45,6,350,0.6,75,24,18,0.7,6,1,0
12,Seedling,20–24°C,20,7,45,6,350,0.6,75,24,18,0.7,6,1,0
13,Seedling,20–24°C,20,7,45,6,350,0.6,75,24,18,0.7,6,1,0
14,Seedling,20–24°C,20,7,45,6,350,0.6,75,24,18,0.7,6,1,0
15,Seedling,20–24°C,20,7,45,6,350,0.6,75,24,18,0.7,6,1,0
16,Seedling,20–24°C,20,7,45,6,350,0.6,75,24,18,0.7,6,1,0
17,Seedling,20–24°C,20,7,45,6,350,0.6,75,24,18,0.7,6,1,0
18,Seedling,20–24°C,20,7,45,6,350,0.6,75,24,18,0.7,6,1,0
19,Seedling,20–24°C,20,7,45,6,350,0.6,75,24,18,0.7,6,1,0
20,Seedling,20–24°C,20,7,45,6,350,0.6,75,24,18,0.7,6,1,0
21,Seedling,20–24°C,20,7,45,6,350,0.6,75,24,18,0.7,6,1,0
22,Seedling,20–24°C,20,7,45,6,350,0.6,75,24,18,0.7,6,1,0
23,Seedling,20–24°C,20,7,45,6,350,0.6,75,24,18,0.7,6,1,0
24,Seedling,20–24°C,20,7,45,6,350,0.6,75,24,18,0.7,6,1,0
25,Seedling,20–24°C,20,7,45,6,350,0.6,75,24,18,0.7,6,1,0
26,Seedling,20–24°C,20,7,45,6,350,0.6,75,24,18,0.7,6,1,0
27,Seedling,20–24°C,20,7,45,6,350,0.6,75,24,18,0.7,6,1,0
28,Seedling,20–24°C,20,7,45,6,350,0.6,75,24,18,0.7,6,1,0
29,Seedling,20–24°C,20,7,45,6,350,0.6,75,24,18,0.7,6,1,0
30,Seedling,20–24°C,20,9.12,45,6,350,0.6,75,24,18,0.7,6,1,0
31,Seedling,20–24°C,20,10,45,6,350,0.6,75,24,18,0.7,6,1,0
32,Seedling,20–24°C,20,10,45,6,350,0.6,75,24,18,0.7,6,1,0
33,Seedling,20–24°C,20,10,45,6,350,0.6,75,24,18,0.7,6,1,0
34,Seedling,20–24°C,20,10,45,6,350,0.6,75,24,18,0.7,6,1,0
35,Seedling,20–24°C,20,10,45,6,350,0.6,75,24,18,0.7,6,1,0
