Day,Stage,VPD,Humidity,Temperature (°C),Blue (450 nm),Green (%),Red (660 nm),Far-Red (730 nm),PPFD (µmol/m²/s),EC,PH,Veg,Fruit
1,Seedling,,,22–26°C,45,5,45,0,100,1,6,1,0
2,Seedling,,,22–26°C,45,5,45,0,103.39,1,6,1,0
3,Seedling,,,22–26°C,45,5,45,0,106.78,1,6,1,0
4,Seedling,,,22–26°C,45,5,45,0,110.17,1,6,1,0
5,Seedling,,,22–26°C,45,5,45,0,113.56,1,6,1,0
6,Seedling,,,22–26°C,45,5,45,0,116.95,1,6,1,0
7,Seedling,,,22–26°C,45,5,45,0,120.34,1,6,1,0
8,Seedling,,,22–26°C,45,5,45,0,123.73,1,6,1,0
9,Seedling,,,22–26°C,45,5,45,0,127.12,1,6,1,0
10,Seedling,,,22–26°C,42.88,5,42.88,2.12,130.51,1,6,1,0
11,Juvenile,,,22–26°C,40.42,5,40.42,4.58,133.9,1,6,1,0
12,Juvenile,,,22–26°C,40,5,40,5,137.29,1,6,1,0
13,Juvenile,,,22–26°C,40,5,40,5,140.68,1,6,1,0
14,Juvenile,,,22–26°C,40,5,40,5,144.07,1,6,1,0
15,Juvenile,,,22–26°C,40,5,40,5,147.46,1,6,1,0
16,Juvenile,,,22–26°C,40,5,40,5,150.85,1,6,1,0
17,Juvenile,,,22–26°C,40,5,40,5,154.24,1,6,1,0
18,Juvenile,,,22–26°C,40,5.71,40,5,157.63,1,6,1,0
19,Juvenile,,,22–26°C,40,6.69,40,5,161.02,1,6,1,0
20,Juvenile,,,22–26°C,40,7,40,5,164.41,1,6,1,0
21,Juvenile,,,22–26°C,40,7,40,5,167.8,1,6,1,0
22,Juvenile,,,22–26°C,40,7,40,5,171.19,1,6,1,0
23,Juvenile,,,22–26°C,40,7,40,5,174.58,1,6,1,0
24,Juvenile,,,22–26°C,40,7,40,5,177.97,1,6,1,0
25,Juvenile,,,22–26°C,40,7,40,5,181.36,1,6,1,0
26,Juvenile,,,22–26°C,40,7,40,5,184.75,1,6,1,0
27,Juvenile,,,22–26°C,40,7,40,5,188.14,1,6,1,0
28,Juvenile,,,22–26°C,40,7,40,5,191.53,1,6,1,0
29,Juvenile,,,22–26°C,40,7,40,5,194.92,1,6,1,0
30,Juvenile,,,22–26°C,38.73,7,42.54,5,198.3,1,6,1,0
31,Growth,,,22–26°C,36.27,7,47.46,5,201.7,1.5,6,1,0
32,Growth,,,22–26°C,35,7,50,5,205.08,1.5,6,1,0
33,Growth,,,22–26°C,35,7,50,5,208.47,1.5,6,1,0
34,Growth,,,22–26°C,35,7,50,5,211.86,1.5,6,1,0
35,Growth,,,22–26°C,35,7,50,5,215.25,1.5,6,1,0
36,Growth,,,22–26°C,35,7,50,5,218.64,1.5,6,1,0
37,Growth,,,22–26°C,35,7,50,5,222.03,1.5,6,1,0
38,Growth,,,22–26°C,35,7,50,5,225.42,1.5,6,1,0
39,Growth,,,22–26°C,35,7,50,5,228.81,1.5,6,1,0
40,Growth,,,22–26°C,35,7,50,5,232.2,1.5,6,1,0
41,Growth,,,22–26°C,35,7,50,5,235.59,1.5,6,1,0
42,Growth,,,22–26°C,35,7,50,5,238.98,1.5,6,1,0
43,Growth,,,22–26°C,35,7,50,5,242.37,1.5,6,1,0
44,Growth,,,22–26°C,35,7,50,5,245.76,1.5,6,1,0
45,Growth,,,22–26°C,35,7,50,5,249.15,1.5,6,1,0
46,Growth,,,22–26°C,35,7,50,5,252.54,1.5,6,1,0
47,Growth,,,22–26°C,35,7,50,5,255.93,1.5,6,1,0
48,Growth,,,22–26°C,35.51,7.31,49.49,5,259.32,1.5,6,1,0
49,Late Growth,,,22–26°C,37.97,8.78,47.03,5,262.71,1.5,6,1,0
50,Late Growth,,,22–26°C,40,10,45,5,266.1,1.5,6,1,0
51,Late Growth,,,22–26°C,40,10,45,5,269.49,1.5,6,1,0
52,Late Growth,,,22–26°C,40,10,45,5,272.88,1.5,6,1,0
53,Late Growth,,,22–26°C,40,10,45,5,276.27,1.5,6,1,0
54,Late Growth,,,22–26°C,40,10,45,5,279.66,1.5,6,1,0
55,Late Growth,,,22–26°C,40,10,45,5,283.05,1.5,6,1,0
56,Late Growth,,,22–26°C,40,10,45,5,286.44,1.5,6,1,0
57,Late Growth,,,22–26°C,40,10,45,5,289.83,1.5,6,1,0
58,Late Growth,,,22–26°C,40,10,45,5,293.22,1.5,6,1,0
59,Late Growth,,,22–26°C,40,10,45,5,296.61,1.5,6,1,0
60,Late Growth,,,22–26°C,40,10,45,5,300,1.5,6,1,0
