Day,Stage,VPD,Humidity,Temperature (°C),Blue (450 nm),Green (%),Red (660 nm),Far-Red (730 nm),PPFD (µmol/m²/s),EC,PH,Veg,Fruit
1,Establishment,,,18–22°C,30,5,50,5,150,1.15,5.75,1,0
2,Establishment,,,18–22°C,30,5,50,5,153.24,1.15,5.75,1,0
3,Establishment,,,18–22°C,30,5,50,5,156.48,1.15,5.75,1,0
4,Establishment,,,18–22°C,30,5,50,5,159.71,1.15,5.75,1,0
5,Establishment,,,18–22°C,30,5,50,5,162.95,1.15,5.75,1,0
6,Establishment,,,18–22°C,30,5,50,5,166.18,1.15,5.75,1,0
7,Establishment,,,18–22°C,30,5,50,5,169.42,1.15,5.75,1,0
8,Establishment,,,18–22°C,30,5,50,5,172.66,1.15,5.75,1,0
9,Establishment,,,18–22°C,30,5,50,5,175.9,1.15,5.75,1,0
10,Establishment,,,18–22°C,30,5,50,5,179.14,1.15,5.75,1,0
11,Establishment,,,18–22°C,30,5,50,5,182.38,1.15,5.75,1,0
12,Establishment,,,18–22°C,30,5,50,5,185.61,1.15,5.75,1,0
13,Establishment,,,18–22°C,30,5,50,5,188.85,1.15,5.75,1,0
14,Establishment,,,18–22°C,30,5,50,5,192.09,1.15,5.75,1,0
15,Establishment,,,18–22°C,30,5,50,5,195.32,1.15,5.75,1,0
16,Establishment,,,18–22°C,30,5,50,5,198.56,1.15,5.75,1,0
17,Establishment,,,18–22°C,30,5,50,5,201.8,1.15,5.75,1,0
18,Establishment,,,18–22°C,30,5,50,5,205.04,1.15,5.75,1,0
19,Establishment,,,18–22°C,30,5,50,5,208.28,1.15,5.75,1,0
20,Establishment,,,18–22°C,30,5,50,5,211.51,1.15,5.75,1,0
21,Establishment,,,18–22°C,30,5,50,5,214.75,1.15,5.75,1,0
22,Establishment,,,18–22°C,30,5,50,5,217.98,1.15,5.75,1,0
23,Establishment,,,18–22°C,30,5,50,5,221.22,1.15,5.75,1,0
24,Establishment,,,18–22°C,30,5,50,5,224.46,1.15,5.75,1,0
25,Establishment,,,18–22°C,30,5,50,5,227.7,1.15,5.75,1,0
26,Establishment,,,18–22°C,30,5,50,5,230.94,1.15,5.75,1,0
27,Establishment,,,18–22°C,30,5,50,5,234.17,1.15,5.75,1,0
28,Establishment,,,18–22°C,30,5,50,5,237.41,1.15,5.75,1,0
29,Establishment,,,18–22°C,30,5,50,5,240.65,1.15,5.75,1,0
30,Establishment,,,18–22°C,30,5,50,5,243.89,1.15,5.75,1,0
31,Establishment,,,18–22°C,30,5,50,5,247.12,1.15,5.75,1,0
32,Establishment,,,18–22°C,30,5,50,5,250.36,1.15,5.75,1,0
33,Establishment,,,18–22°C,30,5,50,5,253.6,1.15,5.75,1,0
34,Vegetative,,,18–22°C,30,5,50,5,256.83,1.45,5.75,1,0
35,Vegetative,,,18–22°C,29.83,5,50.17,5,260.07,1.45,5.75,1,0
36,Vegetative,,,18–22°C,29.67,5,50.33,5,263.31,1.45,5.75,1,0
37,Vegetative,,,18–22°C,29.51,5,50.49,5,266.55,1.45,5.75,1,0
38,Vegetative,,,18–22°C,29.34,5,50.66,5,269.78,1.45,5.75,1,0
39,Vegetative,,,18–22°C,29.18,5,50.82,5,273.02,1.45,5.75,1,0
40,Vegetative,,,18–22°C,29.02,5,50.98,5,276.26,1.45,5.75,1,0
41,Vegetative,,,18–22°C,28.85,5,51.15,5,279.5,1.45,5.75,1,0
42,Vegetative,,,18–22°C,28.69,5.81,51.31,5,282.73,1.45,5.75,1,0
43,Vegetative,,,18–22°C,28.53,6.65,51.47,5,285.97,1.45,5.75,1,0
44,Vegetative,,,18–22°C,28.36,7,51.64,5,289.21,1.45,5.75,1,0
45,Vegetative,,,18–22°C,28.2,7,51.8,5,292.45,1.45,5.75,1,0
46,Vegetative,,,18–22°C,28.04,7,51.96,5,295.69,1.45,5.75,1,0
47,Vegetative,,,18–22°C,27.87,7,52.13,5,298.92,1.45,5.75,1,0
48,Vegetative,,,18–22°C,27.71,7,52.29,5,302.16,1.45,5.75,1,0
49,Vegetative,,,18–22°C,27.55,7,52.45,5,305.39,1.45,5.75,1,0
50,Vegetative,,,18–22°C,27.39,7,52.61,5,308.63,1.45,5.75,1,0
51,Vegetative,,,18–22°C,27.22,7,52.78,5,311.87,1.45,5.75,1,0
52,Vegetative,,,18–22°C,27.06,7,52.94,5,315.11,1.45,5.75,1,0
53,Vegetative,,,18–22°C,26.9,7,53.1,5,318.35,1.45,5.75,1,0
54,Vegetative,,,18–22°C,26.73,7,53.27,5,321.58,1.45,5.75,1,0
55,Vegetative,,,18–22°C,26.57,7,53.43,5,324.82,1.45,5.75,1,0
56,Vegetative,,,18–22°C,26.41,7,53.59,5,328.05,1.45,5.75,1,0
57,Vegetative,,,18–22°C,26.24,7,53.76,5,331.29,1.45,5.75,1,0
58,Vegetative,,,18–22°C,26.08,7,53.92,5,334.53,1.45,5.75,1,0
59,Vegetative,,,18–22°C,25.92,7,54.08,5,337.77,1.45,5.75,1,0
60,Vegetative,,,18–22°C,25.75,7,54.25,5,341.01,1.45,5.75,1,0
61,Vegetative,,,18–22°C,25.59,7,54.41,5,344.25,1.45,5.75,1,0
62,Vegetative,,,18–22°C,25.43,7,54.57,5,347.49,1.45,5.75,1,0
63,Vegetative,,,18–22°C,25.26,7,54.74,5,350.72,1.45,5.75,1,0
64,Vegetative,,,18–22°C,25.1,7,54.9,5,353.96,1.45,5.75,1,0
65,Vegetative,,,18–22°C,25,7,55,5,357.19,1.45,5.75,1,0
66,Vegetative,,,18–22°C,25,7,55,5,360.43,1.45,5.75,1,0
67,Flowering,,,18–22°C,24.99,7,55,5.01,363.67,1.8,5.75,0,1
68,Flowering,,,18–22°C,24.83,7,55,5.17,366.91,1.8,5.75,0,1
69,Flowering,,,18–22°C,24.67,7,55,5.33,370.15,1.8,5.75,0,1
70,Flowering,,,18–22°C,24.5,7,55,5.5,373.38,1.8,5.75,0,1
71,Flowering,,,18–22°C,24.34,7,55,5.66,376.62,1.8,5.75,0,1
72,Flowering,,,18–22°C,24.18,7,55,5.82,379.85,1.8,5.75,0,1
73,Flowering,,,18–22°C,24.01,7,55,5.99,383.09,1.8,5.75,0,1
74,Flowering,,,18–22°C,23.85,7,55,6.15,386.33,1.8,5.75,0,1
75,Flowering,,,18–22°C,23.69,7,55,6.31,389.57,1.8,5.75,0,1
76,Flowering,,,18–22°C,23.53,7,55,6.47,392.81,1.8,5.75,0,1
77,Flowering,,,18–22°C,23.36,7,55,6.64,396.04,1.8,5.75,0,1
78,Flowering,,,18–22°C,23.2,7,55,6.8,399.28,1.8,5.75,0,1
79,Flowering,,,18–22°C,23.04,7,55,6.96,402.51,1.8,5.75,0,1
80,Flowering,,,18–22°C,22.87,7,55,7.13,405.75,1.8,5.75,0,1
81,Flowering,,,18–22°C,22.71,7,55,7.29,408.99,1.8,5.75,0,1
82,Flowering,,,18–22°C,22.55,7,55,7.45,412.23,1.8,5.75,0,1
83,Flowering,,,18–22°C,22.38,7,55,7.62,415.47,1.8,5.75,0,1
84,Flowering,,,18–22°C,22.22,7,55,7.78,418.71,1.8,5.75,0,1
85,Flowering,,,18–22°C,22.06,7,55,7.94,421.95,1.8,5.75,0,1
86,Flowering,,,18–22°C,21.89,7,55,8.11,425.18,1.8,5.75,0,1
87,Flowering,,,18–22°C,21.73,7,55,8.27,428.42,1.8,5.75,0,1
88,Flowering,,,18–22°C,21.57,7,55,8.43,431.65,1.8,5.75,0,1
89,Flowering,,,18–22°C,21.4,7,55,8.6,434.89,1.8,5.75,0,1
90,Flowering,,,18–22°C,21.24,7,55,8.76,438.13,1.8,5.75,0,1
91,Flowering,,,18–22°C,21.08,7,55,8.92,441.37,1.8,5.75,0,1
92,Flowering,,,18–22°C,20.91,7,55,9.09,444.61,1.8,5.75,0,1
93,Flowering,,,18–22°C,20.75,7,55,9.25,447.84,1.8,5.75,0,1
94,Flowering,,,18–22°C,20.59,7,55,9.41,451.08,1.8,5.75,0,1
95,Flowering,,,18–22°C,20.42,7,55,9.58,454.31,1.8,5.75,0,1
96,Flowering,,,18–22°C,20.26,7,55,9.74,457.55,1.8,5.75,0,1
97,Flowering,,,18–22°C,20.1,7,55,9.9,460.79,1.8,5.75,0,1
98,Flowering,,,18–22°C,20,7,55,10,464.03,1.8,5.75,0,1
99,Flowering,,,18–22°C,20,7,55,10,467.27,1.8,5.75,0,1
100,Fruiting,,,18–22°C,19.99,7,55,10.01,470.5,1.8,5.75,0,1
101,Fruiting,,,18–22°C,19.87,7,55,10.13,473.74,1.8,5.75,0,1
102,Fruiting,,,18–22°C,19.74,7,55,10.26,476.98,1.8,5.75,0,1
103,Fruiting,,,18–22°C,19.62,7,55,10.38,480.22,1.8,5.75,0,1
104,Fruiting,,,18–22°C,19.49,7,55,10.51,483.45,1.8,5.75,0,1
105,Fruiting,,,18–22°C,19.37,7,55,10.63,486.69,1.8,5.75,0,1
106,Fruiting,,,18–22°C,19.24,7,55,10.76,489.93,1.8,5.75,0,1
107,Fruiting,,,18–22°C,19.12,7,55,10.88,493.17,1.8,5.75,0,1
108,Fruiting,,,18–22°C,18.99,7,55,11.01,496.4,1.8,5.75,0,1
109,Fruiting,,,18–22°C,18.87,7,55,11.13,499.64,1.8,5.75,0,1
110,Fruiting,,,18–22°C,18.75,7,55,11.25,502.88,1.8,5.75,0,1
111,Fruiting,,,18–22°C,18.62,7,55,11.38,506.11,1.8,5.75,0,1
112,Fruiting,,,18–22°C,18.5,7,55,11.5,509.35,1.8,5.75,0,1
113,Fruiting,,,18–22°C,18.37,7,55,11.63,512.59,1.8,5.75,0,1
114,Fruiting,,,18–22°C,18.25,7,55,11.75,515.83,1.8,5.75,0,1
115,Fruiting,,,18–22°C,18.12,7,55,11.88,519.06,1.8,5.75,0,1
116,Fruiting,,,18–22°C,18,7,55,12,522.3,1.8,5.75,0,1
117,Fruiting,,,18–22°C,17.87,7,55,12.13,525.54,1.8,5.75,0,1
118,Fruiting,,,18–22°C,17.75,7,55,12.25,528.78,1.8,5.75,0,1
119,Fruiting,,,18–22°C,17.62,7,55,12.38,532.02,1.8,5.75,0,1
120,Fruiting,,,18–22°C,17.5,7,55,12.5,535.25,1.8,5.75,0,1
121,Fruiting,,,18–22°C,17.37,7,55,12.63,538.49,1.8,5.75,0,1
122,Fruiting,,,18–22°C,17.25,7,55,12.75,541.72,1.8,5.75,0,1
123,Fruiting,,,18–22°C,17.12,7,55,12.88,544.96,1.8,5.75,0,1
124,Fruiting,,,18–22°C,17,7,55,13,548.2,1.8,5.75,0,1
125,Fruiting,,,18–22°C,16.87,7,55,13.13,551.44,1.8,5.75,0,1
126,Fruiting,,,18–22°C,16.75,7.17,55,13.25,554.68,1.8,5.75,0,1
127,Fruiting,,,18–22°C,16.62,8.45,55,13.38,557.91,1.8,5.75,0,1
128,Fruiting,,,18–22°C,16.5,9.72,55,13.5,561.15,1.8,5.75,0,1
129,Fruiting,,,18–22°C,16.37,10,55,13.63,564.39,1.8,5.75,0,1
130,Fruiting,,,18–22°C,16.25,10,55,13.75,567.62,1.8,5.75,0,1
131,Fruiting,,,18–22°C,16.12,10,55,13.88,570.86,1.8,5.75,0,1
132,Fruiting,,,18–22°C,16,10,55,14,574.1,1.8,5.75,0,1
133,Fruiting,,,18–22°C,15.87,10,55,14.13,577.34,1.8,5.75,0,1
134,Fruiting,,,18–22°C,15.75,10,55,14.25,580.58,1.8,5.75,0,1
135,Fruiting,,,18–22°C,15.62,10,55,14.38,583.82,1.8,5.75,0,1
136,Fruiting,,,18–22°C,15.5,10,55,14.5,587.05,1.8,5.75,0,1
137,Fruiting,,,18–22°C,15.37,10,55,14.63,590.29,1.8,5.75,0,1
138,Fruiting,,,18–22°C,15.25,10,55,14.75,593.52,1.8,5.75,0,1
139,Fruiting,,,18–22°C,15.12,10,55,14.88,596.76,1.8,5.75,0,1
140,Fruiting,,,18–22°C,15,10,55,15,600,1.8,5.75,0,1
