Day,Stage,VPD,Humidity,Temperature (°C),Blue (450 nm),Green (%),Red (660 nm),Far-Red (730 nm),PPFD (µmol/m²/s),EC,PH,Veg,Fruit
1,Seedling,,,22–26°C,45,5,45,0,100,1,6,1,0
2,Seedling,,,22–26°C,45,5,45,0,105.89,1,6,1,0
3,Seedling,,,22–26°C,45,5,45,0,111.76,1,6,1,0
4,Seedling,,,22–26°C,45,5,45,0,117.65,1,6,1,0
5,Seedling,,,22–26°C,45,5,45,0,123.53,1,6,1,0
6,Seedling,,,22–26°C,43.68,5,43.68,1.32,129.41,1,6,1,0
7,Juvenile,,,22–26°C,40,5,40,5,135.29,1,6,1,0
8,Juvenile,,,22–26°C,40,5,40,5,141.18,1,6,1,0
9,Juvenile,,,22–26°C,40,5,40,5,147.06,1,6,1,0
10,Juvenile,,,22–26°C,40,5,40,5,152.94,1,6,1,0
11,Juvenile,,,22–26°C,40,6.06,40,5,158.82,1,6,1,0
12,Juvenile,,,22–26°C,40,7,40,5,164.71,1,6,1,0
13,Juvenile,,,22–26°C,40,7,40,5,170.59,1,6,1,0
14,Juvenile,,,22–26°C,40,7,40,5,176.47,1,6,1,0
15,Juvenile,,,22–26°C,40,7,40,5,182.35,1,6,1,0
16,Juvenile,,,22–26°C,40,7,40,5,188.24,1,6,1,0
17,Juvenile,,,22–26°C,40,7,40,5,194.12,1,6,1,0
18,Juvenile,,,22–26°C,37.5,7,45,5,200,1,6,1,0
19,Growth,,,22–26°C,35,7,50,5,205.88,1.5,6,1,0
20,Growth,,,22–26°C,35,7,50,5,211.76,1.5,6,1,0
21,Growth,,,22–26°C,35,7,50,5,217.65,1.5,6,1,0
22,Growth,,,22–26°C,35,7,50,5,223.53,1.5,6,1,0
23,Growth,,,22–26°C,35,7,50,5,229.41,1.5,6,1,0
24,Growth,,,22–26°C,35,7,50,5,235.29,1.5,6,1,0
25,Growth,,,22–26°C,35,7,50,5,241.18,1.5,6,1,0
26,Growth,,,22–26°C,35,7,50,5,247.06,1.5,6,1,0
27,Growth,,,22–26°C,35,7,50,5,252.94,1.5,6,1,0
28,Growth,,,22–26°C,35.15,7.09,49.85,5,258.82,1.5,6,1,0
29,Late Growth,,,22–26°C,39.41,9.65,45.59,5,264.71,1.5,6,1,0
30,Late Growth,,,22–26°C,40,10,45,5,270.59,1.5,6,1,0
31,Late Growth,,,22–26°C,40,10,45,5,276.47,1.5,6,1,0
32,Late Growth,,,22–26°C,40,10,45,5,282.35,1.5,6,1,0
33,Late Growth,,,22–26°C,40,10,45,5,288.24,1.5,6,1,0
34,Late Growth,,,22–26°C,40,10,45,5,294.11,1.5,6,1,0
35,Late Growth,,,22–26°C,40,10,45,5,300,1.5,6,1,0
