Day,Stage,VPD,Humidity,Temperature (°C),Blue (450 nm),Green (%),Red (660 nm),Far-Red (730 nm),PPFD (µmol/m²/s),EC,PH,Veg,Fruit
1,Seedling,,,24–28°C,30,5,55,5,150,1.25,6.05,1,0
2,Seedling,,,24–28°C,30,5,55,5,153.95,1.25,6.05,1,0
3,Seedling,,,24–28°C,30,5,55,5,157.9,1.25,6.05,1,0
4,Seedling,,,24–28°C,30,5,55,5,161.84,1.25,6.05,1,0
5,Seedling,,,24–28°C,30,5,55,5,165.79,1.25,6.05,1,0
6,Seedling,,,24–28°C,30,5,55,5,169.73,1.25,6.05,1,0
7,Seedling,,,24–28°C,30,5,55,5,173.68,1.25,6.05,1,0
8,Seedling,,,24–28°C,30,5,55,5,177.63,1.25,6.05,1,0
9,Seedling,,,24–28°C,30,5,55,5,181.58,1.25,6.05,1,0
10,Seedling,,,24–28°C,30,5,55,5,185.53,1.25,6.05,1,0
11,Seedling,,,24–28°C,30,5,55,5,189.48,1.25,6.05,1,0
12,Seedling,,,24–28°C,30,5,55,5,193.42,1.25,6.05,1,0
13,Seedling,,,24–28°C,30,5,55,5,197.37,1.25,6.05,1,0
14,Seedling,,,24–28°C,30,5,55,5,201.32,1.25,6.05,1,0
15,Seedling,,,24–28°C,30,5,55,5,205.26,1.25,6.05,1,0
16,Seedling,,,24–28°C,30,5,55,5,209.21,1.25,6.05,1,0
17,Seedling,,,24–28°C,30,5,55,5,213.16,1.25,6.05,1,0
18,Seedling,,,24–28°C,30,5,55,5,217.1,1.25,6.05,1,0
19,Seedling,,,24–28°C,30,5,55,5,221.05,1.25,6.05,1,0
20,Seedling,,,24–28°C,30,5,55,5,225,1.25,6.05,1,0
21,Seedling,,,24–28°C,30,5,55,5,228.95,1.25,6.05,1,0
22,Seedling,,,24–28°C,30,5,55,5,232.9,1.25,6.05,1,0
23,Seedling,,,24–28°C,30,5,55,5,236.84,1.25,6.05,1,0
24,Seedling,,,24–28°C,30,5,55,5,240.79,1.25,6.05,1,0
25,Seedling,,,24–28°C,30,5,55,5,244.74,1.25,6.05,1,0
