Day,Stage,VPD,Humidity,Temperature (°C),Blue (450 nm),Green (%),Red (660 nm),Far-Red (730 nm),PPFD (µmol/m²/s),EC,PH,Veg,Fruit
1,Seedling,,,22–26°C,45,5,45,0,100,1,6,1,0
2,Seedling,,,22–26°C,45,5,45,0,104.08,1,6,1,0
3,Seedling,,,22–26°C,45,5,45,0,108.17,1,6,1,0
4,Seedling,,,22–26°C,45,5,45,0,112.24,1,6,1,0
5,Seedling,,,22–26°C,45,5,45,0,116.32,1,6,1,0
6,Seedling,,,22–26°C,45,5,45,0,120.41,1,6,1,0
7,Seedling,,,22–26°C,45,5,45,0,124.49,1,6,1,0
8,Seedling,,,22–26°C,44.29,5,44.29,0.71,128.57,1,6,1,0
9,Juvenile,,,22–26°C,41.33,5,41.33,3.67,132.65,1,6,1,0
10,Juvenile,,,22–26°C,40,5,40,5,136.73,1,6,1,0
11,Juvenile,,,22–26°C,40,5,40,5,140.82,1,6,1,0
12,Juvenile,,,22–26°C,40,5,40,5,144.9,1,6,1,0
13,Juvenile,,,22–26°C,40,5,40,5,148.98,1,6,1,0
14,Juvenile,,,22–26°C,40,5,40,5,153.06,1,6,1,0
15,Juvenile,,,22–26°C,40,5.57,40,5,157.14,1,6,1,0
16,Juvenile,,,22–26°C,40,6.76,40,5,161.23,1,6,1,0
17,Juvenile,,,22–26°C,40,7,40,5,165.31,1,6,1,0
18,Juvenile,,,22–26°C,40,7,40,5,169.39,1,6,1,0
19,Juvenile,,,22–26°C,40,7,40,5,173.47,1,6,1,0
20,Juvenile,,,22–26°C,40,7,40,5,177.55,1,6,1,0
21,Juvenile,,,22–26°C,40,7,40,5,181.63,1,6,1,0
22,Juvenile,,,22–26°C,40,7,40,5,185.72,1,6,1,0
23,Juvenile,,,22–26°C,40,7,40,5,189.8,1,6,1,0
24,Juvenile,,,22–26°C,40,7,40,5,193.88,1,6,1,0
25,Juvenile,,,22–26°C,38.98,7,42.04,5,197.96,1,6,1,0
26,Growth,,,22–26°C,36.02,7,47.96,5,202.04,1.5,6,1,0
27,Growth,,,22–26°C,35,7,50,5,206.12,1.5,6,1,0
28,Growth,,,22–26°C,35,7,50,5,210.2,1.5,6,1,0
29,Growth,,,22–26°C,35,7,50,5,214.28,1.5,6,1,0
30,Growth,,,22–26°C,35,7,50,5,218.37,1.5,6,1,0
31,Growth,,,22–26°C,35,7,50,5,222.45,1.5,6,1,0
32,Growth,,,22–26°C,35,7,50,5,226.53,1.5,6,1,0
33,Growth,,,22–26°C,35,7,50,5,230.61,1.5,6,1,0
34,Growth,,,22–26°C,35,7,50,5,234.69,1.5,6,1,0
35,Growth,,,22–26°C,35,7,50,5,238.77,1.5,6,1,0
36,Growth,,,22–26°C,35,7,50,5,242.86,1.5,6,1,0
37,Growth,,,22–26°C,35,7,50,5,246.94,1.5,6,1,0
38,Growth,,,22–26°C,35,7,50,5,251.02,1.5,6,1,0
39,Growth,,,22–26°C,35,7,50,5,255.1,1.5,6,1,0
40,Growth,,,22–26°C,35.41,7.24,49.59,5,259.18,1.5,6,1,0
41,Late Growth,,,22–26°C,38.37,9.02,46.63,5,263.27,1.5,6,1,0
42,Late Growth,,,22–26°C,40,10,45,5,267.35,1.5,6,1,0
43,Late Growth,,,22–26°C,40,10,45,5,271.43,1.5,6,1,0
44,Late Growth,,,22–26°C,40,10,45,5,275.51,1.5,6,1,0
45,Late Growth,,,22–26°C,40,10,45,5,279.59,1.5,6,1,0
46,Late Growth,,,22–26°C,40,10,45,5,283.68,1.5,6,1,0
47,Late Growth,,,22–26°C,40,10,45,5,287.76,1.5,6,1,0
48,Late Growth,,,22–26°C,40,10,45,5,291.83,1.5,6,1,0
49,Late Growth,,,22–26°C,40,10,45,5,295.92,1.5,6,1,0
50,Late Growth,,,22–26°C,40,10,45,5,300,1.5,6,1,0
