Day,Stage,VPD,Humidity,Temperature (°C),Blue (450 nm),Green (%),Red (660 nm),Far-Red (730 nm),PPFD (µmol/m²/s),EC,PH,Veg,Fruit
1,Establishment,,,18–22°C,30,5,50,5,150,1.15,5.75,1,0
2,Establishment,,,18–22°C,30,5,50,5,153.02,1.15,5.75,1,0
3,Establishment,,,18–22°C,30,5,50,5,156.04,1.15,5.75,1,0
4,Establishment,,,18–22°C,30,5,50,5,159.06,1.15,5.75,1,0
5,Establishment,,,18–22°C,30,5,50,5,162.08,1.15,5.75,1,0
6,Establishment,,,18–22°C,30,5,50,5,165.1,1.15,5.75,1,0
7,Establishment,,,18–22°C,30,5,50,5,168.12,1.15,5.75,1,0
8,Establishment,,,18–22°C,30,5,50,5,171.14,1.15,5.75,1,0
9,Establishment,,,18–22°C,30,5,50,5,174.16,1.15,5.75,1,0
10,Establishment,,,18–22°C,30,5,50,5,177.18,1.15,5.75,1,0
11,Establishment,,,18–22°C,30,5,50,5,180.2,1.15,5.75,1,0
12,Establishment,,,18–22°C,30,5,50,5,183.22,1.15,5.75,1,0
13,Establishment,,,18–22°C,30,5,50,5,186.25,1.15,5.75,1,0
14,Establishment,,,18–22°C,30,5,50,5,189.27,1.15,5.75,1,0
15,Establishment,,,18–22°C,30,5,50,5,192.28,1.15,5.75,1,0
16,Establishment,,,18–22°C,30,5,50,5,195.3,1.15,5.75,1,0
17,Establishment,,,18–22°C,30,5,50,5,198.32,1.15,5.75,1,0
18,Establishment,,,18–22°C,30,5,50,5,201.34,1.15,5.75,1,0
19,Establishment,,,18–22°C,30,5,50,5,204.36,1.15,5.75,1,0
20,Establishment,,,18–22°C,30,5,50,5,207.38,1.15,5.75,1,0
21,Establishment,,,18–22°C,30,5,50,5,210.41,1.15,5.75,1,0
22,Establishment,,,18–22°C,30,5,50,5,213.42,1.15,5.75,1,0
23,Establishment,,,18–22°C,30,5,50,5,216.44,1.15,5.75,1,0
24,Establishment,,,18–22°C,30,5,50,5,219.46,1.15,5.75,1,0
25,Establishment,,,18–22°C,30,5,50,5,222.48,1.15,5.75,1,0
26,Establishment,,,18–22°C,30,5,50,5,225.5,1.15,5.75,1,0
27,Establishment,,,18–22°C,30,5,50,5,228.52,1.15,5.75,1,0
28,Establishment,,,18–22°C,30,5,50,5,231.54,1.15,5.75,1,0
29,Establishment,,,18–22°C,30,5,50,5,234.57,1.15,5.75,1,0
30,Establishment,,,18–22°C,30,5,50,5,237.59,1.15,5.75,1,0
31,Establishment,,,18–22°C,30,5,50,5,240.61,1.15,5.75,1,0
32,Establishment,,,18–22°C,30,5,50,5,243.63,1.15,5.75,1,0
33,Establishment,,,18–22°C,30,5,50,5,246.64,1.15,5.75,1,0
34,Establishment,,,18–22°C,30,5,50,5,249.66,1.15,5.75,1,0
35,Establishment,,,18–22°C,30,5,50,5,252.68,1.15,5.75,1,0
36,Vegetative,,,18–22°C,30,5,50,5,255.7,1.45,5.75,1,0
37,Vegetative,,,18–22°C,29.9,5,50.1,5,258.73,1.45,5.75,1,0
38,Vegetative,,,18–22°C,29.75,5,50.25,5,261.75,1.45,5.75,1,0
39,Vegetative,,,18–22°C,29.6,5,50.4,5,264.77,1.45,5.75,1,0
40,Vegetative,,,18–22°C,29.45,5,50.55,5,267.79,1.45,5.75,1,0
41,Vegetative,,,18–22°C,29.29,5,50.71,5,270.8,1.45,5.75,1,0
42,Vegetative,,,18–22°C,29.14,5,50.86,5,273.82,1.45,5.75,1,0
43,Vegetative,,,18–22°C,28.99,5,51.01,5,276.84,1.45,5.75,1,0
44,Vegetative,,,18–22°C,28.84,5.05,51.16,5,279.86,1.45,5.75,1,0
45,Vegetative,,,18–22°C,28.68,5.85,51.32,5,282.89,1.45,5.75,1,0
46,Vegetative,,,18–22°C,28.53,6.64,51.47,5,285.91,1.45,5.75,1,0
47,Vegetative,,,18–22°C,28.38,7,51.62,5,288.93,1.45,5.75,1,0
48,Vegetative,,,18–22°C,28.23,7,51.77,5,291.95,1.45,5.75,1,0
49,Vegetative,,,18–22°C,28.07,7,51.93,5,294.97,1.45,5.75,1,0
50,Vegetative,,,18–22°C,27.92,7,52.08,5,297.99,1.45,5.75,1,0
51,Vegetative,,,18–22°C,27.77,7,52.23,5,301.01,1.45,5.75,1,0
52,Vegetative,,,18–22°C,27.62,7,52.38,5,304.03,1.45,5.75,1,0
53,Vegetative,,,18–22°C,27.47,7,52.53,5,307.05,1.45,5.75,1,0
54,Vegetative,,,18–22°C,27.31,7,52.69,5,310.07,1.45,5.75,1,0
55,Vegetative,,,18–22°C,27.16,7,52.84,5,313.09,1.45,5.75,1,0
56,Vegetative,,,18–22°C,27.01,7,52.99,5,316.11,1.45,5.75,1,0
57,Vegetative,,,18–22°C,26.86,7,53.14,5,319.13,1.45,5.75,1,0
58,Vegetative,,,18–22°C,26.7,7,53.3,5,322.15,1.45,5.75,1,0
59,Vegetative,,,18–22°C,26.55,7,53.45,5,325.16,1.45,5.75,1,0
60,Vegetative,,,18–22°C,26.4,7,53.6,5,328.19,1.45,5.75,1,0
61,Vegetative,,,18–22°C,26.25,7,53.75,5,331.21,1.45,5.75,1,0
62,Vegetative,,,18–22°C,26.09,7,53.91,5,334.23,1.45,5.75,1,0
63,Vegetative,,,18–22°C,25.94,7,54.06,5,337.25,1.45,5.75,1,0
64,Vegetative,,,18–22°C,25.79,7,54.21,5,340.27,1.45,5.75,1,0
65,Vegetative,,,18–22°C,25.64,7,54.36,5,343.29,1.45,5.75,1,0
66,Vegetative,,,18–22°C,25.49,7,54.51,5,346.31,1.45,5.75,1,0
67,Vegetative,,,18–22°C,25.33,7,54.67,5,349.33,1.45,5.75,1,0
68,Vegetative,,,18–22°C,25.18,7,54.82,5,352.35,1.45,5.75,1,0
69,Vegetative,,,18–22°C,25.03,7,54.97,5,355.37,1.45,5.75,1,0
70,Vegetative,,,18–22°C,25,7,55,5,358.39,1.45,5.75,1,0
71,Flowering,,,18–22°C,25,7,55,5,361.41,1.8,5.75,0,1
72,Flowering,,,18–22°C,24.96,7,55,5.04,364.43,1.8,5.75,0,1
73,Flowering,,,18–22°C,24.8,7,55,5.2,367.45,1.8,5.75,0,1
74,Flowering,,,18–22°C,24.65,7,55,5.35,370.47,1.8,5.75,0,1
75,Flowering,,,18–22°C,24.5,7,55,5.5,373.49,1.8,5.75,0,1
76,Flowering,,,18–22°C,24.35,7,55,5.65,376.51,1.8,5.75,0,1
77,Flowering,,,18–22°C,24.19,7,55,5.81,379.53,1.8,5.75,0,1
78,Flowering,,,18–22°C,24.04,7,55,5.96,382.55,1.8,5.75,0,1
79,Flowering,,,18–22°C,23.89,7,55,6.11,385.57,1.8,5.75,0,1
80,Flowering,,,18–22°C,23.74,7,55,6.26,388.59,1.8,5.75,0,1
81,Flowering,,,18–22°C,23.59,7,55,6.41,391.61,1.8,5.75,0,1
82,Flowering,,,18–22°C,23.43,7,55,6.57,394.63,1.8,5.75,0,1
83,Flowering,,,18–22°C,23.28,7,55,6.72,397.65,1.8,5.75,0,1
84,Flowering,,,18–22°C,23.13,7,55,6.87,400.67,1.8,5.75,0,1
85,Flowering,,,18–22°C,22.98,7,55,7.02,403.69,1.8,5.75,0,1
86,Flowering,,,18–22°C,22.82,7,55,7.18,406.71,1.8,5.75,0,1
87,Flowering,,,18–22°C,22.67,7,55,7.33,409.73,1.8,5.75,0,1
88,Flowering,,,18–22°C,22.52,7,55,7.48,412.75,1.8,5.75,0,1
89,Flowering,,,18–22°C,22.37,7,55,7.63,415.77,1.8,5.75,0,1
90,Flowering,,,18–22°C,22.21,7,55,7.79,418.79,1.8,5.75,0,1
91,Flowering,,,18–22°C,22.06,7,55,7.94,421.81,1.8,5.75,0,1
92,Flowering,,,18–22°C,21.91,7,55,8.09,424.84,1.8,5.75,0,1
93,Flowering,,,18–22°C,21.76,7,55,8.24,427.85,1.8,5.75,0,1
94,Flowering,,,18–22°C,21.61,7,55,8.39,430.87,1.8,5.75,0,1
95,Flowering,,,18–22°C,21.45,7,55,8.55,433.89,1.8,5.75,0,1
96,Flowering,,,18–22°C,21.3,7,55,8.7,436.91,1.8,5.75,0,1
97,Flowering,,,18–22°C,21.15,7,55,8.85,439.93,1.8,5.75,0,1
98,Flowering,,,18–22°C,21,7,55,9,442.95,1.8,5.75,0,1
99,Flowering,,,18–22°C,20.84,7,55,9.16,445.97,1.8,5.75,0,1
100,Flowering,,,18–22°C,20.69,7,55,9.31,448.99,1.8,5.75,0,1
101,Flowering,,,18–22°C,20.54,7,55,9.46,452.01,1.8,5.75,0,1
102,Flowering,,,18–22°C,20.39,7,55,9.61,455.03,1.8,5.75,0,1
103,Flowering,,,18–22°C,20.23,7,55,9.77,458.05,1.8,5.75,0,1
104,Flowering,,,18–22°C,20.08,7,55,9.92,461.07,1.8,5.75,0,1
105,Flowering,,,18–22°C,20,7,55,10,464.09,1.8,5.75,0,1
106,Fruiting,,,18–22°C,20,7,55,10,467.11,1.8,5.75,0,1
107,Fruiting,,,18–22°C,20,7,55,10,470.14,1.8,5.75,0,1
108,Fruiting,,,18–22°C,19.89,7,55,10.11,473.16,1.8,5.75,0,1
109,Fruiting,,,18–22°C,19.77,7,55,10.23,476.18,1.8,5.75,0,1
110,Fruiting,,,18–22°C,19.66,7,55,10.34,479.2,1.8,5.75,0,1
111,Fruiting,,,18–22°C,19.54,7,55,10.46,482.21,1.8,5.75,0,1
112,Fruiting,,,18–22°C,19.43,7,55,10.57,485.23,1.8,5.75,0,1
113,Fruiting,,,18–22°C,19.31,7,55,10.69,488.25,1.8,5.75,0,1
114,Fruiting,,,18–22°C,19.19,7,55,10.81,491.27,1.8,5.75,0,1
115,Fruiting,,,18–22°C,19.08,7,55,10.92,494.3,1.8,5.75,0,1
116,Fruiting,,,18–22°C,18.96,7,55,11.04,497.32,1.8,5.75,0,1
117,Fruiting,,,18–22°C,18.84,7,55,11.16,500.34,1.8,5.75,0,1
118,Fruiting,,,18–22°C,18.73,7,55,11.27,503.36,1.8,5.75,0,1
119,Fruiting,,,18–22°C,18.61,7,55,11.39,506.37,1.8,5.75,0,1
120,Fruiting,,,18–22°C,18.49,7,55,11.51,509.39,1.8,5.75,0,1
121,Fruiting,,,18–22°C,18.38,7,55,11.62,512.41,1.8,5.75,0,1
122,Fruiting,,,18–22°C,18.26,7,55,11.74,515.43,1.8,5.75,0,1
123,Fruiting,,,18–22°C,18.14,7,55,11.86,518.46,1.8,5.75,0,1
124,Fruiting,,,18–22°C,18.03,7,55,11.97,521.48,1.8,5.75,0,1
125,Fruiting,,,18–22°C,17.91,7,55,12.09,524.5,1.8,5.75,0,1
126,Fruiting,,,18–22°C,17.8,7,55,12.2,527.52,1.8,5.75,0,1
127,Fruiting,,,18–22°C,17.68,7,55,12.32,530.54,1.8,5.75,0,1
128,Fruiting,,,18–22°C,17.56,7,55,12.44,533.56,1.8,5.75,0,1
129,Fruiting,,,18–22°C,17.45,7,55,12.55,536.58,1.8,5.75,0,1
130,Fruiting,,,18–22°C,17.33,7,55,12.67,539.59,1.8,5.75,0,1
