Day,Stage,Temperature (°C),Blue (450 nm),Green (%),Red (660 nm),Far-Red (730 nm),PPFD (µmol/m²/s),Target VPD (kPa),Max Humidity (%),Afternoon Temp (°C),Night Temp (°C),EC,PH,Veg,Fruit
1,Seedling,24–28°C,30,5,55,5,150,0.7,80,26,18,1.25,6.05,1,0
1.46,Seedling,24–28°C,30,5,55,5,153.49,0.7,80,26,18,1.25,6.05,1,0
1.91,Seedling,24–28°C,30,5,55,5,156.98,0.7,80,26,18,1.25,6.05,1,0
2.37,Seedling,24–28°C,30,5,55,5,160.47,0.7,80,26,18,1.25,6.05,1,0
2.83,Seedling,24–28°C,30,5,55,5,163.95,0.7,80,26,18,1.25,6.05,1,0
3.29,Seedling,24–28°C,30,5,55,5,167.44,0.7,80,26,18,1.25,6.05,1,0
3.74,Seedling,24–28°C,30,5,55,5,170.93,0.7,80,26,18,1.25,6.05,1,0
4.2,Seedling,24–28°C,30,5,55,5,174.42,0.7,80,26,18,1.25,6.05,1,0
4.66,Seedling,24–28°C,30,5,55,5,177.91,0.7,80,26,18,1.25,6.05,1,0
5.12,Seedling,24–28°C,30,5,55,5,181.4,0.7,80,26,18,1.25,6.05,1,0
5.57,Seedling,24–28°C,30,5,55,5,184.89,0.7,80,26,18,1.25,6.05,1,0
6.03,Seedling,24–28°C,30,5,55,5,188.38,0.7,80,26,18,1.25,6.05,1,0
6.49,Seedling,24–28°C,30,5,55,5,191.86,0.7,80,26,18,1.25,6.05,1,0
6.95,Seedling,24–28°C,30,5,55,5,195.35,0.7,80,26,18,1.25,6.05,1,0
7.4,Seedling,24–28°C,30,5,55,5,198.84,0.7,80,26,18,1.25,6.05,1,0
7.86,Seedling,24–28°C,30,5,55,5,202.33,0.7,80,26,18,1.25,6.05,1,0
8.32,Seedling,24–28°C,30,5,55,5,205.82,0.7,80,26,18,1.25,6.05,1,0
8.78,Seedling,24–28°C,30,5,55,5,209.3,0.7,80,26,18,1.25,6.05,1,0
